0,1,2,3,4
0.25216177,0.16512527,0.2500532,0.16840746,0.16425233
0.16760808,0.16391481,0.25437137,0.24931018,0.16479555
0.16793981,0.16424254,0.25192204,0.25147197,0.16442367
0.16725451,0.16397627,0.25513503,0.24851511,0.16511908
0.24999267,0.1646278,0.25248235,0.16834372,0.16455348
0.24940176,0.16384122,0.25497314,0.16640978,0.16537406
0.251594,0.16500133,0.25155234,0.16727066,0.16458167
0.25147614,0.16465794,0.2514327,0.16747563,0.16495761
0.2501244,0.1640792,0.25299454,0.16709763,0.16570428
0.24987349,0.16445898,0.25204694,0.16767871,0.16594186
0.16816753,0.16486876,0.25221467,0.25007224,0.1646768
0.2518663,0.16557695,0.16779381,0.25007722,0.16468574
0.16698554,0.16371432,0.2548144,0.24883145,0.16565432
0.25225875,0.16511881,0.25057375,0.16669305,0.16535558
0.24948989,0.1643545,0.25401303,0.16624267,0.16589984
0.16769113,0.16431317,0.25309664,0.24886438,0.16603468
0.2499703,0.16530852,0.25118217,0.16830231,0.1652367
0.25299373,0.16596954,0.24845584,0.1676631,0.16491784
0.24940754,0.16518967,0.2525222,0.16732454,0.16555607
0.16784678,0.1649428,0.25179932,0.2499958,0.1654153
0.25133502,0.16515207,0.2502799,0.16755468,0.16567834
0.2532708,0.16552185,0.16755565,0.24804309,0.1656086
0.24960606,0.16489907,0.2520018,0.16750337,0.16598974
0.2500804,0.16564432,0.25105268,0.16782877,0.16539383
0.250841,0.16470593,0.25023708,0.16729012,0.16692585
0.24960303,0.16469082,0.25342456,0.16631989,0.1659617
0.24867268,0.1647936,0.25299093,0.1673683,0.16617446
0.25041392,0.16512091,0.25056684,0.16743322,0.16646512
0.25021333,0.16527165,0.168149,0.24986936,0.16649665
0.2525681,0.16591777,0.16754204,0.2482751,0.16569701
0.24992451,0.16513222,0.2516891,0.16675209,0.16650206
0.24926928,0.16517477,0.25071135,0.16807514,0.1667695
0.24986221,0.16522774,0.25080344,0.16761579,0.1664908
0.25212336,0.1656959,0.24852636,0.1676736,0.16598071
0.25161472,0.16577688,0.16726574,0.24895751,0.16638516
0.24905214,0.16498737,0.25190338,0.16751035,0.16654679
0.25099942,0.16585578,0.24977744,0.16746801,0.16589935
0.251135,0.16525993,0.2494055,0.1674486,0.16675094
0.25235176,0.16611142,0.16734187,0.24800982,0.16618511
0.24999464,0.1650802,0.2517276,0.16621046,0.16698709
0.24948803,0.1648708,0.25136906,0.16685684,0.16741528
0.2506084,0.16541316,0.25009212,0.16733995,0.16654636
0.2512578,0.165432,0.2494213,0.16680136,0.16708751
0.24973308,0.16582622,0.16837285,0.24973576,0.16633216
0.2533155,0.16637169,0.24709041,0.1671697,0.16605262
0.25258172,0.1659157,0.16712359,0.2478653,0.16651368
0.24915166,0.16534059,0.251735,0.16711774,0.16665506
0.24964893,0.16606867,0.2504609,0.16763355,0.16618793
0.25227997,0.16648406,0.24843778,0.1670256,0.16577259
0.2506225,0.16601446,0.16782703,0.24865572,0.1668803
0.25143504,0.16626792,0.16740714,0.24813701,0.16675287
0.2509308,0.16622463,0.1672638,0.24927847,0.16630231
0.16738127,0.1650628,0.25266987,0.24761537,0.16727073
0.24932863,0.16590723,0.2511498,0.16743511,0.16617927
0.24875923,0.1656754,0.2509433,0.16748406,0.16713798
0.2507326,0.16585916,0.24964371,0.1673097,0.1664548
0.25105646,0.16570617,0.24885744,0.16724393,0.16713595
0.2522353,0.16628718,0.24742238,0.16730762,0.16674748
0.25158405,0.16609989,0.16730785,0.24831544,0.1666927
0.16728805,0.16594735,0.2521822,0.247756,0.16682643
0.24904183,0.16564362,0.2508576,0.16735515,0.16710177
0.24931566,0.16543126,0.2519824,0.16609748,0.16717319
0.2484337,0.16575997,0.2507228,0.16779642,0.16728711
0.2503064,0.16669889,0.24929482,0.16752845,0.16617145
0.25104484,0.16606125,0.2479561,0.16748372,0.16745411
0.2517159,0.16643964,0.2480307,0.16740254,0.16641115
0.25087488,0.16711774,0.16749108,0.24856631,0.16594994
0.24761711,0.16561584,0.25254247,0.16704622,0.16717839
0.16675025,0.16549481,0.25207362,0.2488286,0.16685271
0.24878733,0.16547507,0.25069538,0.16786209,0.1671801
0.24852166,0.16576204,0.25063163,0.16757561,0.16750903
0.25038272,0.16598897,0.24876216,0.16755849,0.16730765
0.25248447,0.1661537,0.24763611,0.16647328,0.16725245
0.25199148,0.16658175,0.24740076,0.16720168,0.16682428
0.25319836,0.1666877,0.16676258,0.24660723,0.16674419
0.2496448,0.16585979,0.25105253,0.16591637,0.16752648
0.24847053,0.16625132,0.25100404,0.16730247,0.16697164
0.2505167,0.16626954,0.25026897,0.16641656,0.16652822
