group,model,rmse,mae,mape,file_index
NCACY25-05_1,IMOE,0.045434743,0.029575918,1.021260023,0
NCACY25-05_1,IMOE,0.03740642,0.022651093,0.779738324,1
NCACY25-05_1,IMOE,0.043217085,0.027823614,0.954283401,2
NCACY25-05_1,IMOE,0.043860354,0.029154945,1.003426313,3
NCACY25-05_1,IMOE,0.03799405,0.022447554,0.776770618,4
NCACY25-05_1,IMOE,0.04015974,0.024497796,0.8466864,5
NCACY25-05_1,IMOE,0.03648661,0.021663208,0.747300498,6
NCACY25-05_1,IMOE,0.042968754,0.026383124,0.910338853,7
NCACY25-05_1,IMOE,0.036748566,0.023852833,0.820108783,8
NCACY25-05_1,IMOE,0.042816672,0.028730746,0.986657292,9
NCACY25-05_1,PATCHTST,0.047582712,0.035060197,1.202538982,0
NCACY25-05_1,PATCHTST,0.047048178,0.03256719,1.12403594,1
NCACY25-05_1,PATCHTST,0.051002316,0.036139887,1.245466992,2
NCACY25-05_1,PATCHTST,0.04804074,0.03217816,1.112886891,3
NCACY25-05_1,PATCHTST,0.05419215,0.032849785,1.145382505,4
NCACY25-05_1,PATCHTST,0.05221177,0.037610628,1.28973797,5
NCACY25-05_1,PATCHTST,0.05458512,0.038841717,1.340027805,6
NCACY25-05_1,PATCHTST,0.07491079,0.05523096,1.908852346,7
NCACY25-05_1,PATCHTST,0.06087555,0.042205717,1.465186384,8
NCACY25-05_1,PATCHTST,0.056503385,0.036848053,1.278834138,9
NCACY25-05_1,Informer,0.13623837,0.12787038,4.326489568,0
NCACY25-05_1,Informer,0.051009305,0.036445826,1.255668513,1
NCACY25-05_1,Informer,0.057619914,0.040942226,1.40453428,2
NCACY25-05_1,Informer,0.04977751,0.03520746,1.212183665,3
NCACY25-05_1,Informer,0.05964291,0.051607303,1.741980016,4
NCACY25-05_1,Informer,0.068638876,0.044898573,1.555189304,5
NCACY25-05_1,Informer,0.06403155,0.05024585,1.717943698,6
NCACY25-05_1,Informer,0.048596367,0.036255646,1.240326185,7
NCACY25-05_1,Informer,0.050196104,0.038566288,1.318997052,8
NCACY25-05_1,Informer,0.052290652,0.036713775,1.266128011,9
NCACY25-1_1,IMOE,0.03378942,0.02814142,0.957300887,0
NCACY25-1_1,IMOE,0.03399975,0.028291892,0.952423271,1
NCACY25-1_1,IMOE,0.034251828,0.02893017,0.984345004,2
NCACY25-1_1,IMOE,0.0351381,0.02779903,0.956346095,3
NCACY25-1_1,IMOE,0.032719735,0.027899541,0.946865883,4
NCACY25-1_1,IMOE,0.035682317,0.030743664,1.041219477,5
NCACY25-1_1,IMOE,0.03464968,0.029056557,0.981032941,6
NCACY25-1_1,IMOE,0.03445176,0.027621433,0.9474447,7
NCACY25-1_1,IMOE,0.036827825,0.030501306,1.048410404,8
NCACY25-1_1,IMOE,0.0347423,0.02851487,0.974858738,9
NCACY25-1_1,PATCHTST,0.04695111,0.0358535,1.242101751,0
NCACY25-1_1,PATCHTST,0.06350244,0.052291375,1.813881844,1
NCACY25-1_1,PATCHTST,0.05010915,0.039133795,1.358071994,2
NCACY25-1_1,PATCHTST,0.097554505,0.08877349,3.059647605,3
NCACY25-1_1,PATCHTST,0.06263701,0.052404534,1.809302904,4
NCACY25-1_1,PATCHTST,0.04110315,0.032277364,1.112555619,5
NCACY25-1_1,PATCHTST,0.046619937,0.036540326,1.263707969,6
NCACY25-1_1,PATCHTST,0.042597473,0.032999236,1.141119003,7
NCACY25-1_1,PATCHTST,0.047439117,0.03694831,1.280126069,8
NCACY25-1_1,PATCHTST,0.051852323,0.041926313,1.450785808,9
NCACY25-1_1,Informer,0.04802197,0.042008135,1.431788411,0
NCACY25-1_1,Informer,0.038763255,0.03340599,1.145293936,1
NCACY25-1_1,Informer,0.069670945,0.060963605,2.1124525,2
NCACY25-1_1,Informer,0.045880478,0.03885279,1.34338364,3
NCACY25-1_1,Informer,0.05997231,0.049463082,1.729803905,4
NCACY25-1_1,Informer,0.066424504,0.054889604,1.922698133,5
NCACY25-1_1,Informer,0.046179615,0.039516367,1.363893505,6
NCACY25-1_1,Informer,0.076162465,0.067119285,2.326949872,7
NCACY25-1_1,Informer,0.058587354,0.045534663,1.515299175,8
NCACY25-1_1,Informer,0.14348714,0.13781704,4.743133113,9
NCMCY45-05_1,IMOE,0.01237952,0.008607738,0.312495511,0
NCMCY45-05_1,IMOE,0.011658398,0.007911657,0.287695555,1
NCMCY45-05_1,IMOE,0.014174444,0.010425737,0.377767999,2
NCMCY45-05_1,IMOE,0.01147627,0.007784126,0.281816022,3
NCMCY45-05_1,IMOE,0.011684932,0.007852096,0.284850923,4
NCMCY45-05_1,IMOE,0.010566129,0.007703545,0.276760035,5
NCMCY45-05_1,IMOE,0.010952762,0.007724306,0.281024841,6
NCMCY45-05_1,IMOE,0.013743659,0.010278262,0.374684064,7
NCMCY45-05_1,IMOE,0.011673203,0.008055086,0.28965699,8
NCMCY45-05_1,IMOE,0.010594897,0.0074188,0.267360592,9
NCMCY45-05_1,PATCHTST,0.011007499,0.008457461,0.304873986,0
NCMCY45-05_1,PATCHTST,0.015078187,0.012708863,0.453545805,1
NCMCY45-05_1,PATCHTST,0.012618125,0.01041891,0.369777693,2
