Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
15,"[0.004, 0.004829810495626805, 0.00684693877551023, 0.009006802721088423, 0.011298752834467043, 0.014497112052368104, 0.01742648896293212, 0.022538205980066374, 0.025662437948152192, 0.030788676761027076, 0.03617368649587504, 0.04053061224489799, 0.04809061224489794, 0.05268400263331149, 0.05935714285714283, 0.06680489795918368, 0.07271099407504951, 0.07961941533370112, 0.08631632653061241, 0.09363541092112508, 0.10038483965014584, 0.10986224489795937, 0.11891781577495866, 0.12738775510204106, 0.13591003748438152, 0.14893877551020418, 0.16015646258503383, 0.17681387755102054, 0.1947380952380954, 0.2182124849939976, 0.2354995918367353, 0.26734693877551047, 0.2977328385899817, 0.33459183673469417, 0.3606147959183672, 0.3986949806949809, 0.4285663265306126, 0.4575469387755109, 0.49777387755102065, 0.5332040816326556, 0.5677278911564624, 0.5966224489795926, 0.6327755102040813, 0.6622489795918367, 0.6980470957613817, 0.7351908763505403, 0.7723673469387756, 0.8001643394199789, 0.8408411472697187, 0.883]",7.2,25,-7.2,1.135,1.124
16,"[0.004, 0.0052030075187970105, 0.006663594470046045, 0.009171428571428582, 0.012517006802721019, 0.015714285714285865, 0.017803571428571387, 0.022198347107437996, 0.026731995277449988, 0.031244897959183643, 0.03856263736263746, 0.04314857142857139, 0.047791505791505845, 0.0553979591836735, 0.059415384615384606, 0.06650871080139391, 0.07393984962406025, 0.08016172506738561, 0.08741714285714303, 0.09340571428571444, 0.10069642857142845, 0.10956097560975624, 0.11845559845559867, 0.12803896103896112, 0.13855639097744385, 0.14974603174603174, 0.15796273291925478, 0.17684169884169887, 0.19475675675675685, 0.21752895752895723, 0.23630952380952436, 0.2635428571428576, 0.2975714285714291, 0.3360092165898615, 0.36110857142857167, 0.3851891891891892, 0.43013605442176894, 0.4624285714285757, 0.48762285714285747, 0.522537142857143, 0.5571059907834103, 0.58701098901099, 0.6158400000000004, 0.648979591836734, 0.671794285714286, 0.7200204081632653, 0.741647416413374, 0.7955119047619048, 0.8219227799227802, 0.864]",7.2,25,-7.2,1.107,1.093
17,"[0.005, 0.007068762640191254, 0.00865103879389595, 0.01127442466348247, 0.014454317111459922, 0.018166487647690844, 0.022576649264356874, 0.02744571428571429, 0.03125510204081668, 0.03638119533527699, 0.041145408163265666, 0.046998953427524935, 0.053151130722559496, 0.06008400569530137, 0.0637380952380954, 0.07067921816613992, 0.07642330480579332, 0.08257250268528471, 0.08951140456182471, 0.09508055853920573, 0.10560963960052105, 0.11217050691244262, 0.11955673469387793, 0.13180716368179937, 0.14151311953352802, 0.15351265306122447, 0.16551603498542306, 0.18184163265306127, 0.19488140161725076, 0.22130693877551025, 0.24767918367346956, 0.2687844897959187, 0.30241762070681943, 0.3383751962323387, 0.36039020408163264, 0.39276190476190576, 0.4245183673469394, 0.45053401360544293, 0.48667006802721047, 0.5145581188997338, 0.5445905200789996, 0.5795659128516276, 0.6136100386100386, 0.6370340136054433, 0.6598334430546414, 0.6942352309344798, 0.7249309262166409, 0.7664070891514501, 0.8091065206570435, 0.841]",7.2,25,-7.2,1.073,1.063
18,"[0.0, 0.006525510204081715, 0.009205539358600533, 0.011333454810495644, 0.013685677842565622, 0.01772217687074837, 0.02050558336542166, 0.025200772200772156, 0.030714719930525578, 0.03584144427001577, 0.040659591836735114, 0.04635836734693878, 0.050232993197279044, 0.05716801139060275, 0.06308403361344556, 0.06907741027445474, 0.07418738404452704, 0.0806751020408164, 0.08676384839650156, 0.09260787172011688, 0.10054861944777903, 0.10865714285714302, 0.1162231731402241, 0.12439327082184232, 0.13638969873663798, 0.14732710549008332, 0.16020408163265348, 0.17317006802721097, 0.1903928571428572, 0.21206343077771656, 0.2398299319727901, 0.26720408163265674, 0.2926336022781208, 0.32371510204081605, 0.3549510204081634, 0.3808809523809529, 0.4125734035549705, 0.438848869277441, 0.47667006802721046, 0.4985581188997338, 0.5280122448979596, 0.5651175510204085, 0.5907619047619055, 0.6210072886297379, 0.6450966702470466, 0.6775260770975063, 0.7087006802721109, 0.7512103610675039, 0.793155976676385, 0.823]",7.2,25,-7.2,1.053,1.042
19,"[0.0, 0.006217687074829858, 0.008223452092701377, 0.012564172335600962, 0.014591564625850333, 0.017096115865701082, 0.022528405956977367, 0.02602597402597388, 0.03083646258503409, 0.036766530612244955, 0.040941855987678084, 0.04687233032747983, 0.05134259661311326, 0.05727891156462602, 0.0633089700996678, 0.06860146322680018, 0.07284183673469392, 0.0802968460111317, 0.0853817819810852, 0.09448979591836763, 0.10072356215213359, 0.10757792207792204, 0.11676081632653101, 0.12443284290460384, 0.13500537056928053, 0.14665532879818605, 0.1570104798676227, 0.1706979591836745, 0.19231428571428594, 0.20839236339697184, 0.24047959183673512, 0.25925387755102053, 0.2841341107871739, 0.31461326530612244, 0.3420039499670838, 0.3679922779922782, 0.40133061224489847, 0.43222251481237706, 0.46354081632653016, 0.4837632653061224, 0.5174088215931538, 0.5494081632653064, 0.5833163265306125, 0.6053832199546482, 0.6370034013605451, 0.6724693877551029, 0.6982176870748298, 0.7305243328100479, 0.7741562966650075, 0.8]",7.2,25,-7.2,1.025,1.01
20,"[0.004, 0.005954961294862708, 0.008882896015549101, 0.011172998430141292, 0.014522549760645006, 0.017362382790954145, 0.02194338380513494, 0.026746355685131187, 0.03168679716784668, 0.036096626405664425, 0.039758952637658884, 0.04565677179962885, 0.05053866809881836, 0.05629229756418694, 0.060517374517374434, 0.06493391642371227, 0.07046773303916175, 0.07688347597103358, 0.08323523093447892, 0.09112682215743419, 0.09790530612244903, 0.10389861751152067, 0.11307556536127951, 0.12291365777080084, 0.13204168475900988, 0.13976340366655135, 0.15116034985422636, 0.1674085974815458, 0.1832619047619046, 0.19921784527764586, 0.22640306122448925, 0.2457108843537415, 0.2754644897959185, 0.3057877551020408, 0.33218367346938776, 0.3589942857142855, 0.38545632653061224, 0.41922448979591675, 0.4415046382189235, 0.473311020408163, 0.5029023323615159, 0.5278367346938782, 0.5590617760617752, 0.5758795260039493, 0.6065174069627847, 0.6420796890184638, 0.6764798676227248, 0.6971450053705684, 0.7369452201933405, 0.771]",7.2,25,-7.2,0.984,0.974
21,"[0.004, 0.0058121571209128545, 0.008604503870513616, 0.012190710767065403, 0.015183673469387657, 0.01930085582620154, 0.022725623582766495, 0.02634453781512599, 0.03130060672917816, 0.03500379686758416, 0.04067229199372055, 0.045679914070891406, 0.050535982814178274, 0.05548299319728019, 0.0599575289575291, 0.0653147153598283, 0.07083132028321544, 0.07726572261557679, 0.08356713211600426, 0.0895135263407688, 0.095773303916161, 0.10241558441558474, 0.11098946675444393, 0.12068367346938831, 0.12987479316050748, 0.13857908163265337, 0.15374489795918375, 0.16573306122448986, 0.18353571428571436, 0.19885121790651766, 0.22222448979591863, 0.25087074829931993, 0.2754791836734698, 0.30065843179377, 0.31520408163265284, 0.35686285714285754, 0.3759237379162194, 0.41264992150706514, 0.4370136054421773, 0.4583367346938777, 0.49146578631452587, 0.5191252068394924, 0.5499285714285721, 0.5706219119226643, 0.5939656283566065, 0.6261126530612251, 0.6586187755102043, 0.6956775510204085, 0.7196539296569692, 0.755]",7.2,25,-7.2,0.971,0.962
22,"[0.004, 0.005707689136260552, 0.008210292812777202, 0.010415439219165861, 0.012596474953617633, 0.016175124103695523, 0.019853218210361144, 0.025162561576354662, 0.02870954810495629, 0.03289888682745814, 0.038074391046741235, 0.04329183673469379, 0.04755310287380244, 0.05276032273374446, 0.057327188940092005, 0.06166604823747677, 0.06704039983340282, 0.07175036443148684, 0.07761678004535144, 0.0848111658456484, 0.09324803767660912, 0.09733714285714251, 0.105553469387755, 0.11526700680272073, 0.12085540599218385, 0.13253013763644986, 0.14493197278911488, 0.1574158163265305, 0.16966285714285698, 0.18759183673469243, 0.21272311086596785, 0.23233387755102014, 0.26412771560236964, 0.2779608163265301, 0.30267120181405854, 0.3352244897959182, 0.3624638218923927, 0.3941734693877543, 0.4175349087003217, 0.4441783029001068, 0.47547436535589793, 0.5069387755102043, 0.5285824175824175, 0.5574113856068745, 0.5783819241982507, 0.6125853432282004, 0.6431421988150098, 0.6638989310009719, 0.6989720730397422, 0.734]",7.2,25,-7.2,0.959,0.947
23,"[0.004, 0.007007849293563567, 0.008580577058409589, 0.012080624842529543, 0.014161948650427995, 0.018372311086596815, 0.022000703729767743, 0.02647926267281123, 0.03075510204081601, 0.03557804743519036, 0.03814100185528762, 0.04357224489795918, 0.04883798417326119, 0.05367454350161112, 0.056951573849878985, 0.06224687294272548, 0.06794597839135684, 0.07225990396158463, 0.08045626822157431, 0.08473706691979131, 0.09171858216971, 0.09985714285714258, 0.10656897959183698, 0.11295918367346947, 0.12087491770901923, 0.13131020408163266, 0.14433149476006635, 0.15791102040816332, 0.17109142857142876, 0.19041277156023725, 0.21055374149659864, 0.2355291545189505, 0.2653770139634801, 0.2819624753127062, 0.30977891156462517, 0.3384857142857147, 0.3625602369980253, 0.3876462585034017, 0.4174104308390022, 0.4450690737833604, 0.46986734693877624, 0.49915986394557765, 0.5200612244897967, 0.5435757250268533, 0.5627268445839878, 0.6072791836734694, 0.6279705215419507, 0.6592482993197288, 0.6915174927113703, 0.719]",7.2,25,-7.2,0.934,0.922
24,"[0.004, 0.004743440233236162, 0.007345966958211818, 0.009388617418798527, 0.01240871483728629, 0.016362023070097657, 0.01913554100885651, 0.023334231805929948, 0.02715160349854254, 0.030945347630577647, 0.03523547880690741, 0.039825286212045945, 0.04444089333846751, 0.048497959183673535, 0.05278405315614614, 0.05928966425279792, 0.06386224489795939, 0.06973028130170991, 0.07433839582344583, 0.08047298919567829, 0.08627551020408193, 0.09426890756302551, 0.10189795918367385, 0.10786078717201181, 0.11381469387755108, 0.12559402332361524, 0.14104380288700838, 0.14749306122448982, 0.16448262548262582, 0.18223093447905497, 0.20032653061224542, 0.22518367346938786, 0.2409111644657865, 0.2737505668934242, 0.2975034013605447, 0.32429323308270763, 0.34646258503401417, 0.37565136054421844, 0.3971665306122448, 0.42661224489795957, 0.45313605442176935, 0.47651962323390956, 0.5019450549450565, 0.5334013605442177, 0.5466909620991259, 0.5828820861678013, 0.6061003401360547, 0.642610675039246, 0.678036106750393, 0.701]",7.2,25,-7.2,0.906,0.898
25,"[0.0, 0.005863067807768169, 0.0075394157663065476, 0.009580408163265249, 0.01243353557639273, 0.01607555362570565, 0.018807109940750442, 0.023474903474903542, 0.027065832784726757, 0.031271836734694025, 0.03479196840026338, 0.03770966499807462, 0.04378527062999114, 0.04784731670445954, 0.05195157384987898, 0.057246872942725485, 0.06224653061224527, 0.06727685791297659, 0.0731315675206253, 0.07948608534322844, 0.08465014577259473, 0.09257142857142861, 0.09804897959183695, 0.10581924198250756, 0.11388299319727918, 0.12122883195831528, 0.13207743097238905, 0.1459639855942378, 0.15809142857142874, 0.17679183673469423, 0.1928210726150926, 0.21482312925170075, 0.23914612244897948, 0.25931261595547334, 0.28733469387755145, 0.31514285714285717, 0.3379763694951667, 0.3689846938775505, 0.3879234693877548, 0.4200236305048338, 0.44086734693877694, 0.46367478604344975, 0.4857406015037599, 0.5105635286372615, 0.541244897959183, 0.5683673469387756, 0.5948418367346942, 0.6274965986394576, 0.6581439312567133, 0.683]",7.2,25,-7.2,0.877,0.869
26,"[0.004, 0.005635102040816301, 0.007365810840465182, 0.009608163265306092, 0.012585034013605206, 0.01587755102040809, 0.018303749406739386, 0.02321428571428545, 0.026751457725947517, 0.030345083487940416, 0.03484519661523153, 0.038939975990395996, 0.042290087463556635, 0.04728439763001965, 0.05003361344537796, 0.05612059369202222, 0.060294272547728664, 0.06466688610928228, 0.07076530612244829, 0.07574894108586819, 0.0824177671068425, 0.09010038610038607, 0.09564339419978503, 0.10422789115646203, 0.10982374768089034, 0.11831020408163229, 0.1271375905200787, 0.14239795918367265, 0.153380952380951, 0.16681632653061207, 0.18668394925537776, 0.20945561224489748, 0.2338712715855571, 0.2516076366030279, 0.2806359753203608, 0.3008095238095235, 0.3300763660302828, 0.3488820861678, 0.3761737985516782, 0.4054829931972791, 0.43036734693877443, 0.4535321821036104, 0.46966857142857144, 0.49912925170067984, 0.5291114599686024, 0.5508775510204079, 0.5789255702280911, 0.6114199785177223, 0.6373741496598624, 0.666]",7.2,25,-7.2,0.874,0.864
27,"[0.004, 0.0074603943272224344, 0.008819093739190676, 0.011565726290516231, 0.014701895043731865, 0.017837551020408213, 0.021677842565597776, 0.024594470046082936, 0.02878406846609612, 0.0318216640502355, 0.03702433281004727, 0.041638578011850065, 0.04527836734693878, 0.04933172541743973, 0.05239428571428602, 0.058078999341672266, 0.06228505595786699, 0.06791836734693874, 0.0724923469387758, 0.07827968460111337, 0.08418482864844086, 0.08976530612244897, 0.09794146079484453, 0.1051981292517008, 0.11153298528713823, 0.1216763170384433, 0.1353293135435993, 0.14345885450954607, 0.15669642857142901, 0.1722969058591182, 0.1906326530612256, 0.21043574186431332, 0.23341690962099138, 0.2490430839002272, 0.28308477237048674, 0.3004523809523827, 0.32935510204081647, 0.35122675736961423, 0.37703884134298893, 0.4000820408163266, 0.4207036734693886, 0.4512308673469391, 0.473238095238095, 0.4907216326530616, 0.5168367346938775, 0.5502371057513921, 0.5706275510204091, 0.5975497037524692, 0.6324798407167749, 0.653]",7.2,25,-7.2,0.837,0.825
28,"[0.0, 0.006065759637188252, 0.007973023692235588, 0.009959183673469412, 0.013654184609623712, 0.01524344023323629, 0.019161366872330634, 0.022029304029304034, 0.02617913832199596, 0.030693877551020408, 0.034426749271137216, 0.03783212639894683, 0.041127057274522774, 0.04587841333716594, 0.049777142857142936, 0.054982349696635784, 0.05916897959183684, 0.06389840283939663, 0.06867755102040829, 0.07364752680733322, 0.08001205936920253, 0.08618894009216599, 0.09195955473098341, 0.09938554881412046, 0.10583339517625252, 0.1178143515470707, 0.12538338192419826, 0.1360313971742547, 0.15039285714285802, 0.1643961584633857, 0.1806161059018202, 0.20094140882159323, 0.22705695301376347, 0.23614137291280166, 0.2630847723704868, 0.2882261904761913, 0.30961868958109556, 0.33433722060252685, 0.3582621664050248, 0.3830816326530616, 0.4085421952564815, 0.43405539358600764, 0.4519585253456222, 0.47850145772594804, 0.5009416909620991, 0.5243877551020417, 0.5469391920033322, 0.5827551020408166, 0.6120962099125384, 0.633]",7.2,25,-7.2,0.83,0.822
29,"[0.004, 0.0067221350078493095, 0.008815887645380726, 0.01143577430972398, 0.013663751214771667, 0.016713811105837667, 0.02016326530612245, 0.023032069970845552, 0.027053408597481433, 0.030845951283739195, 0.034461584633853445, 0.03853421368547415, 0.04160176503033643, 0.04701700680272092, 0.049910946196660415, 0.05467346938775459, 0.05938775510204081, 0.06467847516365031, 0.06953778268063983, 0.07413265306122445, 0.07894241982507288, 0.08513235294117656, 0.09245008273579705, 0.09849271137026243, 0.10569001654715941, 0.11693877551020365, 0.1267137341423053, 0.136472789115646, 0.1507188940092164, 0.1628027210884347, 0.18272653061224464, 0.19707050092764392, 0.21903357472021007, 0.2366791836734698, 0.2651167346938772, 0.28314285714285586, 0.30975510204081425, 0.3342734693877537, 0.35241690962099104, 0.37855151816824256, 0.4042585034013601, 0.4276586270871977, 0.44912781954887127, 0.46352344180915567, 0.49886970172684364, 0.5206870748299317, 0.5416412459720724, 0.5717913832199535, 0.602430320699708, 0.622]",7.2,25,-7.2,0.811,0.803
30,"[0.004, 0.005826882477128756, 0.007918367346938788, 0.00991020408163267, 0.013150706436420771, 0.016196878751500603, 0.01930176870748301, 0.02229142857142866, 0.02559804791481792, 0.029219743711437936, 0.033790352504638105, 0.03732725947521856, 0.04029570125922698, 0.043674582560296785, 0.04952073732718877, 0.0526477946017116, 0.05830678077682686, 0.06192711370262371, 0.06753778268063983, 0.07134957208689914, 0.07689450017295058, 0.0844897959183674, 0.09059475218658897, 0.09427629513343827, 0.10202792696025777, 0.11282486948267667, 0.1210563265306118, 0.1311476032273373, 0.14371428571428507, 0.157071757735352, 0.17695596133190086, 0.1975170068027224, 0.21817108119843645, 0.22774927113702623, 0.25899708454810455, 0.27538095238095167, 0.2978359183673468, 0.32810938775510146, 0.34431549917264187, 0.3728075801749267, 0.3942585034013601, 0.4184370748299317, 0.4331428571428529, 0.45552344180915566, 0.48445224489795863, 0.510470811580446, 0.5296412459720724, 0.560235405790223, 0.5890824489795917, 0.606]",7.2,25,-7.2,0.796,0.784
31,"[0.004, 0.005461073318216138, 0.007037414965986342, 0.009108267035627867, 0.012103673469387823, 0.014822251481237635, 0.01708751297129018, 0.021415966386554578, 0.02421794378128623, 0.02841075021557917, 0.030748906705539262, 0.03399669056811915, 0.037966905681191376, 0.041560760667903575, 0.04593061224489794, 0.050423769507803126, 0.054802040816326454, 0.059136054421768544, 0.06518850698174013, 0.06803075596435754, 0.07283995703544559, 0.08009652509652494, 0.0853053061224488, 0.09178612244897959, 0.0977420408163265, 0.10883541803818299, 0.11494775510204051, 0.12575510204081633, 0.13777731092436957, 0.1510016326530611, 0.16937990580847698, 0.18142810760667896, 0.20249838882921561, 0.2183159183673467, 0.24490367346938702, 0.25983766233766253, 0.2900816326530617, 0.3077176870748299, 0.3311958080529507, 0.35167346938775496, 0.375273469387755, 0.4012025117739396, 0.41795238095238035, 0.44231991174848284, 0.4683935860058312, 0.48679265306122466, 0.5161647230320697, 0.5403560090702948, 0.5701020408163239, 0.584]",7.2,25,-7.2,0.771,0.766
32,"[0.004, 0.006897505668934241, 0.008895984200131726, 0.011328100470957577, 0.014325380856568029, 0.016640670553935845, 0.020403564242598465, 0.023336405529953922, 0.02648269742679681, 0.030446831364124467, 0.033113431419079256, 0.0365706122448979, 0.04058163265306117, 0.04378488692774401, 0.04870995670995671, 0.05255265306122437, 0.056464779460171144, 0.06075655976676367, 0.065107556536128, 0.06945894636924521, 0.07537515006002404, 0.08225044091710756, 0.08640421329822248, 0.09411911703456889, 0.10305102040816348, 0.11108469387755084, 0.11713954771097623, 0.12564699393270803, 0.13965079365079347, 0.1534595918367345, 0.16704274162495186, 0.17984081632653065, 0.2023010204081622, 0.2261496598639454, 0.2468639455782313, 0.2623809523809525, 0.28932653061224467, 0.3097456828885397, 0.32546168656141694, 0.3493697959183676, 0.37669387755101996, 0.39753287981859275, 0.41971428571428504, 0.43636072807501375, 0.4623537414965959, 0.4778354180381827, 0.5011394557823123, 0.5277779591836733, 0.5620298656047782, 0.576]",7.2,25,-7.2,0.759,0.751
33,"[0.003, 0.004885811467444136, 0.006503195217480948, 0.008365306122449005, 0.0105598935226265, 0.013519022423784357, 0.01731866240472101, 0.019355795148247885, 0.02234462841740457, 0.026504688361831133, 0.02897298074159239, 0.03378723903354444, 0.03670638578011848, 0.0391974627688914, 0.04525672877846794, 0.04803033645890793, 0.05273323615160354, 0.05707167745146839, 0.061263882297104756, 0.06490352504638201, 0.07017887154861938, 0.07674517374517367, 0.08313959183673454, 0.08770148737461081, 0.0942225148123765, 0.10444816326530591, 0.1110593692022263, 0.12069814902705259, 0.13372527472527485, 0.1479727891156461, 0.16048657357679927, 0.17755442176870775, 0.19231240188383067, 0.20511302982731522, 0.2372669608383896, 0.251571428571429, 0.27489409817981325, 0.2954790547798066, 0.3188246001103139, 0.33799708454810456, 0.36348665620094145, 0.3854753127057272, 0.40600571428571375, 0.4258079777365488, 0.4520737833594967, 0.4708639455782312, 0.4953510204081629, 0.5178639455782298, 0.5470568513119534, 0.567]",7.2,25,-7.2,0.743,0.735
34,"[0.005, 0.00676706544686837, 0.008640413912043695, 0.011195831524098976, 0.014131452581032333, 0.01691690962099134, 0.019883202511774025, 0.021748709122203107, 0.025299477930707075, 0.029082361516034945, 0.03228956488255669, 0.03505223106191614, 0.03764095468695947, 0.042928242264647844, 0.046005714285714296, 0.050932282003710645, 0.05425953022718513, 0.05937063857801185, 0.06298061224489787, 0.06868313641245949, 0.07376431863067798, 0.07811904761904784, 0.08160695389266817, 0.09094318808604514, 0.0987926530612244, 0.10351311953352742, 0.11466293614219875, 0.1230440386680984, 0.1350334346504558, 0.1462543171114602, 0.16325102040816292, 0.1783673469387755, 0.1930850981902193, 0.211020408163265, 0.22976766091051848, 0.24531428571428548, 0.27441929499072376, 0.29376530612244856, 0.3056763848396499, 0.3281661807580173, 0.3571156462585028, 0.3756734693877542, 0.39824675324675307, 0.4118155102040819, 0.44047409733123966, 0.4565102040816323, 0.4725918367346937, 0.5032653061224428, 0.5311323772752338, 0.549]",7.2,25,-7.2,0.729,0.722
35,"[0.004, 0.00703254274682846, 0.008486284836515177, 0.010223334616865651, 0.013168979591836664, 0.016174149659863926, 0.019306122448979682, 0.021781305114638418, 0.024836224489795923, 0.027266174554928396, 0.031109329446064114, 0.03423569991376838, 0.03671965628356587, 0.04189016697588133, 0.045273291925465836, 0.050259238830667366, 0.05276761026991443, 0.057498046026921344, 0.06136776343190337, 0.06678215472235417, 0.07183073229291703, 0.07817346938775514, 0.08211191573403553, 0.08763431903373595, 0.09631497882171743, 0.10260884353741452, 0.11232211803640386, 0.12125758411472685, 0.13126890756302526, 0.14340456182473, 0.16055046883618324, 0.1708112244897952, 0.19008353108685325, 0.20969495166487662, 0.2286009070294786, 0.25030414746543816, 0.2660068027210916, 0.2898503401360535, 0.3076054421768709, 0.32399669056811903, 0.35247650688182264, 0.37402900107411435, 0.39208637873754154, 0.40664050235478766, 0.427322669608384, 0.4523411078717206, 0.4710894819466257, 0.49539795918367263, 0.51712567132116, 0.542]",7.2,25,-7.2,0.713,0.707
36,"[0.004, 0.005641929499072275, 0.00842291993720562, 0.010318789584799396, 0.01269053803339508, 0.015374588545095444, 0.01851380552220895, 0.020995798319327724, 0.02388435374149623, 0.02682312925170072, 0.029535147392290267, 0.03281764318630675, 0.03669387755101998, 0.04026367346938763, 0.04505274725274709, 0.04791690962099102, 0.051598367346938574, 0.05616326530612237, 0.05897157434402317, 0.06395078031212478, 0.06967492711370248, 0.07352040816326515, 0.07945087802562872, 0.08553514739228982, 0.0917518485655131, 0.09881224489795834, 0.10709469387755097, 0.11822448979591818, 0.12659073359073347, 0.14000275785990057, 0.15325261996690548, 0.1684359925788494, 0.17963945578231302, 0.2026734693877546, 0.2174917395529642, 0.23442857142856974, 0.25812801484230075, 0.27916111707841007, 0.3012210884353741, 0.31314204081632624, 0.33564399092970515, 0.35862099125364366, 0.3765314285714286, 0.39775947521865873, 0.4156716141001854, 0.43272081632653053, 0.4600884353741496, 0.47498040816326464, 0.5102888540031398, 0.529]",7.2,25,-7.2,0.702,0.693
37,"[0.004, 0.005506559766763928, 0.006852405247813429, 0.009636949516648868, 0.012030612244897957, 0.015544417767107011, 0.01698878988215011, 0.01991596638655471, 0.023057476051645157, 0.0269752186588921, 0.028843789367598866, 0.031952040816326605, 0.03475510204081635, 0.03929458740017759, 0.04247899159663861, 0.0463459309649786, 0.04930290010741115, 0.053231778425656046, 0.05736897959183691, 0.06327161410018536, 0.06701875344732479, 0.07157915057915039, 0.07685880882965425, 0.08073795918367348, 0.09066556945358771, 0.09731102040816321, 0.10497103357472011, 0.11257653061224486, 0.12250375939849613, 0.13298979591836727, 0.1465728862973758, 0.16211564625850355, 0.17552319109461942, 0.1945572998430133, 0.21016553287981862, 0.22980519480519482, 0.24853741496598578, 0.26662951334379786, 0.28783566058002164, 0.31043485086342154, 0.32952399338113586, 0.34884353741496665, 0.3629542857142856, 0.385063673469387, 0.4074130612244899, 0.42892176870748333, 0.449706997084548, 0.4692108843537396, 0.48940502354788057, 0.515]",7.2,25,-7.2,0.685,0.68
38,"[0.003, 0.006156966490299821, 0.007626373626373655, 0.008778021978021985, 0.012042016806722776, 0.014595687331536378, 0.01660357142857148, 0.02, 0.02231797235023038, 0.02577142857142863, 0.027978571428571495, 0.03109216589861771, 0.03496894409937882, 0.03757142857142876, 0.04039622641509442, 0.04601661129568099, 0.048820823244552135, 0.052310924369747894, 0.05670506912442419, 0.0616543778801844, 0.0656785714285717, 0.069, 0.07554857142857144, 0.08041269841269859, 0.08643778801843316, 0.09369714285714292, 0.10178021978021984, 0.10886813186813228, 0.11816129032258069, 0.12699078341013822, 0.14313265306122447, 0.1521041162227603, 0.16689861751152082, 0.1844404761904768, 0.20245142857142892, 0.22316216216216225, 0.23959340659340692, 0.2562380952380941, 0.2725563909774439, 0.29365768194070085, 0.3152077922077926, 0.3370874635568513, 0.34950000000000037, 0.36785714285714294, 0.3901938775510205, 0.4117335907335907, 0.4320787172011661, 0.4553809523809532, 0.4704671814671815, 0.501]",7.2,25,-7.2,0.675,0.668
39,"[0.003, 0.005843990929705315, 0.007527797325826937, 0.00942072213500799, 0.011807580174927175, 0.01380315997366702, 0.017028308097432603, 0.01935531135531142, 0.02169914417379858, 0.025352769679300374, 0.02728979591836742, 0.030315339038841416, 0.033100680272109224, 0.03649962207105071, 0.0405714285714291, 0.04410775510204102, 0.04698767809010406, 0.05128391356542631, 0.05553163265306133, 0.058940946591402636, 0.06395775984812534, 0.06969585253456227, 0.07286762272476552, 0.07942122448979605, 0.08436954474097329, 0.09097917534360686, 0.09797588126159566, 0.10775591836734717, 0.11486100386100383, 0.12914942926323086, 0.13945339216767802, 0.14870938775510167, 0.16190276110444196, 0.18058869701726862, 0.19966491112574095, 0.21427472527472471, 0.2352384532760477, 0.25213343799058113, 0.27376870748299365, 0.2885759084121449, 0.3113591836734694, 0.329480192076831, 0.3448285714285727, 0.35879446064139897, 0.3860325427468286, 0.4004730320699714, 0.4241247165532891, 0.44807434402332325, 0.46201360544217734, 0.491]",7.2,25,-7.2,0.657,0.653
40,"[0.005, 0.006591836734693969, 0.008487589630446811, 0.010359536407155482, 0.013060337178349674, 0.015289879216992928, 0.017856598639455816, 0.021114285714285794, 0.023568288854003215, 0.025742190753852597, 0.02919681771013511, 0.031977190876350634, 0.03570932156646444, 0.03819387755102049, 0.042123486682808756, 0.0444391046741277, 0.048827518104015824, 0.052409318444359046, 0.05726991441737993, 0.06128433068142521, 0.06516029684601128, 0.06948319327731105, 0.07406279434850867, 0.08186680988184773, 0.08637959183673487, 0.09098040816326536, 0.101180758017493, 0.10974522712310762, 0.11950793650793665, 0.1267795918367349, 0.14252244897959168, 0.15247392290249495, 0.16602354788069085, 0.1849656283566056, 0.1976209912536447, 0.2177142857142862, 0.23363129251700762, 0.2523921676778823, 0.27255102040816337, 0.29203114930182655, 0.30778530612244936, 0.3272986036519877, 0.34496825396825487, 0.3583129251700688, 0.3853159973666888, 0.4053173140223834, 0.41765646258503514, 0.44337617209045777, 0.46716105901820243, 0.483]",7.2,25,-7.2,0.644,0.636
41,"[0.005, 0.005614437510541387, 0.007178462874511585, 0.009550445530324789, 0.01237370792472829, 0.014279397473274997, 0.0160800627943486, 0.018678571428571412, 0.021447324875896238, 0.02488595438175263, 0.026935112506541143, 0.030362382790954243, 0.0324296455424275, 0.03486794717887148, 0.03971619047619054, 0.04213930789707186, 0.04694204081632656, 0.05052445128995008, 0.05363929757949694, 0.05698097076668508, 0.06137389295340781, 0.0668114285714287, 0.0718176870748304, 0.07663836734693891, 0.08321986907970728, 0.08912352309344826, 0.0962593811718236, 0.10292406264831509, 0.11333714285714287, 0.12210976282404858, 0.13053632653061212, 0.149040816326531, 0.16216954474097353, 0.17512352309344825, 0.18788979591836769, 0.20871428571428566, 0.22496355685131203, 0.24561753590324997, 0.2624244897959194, 0.2821768707483021, 0.297705539358601, 0.31903741496598714, 0.3340115830115834, 0.3502619741774262, 0.3733437164339422, 0.39120153061224494, 0.41149319727891315, 0.4314068466096119, 0.45809475218658924, 0.473]",7.2,25,-7.2,0.63,0.623
