PolynomialFeatures,MLP,PATCHTST_MAPE,Informer_MAPE,IMOE-woFO,IMOE-linear,IMOE
4.32795885,0.646251611,0.391218066,1.531854738,0.462545594,0.482886611,0.616943277
0.177457564,0.663265001,0.476861186,0.574471708,0.421755156,0.700505916,0.342612551
0.497441809,0.771881899,0.613041176,1.23718679,0.520823058,0.57443874,0.330009405
0.467688776,1.140783375,0.763377408,1.163476519,0.448702043,0.932119973,0.53135124
0.471124791,0.671612459,0.39676358,0.71820193,0.533571374,0.365304062,0.392545899
0.669128382,0.609536189,0.401627459,0.849667192,0.390484859,0.26938268,0.345489918
0.725745706,0.628847963,0.340314163,0.880910549,0.241918606,0.420471886,0.63994918
2.041182442,0.624493509,0.517935771,1.544304378,0.406216877,0.303973467,0.715661934
0.581875055,0.675005321,0.350093795,4.928633571,0.443590479,0.449148659,0.362008694
1.186472097,0.621366802,0.428491831,1.450668927,0.323641975,0.26689868,0.63740192
1.310178494,1.406771107,1.015441865,4.798072204,1.126363408,1.838289201,0.15885249
2.308060794,1.285905842,0.785499811,0.686052302,0.986017194,0.884709321,0.297737867
0.504843306,1.375757589,0.375118782,2.562765218,0.771160191,0.839845929,0.328294374
1.120385239,1.185756018,0.396090047,0.876121875,0.937762111,1.079012454,0.203600619
1.428987471,1.194321113,0.552387116,1.517829578,1.033666916,0.859169383,0.344782975
1.460584448,1.235963572,1.162287034,0.668301992,0.81111053,1.258613355,0.316204992
1.486310603,1.412292555,0.717896037,2.130892314,1.016998384,1.076452993,0.158727064
1.096571013,1.39777967,0.69257482,0.907327048,1.073442306,1.314825285,0.258165482
0.904403829,1.301212031,0.502458448,0.837105513,0.941529218,1.152391918,0.313104596
0.972021992,1.409299354,0.620912528,1.185653824,0.968494825,1.161047816,0.186084851
1.017343216,0.996785723,1.366753131,4.555816203,5.50211817,3.919210657,0.808550417
1.457941348,0.714792245,0.972845592,1.741083711,4.55843173,3.572537377,0.865126029
0.50818688,0.892062485,2.830977738,1.589450426,4.41233255,3.834306821,0.844400842
0.567924255,0.957231178,1.308238041,1.370644104,5.426713824,1.32621862,0.829434674
5.31251585,1.018176799,1.253053732,1.20484978,0.979018584,1.493635867,0.935970712
2.129397536,0.866149715,1.403967757,2.15395838,0.2548686,0.300171482,1.093178336
0.220287454,0.785246223,1.303347945,1.892893389,0.259768823,0.326467236,0.906299986
0.466292327,0.885599473,1.200294867,2.552563325,0.202644127,0.380970887,1.046766341
0.304862257,0.794428833,1.393334195,3.162968159,0.209084945,0.315856305,0.911999401
0.490163072,0.913779231,1.30856866,1.035027672,0.352785573,0.345294806,1.072076708
0.476793139,0.953497939,1.202538982,4.326489568,0.388308452,0.35539947,1.021260023
0.221167095,0.974567199,1.12403594,1.255668513,0.356001337,0.362642528,0.779738324
0.310094173,1.043978832,1.245466992,1.40453428,0.347550516,0.360895414,0.954283401
0.194026633,0.969669547,1.112886891,1.212183665,0.385867315,0.363414059,1.003426313
0.584986044,1.000710214,1.145382505,1.741980016,0.37729789,0.39406349,0.776770618
0.569977178,1.09278719,1.28973797,1.555189304,0.372486049,0.503985863,0.8466864
0.769877006,1.02068877,1.340027805,1.717943698,0.264041615,0.398765458,0.747300498
0.388789601,0.886979921,1.908852346,1.240326185,0.370496558,0.809402205,0.910338853
0.519782724,1.054034134,1.465186384,1.318997052,0.548320683,0.778607698,0.820108783
0.60600198,1.072627142,1.278834138,1.266128011,0.316714123,0.349309552,0.986657292
0.320920365,2.707094334,1.242101751,1.431788411,0.198854203,0.290666055,0.957300887
0.489007257,2.297159823,1.813881844,1.145293936,0.40425146,0.318274065,0.952423271
0.418870315,2.529403373,1.358071994,2.1124525,0.205750181,0.2879465,0.984345004
0.163132446,2.507548803,3.059647605,1.34338364,0.319085992,0.330881518,0.956346095
0.50224328,2.361548384,1.809302904,1.729803905,0.199074857,0.287018437,0.946865883
0.349049533,2.194844857,1.112555619,1.922698133,0.690332567,0.743721891,1.041219477
0.335168611,1.83682665,1.263707969,1.363893505,0.409056433,0.420154398,0.981032941
0.694647959,2.056229018,1.141119003,2.326949872,0.611047354,0.402680459,0.9474447
0.282265656,1.764732171,1.280126069,1.515299175,0.586200086,0.594843784,1.048410404
0.376327031,2.182416426,1.450785808,4.743133113,0.827339664,0.425564777,0.974858738
0.774318814,0.681880153,0.304873986,1.548171695,0.438173814,0.544283539,0.312495511
1.5165123,0.766624684,0.453545805,0.465941988,0.374596636,0.395476911,0.287695555
1.511121938,0.716810079,0.369777693,1.298174169,0.49518249,0.358766248,0.377767999
0.323340227,1.068345978,0.961860642,1.298198197,0.423282571,0.484922901,0.281816022
1.017530879,0.764829278,0.355955632,2.07449086,0.244850991,0.357816834,0.284850923
0.487948999,0.852975256,0.700660609,1.312657539,0.50171949,3.016205505,0.276760035
0.178513712,0.787810322,0.725229084,1.398271229,0.97286636,3.406056389,0.281024841
0.350571157,0.852770814,0.251465919,2.219504118,0.825561304,3.015075997,0.374684064
0.55532852,0.831072376,0.258258404,3.173487261,0.594728533,3.204301372,0.28965699
0.705235106,0.895924801,0.81948461,2.711191773,0.668563973,3.241034597,0.267360592
0.34672999,0.8236609,0.94958609,0.257237884,0.335281249,3.477200121,0.352054345
