Model,Group,Type,MAPE
SOC30,NCACY35-05_1,Current,1.4801395243634523
SOC30,NCACY35-05_1,Current,0.5146609575740805
SOC30,NCACY35-05_1,Current,1.1523317750922417
SOC30,NCACY35-05_1,Current,0.521393083252173
SOC30,NCACY35-05_1,Current,0.9087739286776272
SOC30,NCACY35-05_1,Current,0.6280847513332195
SOC30,NCACY35-05_1,Current,0.458252475217208
SOC30,NCACY35-05_1,Current,0.5746098069356492
SOC30,NCACY35-05_1,Current,0.5956222177014808
SOC30,NCACY25-025_1,Current,1.8963920396335054
SOC30,NCACY25-025_1,Current,1.5554415470688694
SOC30,NCACY25-025_1,Current,3.1481894142967164
SOC30,NCACY25-025_1,Current,1.8422169737034602
SOC30,NCACY25-025_1,Current,1.7937575943204744
SOC30,NCACY25-025_1,Current,1.5712255033856992
SOC30,NCACY25-025_1,Current,1.5908137706375387
SOC30,NCACY25-025_1,Current,2.1288307933637514
SOC30,NCACY25-025_1,Current,1.5261282445223043
SOC30,NCACY25-025_1,Current,2.173500334307664
SOC30,NCACY25-05_1,Current,1.2373373037046156
SOC30,NCACY25-05_1,Current,1.3806858895289547
SOC30,NCACY25-05_1,Current,1.2845994471241071
SOC30,NCACY25-05_1,Current,1.145594036885145
SOC30,NCACY25-05_1,Current,1.2881214471679987
SOC30,NCACY25-05_1,Current,1.2690955743413046
SOC30,NCACY25-05_1,Current,1.2985242522992002
SOC30,NCACY25-05_1,Current,1.1756121943326163
SOC30,NCACY25-05_1,Current,1.3772550827050123
SOC30,NCACY25-05_1,Current,1.4029101907860224
SOC30,NCACY25-1_1,Current,1.0359834361034186
SOC30,NCACY25-1_1,Current,1.0110222770427404
SOC30,NCACY25-1_1,Current,0.962333905848674
SOC30,NCACY25-1_1,Current,1.0758190271748296
SOC30,NCACY25-1_1,Current,1.4712356269773932
SOC30,NCACY25-1_1,Current,1.6275359345892026
SOC30,NCACY25-1_1,Current,0.983522338603514
SOC30,NCACY25-1_1,Current,1.2258904257715346
SOC30,NCACY25-1_1,Current,1.7947455702685806
SOC30,NCACY25-1_1,Current,1.0329931309033762
SOC30,NCMCY45-05_1,Current,0.4613081502332782
SOC30,NCMCY45-05_1,Current,0.5083668595858201
SOC30,NCMCY45-05_1,Current,0.7068788110163957
SOC30,NCMCY45-05_1,Current,0.4921447201230231
SOC30,NCMCY45-05_1,Current,0.6695617971951121
SOC30,NCMCY45-05_1,Current,0.4929543552944082
SOC30,NCMCY45-05_1,Current,0.49295062745679286
SOC30,NCMCY45-05_1,Current,0.614909082328517
SOC30,NCMCY45-05_1,Current,0.56669468009569
SOC30,NCMCY45-05_1,Current,0.5502819389822141
SOC30,NCMCY35-05_1,Current,0.4532690782710125
SOC30,NCMCY35-05_1,Current,0.4608692967133283
SOC30,NCMCY35-05_1,Current,0.5405263604292999
SOC30,NCMCY35-05_1,Current,0.4561037551377599
SOC30,NCMCY35-05_1,Current,0.579203911434193
SOC30,NCMCY35-05_1,Current,0.4568252872778361
SOC30,NCMCY35-05_1,Current,0.45249790992796335
SOC30,NCMCY35-05_1,Current,0.45383220454191336
SOC30,NCMCY35-05_1,Current,0.4659796372585566
SOC30,NCMCY35-05_1,Current,0.44848139701404216
SOC30,NCMCY25-05_1,Current,0.5198045095020511
SOC30,NCMCY25-05_1,Current,0.6290047786199999
SOC30,NCMCY25-05_1,Current,0.47121842494663574
SOC30,NCMCY25-05_1,Current,0.8336553800862277
SOC30,NCMCY25-05_1,Current,0.5034020691766266
SOC30,NCMCY25-05_1,Current,0.7322797348805736
SOC30,NCMCY25-05_1,Current,0.37621229169090065
SOC30,NCMCY25-05_1,Current,0.5554801067811475
SOC30,NCMCY25-05_1,Current,0.8741041705061717
SOC30,NCMCY25-05_1,Current,0.9687882720059755
SOC30,NCMNCACY25-05_1,Current,1.0019617964301661
SOC30,NCMNCACY25-05_1,Current,0.6310484095125631
SOC30,NCMNCACY25-05_1,Current,1.3191692559041528
SOC30,NCMNCACY25-05_1,Current,0.8823682179733225
SOC30,NCMNCACY25-05_1,Current,0.9512660790098245
SOC30,NCMNCACY25-05_1,Current,1.0225935540861832
SOC30,NCMNCACY25-05_1,Current,0.45564608031705334
SOC30,NCMNCACY25-05_1,Current,0.58368239851266
SOC30,NCMNCACY25-05_1,Current,0.6531011005453615
SOC30,NCMNCACY25-05_1,Current,0.6205764174527587
SOC30,NCMNCACY25-05_2,Current,1.112742838378933
SOC30,NCMNCACY25-05_2,Current,0.7433569769336418
SOC30,NCMNCACY25-05_2,Current,1.44995493807044
SOC30,NCMNCACY25-05_2,Current,0.8744635932869252
SOC30,NCMNCACY25-05_2,Current,0.8327812110792256
SOC30,NCMNCACY25-05_2,Current,2.1176904363106757
SOC30,NCMNCACY25-05_2,Current,0.9155120588761225
SOC30,NCMNCACY25-05_2,Current,0.8068803743219697
SOC30,NCMNCACY25-05_2,Current,0.936052596396083
SOC30,NCMNCACY25-05_2,Current,1.0138262155494382
SOC30,NCMNCACY25-05_4,Current,1.1804227388312498
SOC30,NCMNCACY25-05_4,Current,1.5896529937006114
SOC30,NCMNCACY25-05_4,Current,2.044561522900603
SOC30,NCMNCACY25-05_4,Current,0.7081687412550877
SOC30,NCMNCACY25-05_4,Current,1.3020192633792793
SOC30,NCMNCACY25-05_4,Current,0.8409062908890294
SOC30,NCMNCACY25-05_4,Current,1.2253475818367225
SOC30,NCMNCACY25-05_4,Current,1.115906508212688
SOC30,NCMNCACY25-05_4,Current,1.2793611343689686
SOC30,NCMNCACY25-05_4,Current,0.8587803359842217
SOC40,NCACY45-05_1,Current,1.4340887357892458
SOC40,NCACY45-05_1,Current,0.8805939024047384
SOC40,NCACY45-05_1,Current,0.798555487225327
SOC40,NCACY45-05_1,Current,0.9020716828908603
SOC40,NCACY45-05_1,Current,0.784265440605186
SOC40,NCACY45-05_1,Current,1.1011268868942656
SOC40,NCACY45-05_1,Current,0.978325106710791
SOC40,NCACY45-05_1,Current,0.8364084455678353
SOC40,NCACY45-05_1,Current,0.6261972132873498
SOC40,NCACY45-05_1,Current,1.0139104380771824
SOC40,NCACY35-05_1,Current,1.7639616362482995
SOC40,NCACY35-05_1,Current,1.2567500596515904
SOC40,NCACY35-05_1,Current,1.6728432751770579
SOC40,NCACY35-05_1,Current,1.59494448427293
SOC40,NCACY35-05_1,Current,2.113721942077019
SOC40,NCACY35-05_1,Current,2.1150017187974997
SOC40,NCACY35-05_1,Current,1.4770245216244426
SOC40,NCACY35-05_1,Current,2.086397434644552
SOC40,NCACY35-05_1,Current,1.685833771255123
SOC40,NCACY35-05_1,Current,1.6004859749699931
SOC40,NCACY25-025_1,Current,3.130586248975292
SOC40,NCACY25-025_1,Current,3.4474818750736227
SOC40,NCACY25-025_1,Current,2.753569104689241
SOC40,NCACY25-025_1,Current,3.886421235222763
SOC40,NCACY25-025_1,Current,3.109935190563559
SOC40,NCACY25-025_1,Current,3.7803392057786893
