Dataset,RMSE,MAPE,MAE
UL,2.26614342310987,0.6169433226490679,1.7551393787862413
UL,1.7622421996042457,0.3426125484075052,0.9735535362418728
UL,1.6924277903951717,0.3300094069892046,0.9407061863192144
UL,2.02639862291609,0.5313512460130901,1.5040906019648506
UL,1.84820115509832,0.3925459355288661,1.1228639538548577
UL,1.6930556996783548,0.3454899103115237,0.9837623416183068
UL,2.405615674203864,0.6399491968386622,1.8154738468744716
UL,2.5307143227984352,0.7156620009891247,2.016890989092757
UL,1.6990306457411908,0.36200875939781,1.0259911681115437
UL,2.318820158482505,0.6374019028597575,1.8098058053271264
UL,0.7097031238697518,0.1588524930854496,0.4668419823407608
UL,1.2941947947063197,0.2977378693842389,0.8750941478089309
UL,1.0510056697493906,0.3282943775539378,0.9511398791227984
UL,0.83200653073227,0.203600619253005,0.5953177221460281
UL,1.1334978607223842,0.3447829510407604,0.9971173895210482
UL,1.056272541403117,0.3162050076478265,0.918928925507988
UL,0.7715577112148698,0.1587270529791407,0.4688879628067182
UL,1.0190163851045986,0.2581654908981187,0.7577582164008114
UL,1.073806994916152,0.3131045923515635,0.9112500988580045
UL,0.8710797971133629,0.1860848743345615,0.5479473319708132
UL,3.181200220167302,0.8085503494085732,2.333143713052381
UL,3.20229714298849,0.8651260675516393,2.474323892135516
UL,3.035499090978993,0.8444009389598933,2.4125256073981807
UL,3.0080767730514824,0.8294347152733148,2.3846214710439675
UL,3.447721327766298,0.9359707051951685,2.6691130329388484
UL,3.6737725736524935,1.0931783982183327,3.115029529288963
UL,3.382944658265468,0.9062999935980722,2.59254625370146
UL,3.666823167342761,1.0467663779677796,2.9788044365672253
UL,3.4433826091012207,0.91199929167725,2.6059949021934643
UL,3.6123738368223393,1.0720766662128765,3.0588895028510703
UL,4.543474242477261,1.0212600761148192,2.9575919177434216
UL,3.740641664694069,0.7797382988398156,2.2651091438450224
UL,4.32170860606278,0.9542833561376312,2.782361430991186
UL,4.386035357363512,1.0034262402924603,2.915494652316995
UL,3.79940494772141,0.7767706063552502,2.244755336029889
UL,4.0159742412261545,0.8466863639731265,2.449779467386742
UL,3.648660790153292,0.7473004349475068,2.1663209248895514
UL,4.296875064229953,0.9103388470671367,2.6383123972644547
UL,3.67485640795909,0.8201088431389124,2.3852832265096167
UL,4.2816670261452,0.9866572321986316,2.8730744244301154
UL,3.3789416069216585,0.9573009423796052,2.81414192298363
UL,3.399974987856929,0.9524232877988998,2.829189423857064
UL,3.4251826509547127,0.9843449142093588,2.893016954948162
UL,3.513809908773708,0.9563460867065128,2.7799030419053703
UL,3.2719733936852244,0.9468659245021044,2.78995419370717
UL,3.5682316956879303,1.0412194965281223,3.074366594183034
UL,3.4649683698388314,0.9810329462971844,2.90565535939973
UL,3.4451760901433723,0.9474446616749496,2.762143159734792
UL,3.682782344658923,1.0484104302478063,3.0501306468042837
UL,3.474230007298797,0.9748587168971492,2.8514866993345063
UL,1.2379519475595775,0.3124955385671695,0.8607737401092987
UL,1.1658398604550162,0.2876955674394041,0.7911656750661503
UL,1.4174443315258554,0.3777679960569128,1.042573814428481
UL,1.1476268999862278,0.2818159896022685,0.7784125711080313
UL,1.1684932022654977,0.2848509055600283,0.7852097020466516
UL,1.0566128896689642,0.2767600006147641,0.7703544940580027
UL,1.095276225029175,0.2810248427551723,0.7724305882307216
UL,1.3743657760685712,0.3746840471052037,1.0278261776275233
