Group,Model,MAPE
NCACY25-05_1,ex3,1.1080883
NCACY25-05_1,ex4,1.0589861
NCACY25-05_1,ex4,1.0708065
NCACY25-05_1,ex4,1.0874368
NCACY25-05_1,ex4,1.1076397
NCACY25-05_1,ex4,1.3158108
NCACY25-05_1,ex4,1.0987897
NCACY25-05_1,ex4,1.081434
NCACY25-05_1,ex4,1.3388494
NCACY25-05_1,ex4,1.0710793
NCACY25-05_1,ex4,1.3005701
NCACY25-05_1,ex5,1.02126
NCACY25-05_1,ex5,0.7797383
NCACY25-05_1,ex5,0.9542834
NCACY25-05_1,ex5,1.0034263
NCACY25-05_1,ex5,0.7767706
NCACY25-05_1,ex5,0.8466864
NCACY25-05_1,ex5,0.7473005
NCACY25-05_1,ex5,0.9103389
NCACY25-05_1,ex5,0.8201088
NCACY25-05_1,ex5,0.98665726
NCACY25-05_1,ex6,1.1634719
NCACY25-05_1,ex6,1.0869777
NCACY25-05_1,ex6,1.0535712
NCACY25-05_1,ex6,1.046716
NCACY25-05_1,ex6,1.0630801
NCACY25-05_1,ex6,1.1196903
NCACY25-05_1,ex6,1.1058538
NCACY25-05_1,ex6,1.1197739
NCACY25-05_1,ex6,1.1802416
NCACY25-05_1,ex6,1.0922302
NCACY25-05_1,ex7,1.1077608
NCACY25-05_1,ex7,1.3087525
NCACY25-05_1,ex7,1.079121
NCACY25-05_1,ex7,1.0207253
NCACY25-05_1,ex7,1.0634711
NCACY25-05_1,ex7,1.1586533
NCACY25-05_1,ex7,1.22236
NCACY25-05_1,ex7,1.1230141
NCACY25-05_1,ex7,1.3089763
NCACY25-05_1,ex7,1.2019888
NCACY25-1_1,ex3,1.0124454
NCACY25-1_1,ex3,1.5222329
NCACY25-1_1,ex3,1.1023047
NCACY25-1_1,ex3,1.0721555
NCACY25-1_1,ex3,2.064449
NCACY25-1_1,ex3,2.8159373
NCACY25-1_1,ex3,1.160885
NCACY25-1_1,ex3,1.5839583
NCACY25-1_1,ex3,0.97456306
NCACY25-1_1,ex3,1.0657126
NCACY25-1_1,ex4,1.0356461
NCACY25-1_1,ex4,0.95402867
NCACY25-1_1,ex4,0.9991807
NCACY25-1_1,ex4,0.99357796
NCACY25-1_1,ex4,4.32084
NCACY25-1_1,ex4,1.5655881
NCACY25-1_1,ex4,0.980083
NCACY25-1_1,ex4,1.768842
NCACY25-1_1,ex4,3.1540937
