Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.006640446967944191, 0.017344140329586616, 0.028729504457170707, 0.04110350547708455, 0.05469086901434736, 0.0699381080384153, 0.08731237679874734, 0.1082322653749144, 0.13459650478695603, 0.1675805930735911, 0.2059448442451969, 0.24571075658927413, 0.2842938808071046, 0.32118144641091995, 0.35617237119832446, 0.39001528135632635, 0.4231297100062478, 0.4555817771428555, 0.4876912497274861, 0.5188733508360348, 0.5493120403763888, 0.5780910058086899, 0.605931511245957, 0.632358848956574, 0.6577725979292807, 0.6822099714794078, 0.705630193830527, 0.7283467427952987, 0.7502628125972532, 0.771444839817628, 0.7920096647065935, 0.8119604292594957, 0.8314478914328582, 0.8504304286788398, 0.8688369646271012, 0.8867119155904384, 0.9043992127743958, 0.9215518471471169, 0.9382860905808466, 0.954773462081784, 0.9708123935989095, 0.9865721934912484, 1.0019251144506898, 1.0171026785958115, 1.0319286194206698, 1.0464432000658315, 1.060821004297555, 1.074929906747731, 1.0865561]","[4.197334, 4.196954, 4.196665, 4.196462, 4.196213, 4.195965, 4.195865, 4.195719, 4.195572, 4.195422, 4.195308, 4.195152, 4.195059, 4.194943, 4.19484, 4.194762, 4.194602, 4.194481, 4.194417, 4.194324, 4.194232, 4.194129, 4.194058, 4.19392, 4.193836, 4.193759, 4.193614, 4.193588, 4.193519, 4.193438, 4.19336, 4.193243, 4.193193, 4.193121, 4.193025, 4.192963, 4.192869, 4.192812, 4.192719, 4.192663, 4.1926, 4.192526, 4.192474, 4.192407, 4.192326, 4.192214, 4.192172, 4.192098, 4.192037, 4.192016, 4.191872, 4.191824, 4.19176, 4.19171, 4.191623, 4.191575, 4.191479, 4.191406, 4.191348, 4.19135, 4.19128, 4.191194, 4.191116, 4.191095, 4.191037, 4.190947, 4.19088, 4.190817, 4.190781, 4.190736, 4.190649, 4.190633, 4.190519, 4.190512, 4.190435, 4.190382, 4.190341, 4.190262, 4.190194, 4.190159, 4.190096, 4.19007, 4.189987, 4.189925, 4.189881, 4.189858, 4.189813, 4.18972, 4.189675, 4.189605, 4.189605]",1.904577,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.010450109611665592, 0.023034597933152712, 0.03627588459078451, 0.05033768456715926, 0.06530941142734187, 0.08160104518252098, 0.09986276853976922, 0.12139978860205247, 0.14851729341192654, 0.18320384129464068, 0.223625497697929, 0.2645966100133505, 0.3036093500521356, 0.34065495576649313, 0.3755243303897358, 0.40887622826982856, 0.44108887774784916, 0.47300606815819496, 0.5042027418929291, 0.5352310759679841, 0.5653664133179035, 0.5942035720773833, 0.622089629990433, 0.6487896063952063, 0.6745953916371428, 0.6992282456505992, 0.7230994485671118, 0.7459910430592249, 0.7682230763586311, 0.7897885778568294, 0.8108840225322771, 0.8310419171108347, 0.8510708028295726, 0.8704726892351125, 0.8893344749106322, 0.9078248823529396, 0.925769648537949, 0.9432940952974016, 0.9607046333970182, 0.9775287128078254, 0.9941519452227445, 1.0103667363666775, 1.026328812952208, 1.0418817610245286, 1.0572664083615493, 1.0723318771032815, 1.087251757989706, 1.101815183673469, 1.113176]","[4.197313, 4.196927, 4.196699, 4.196399, 4.196222, 4.196037, 4.195847, 4.195713, 4.195557, 4.195439, 4.195293, 4.195157, 4.195017, 4.194929, 4.194806, 4.194663, 4.194576, 4.194463, 4.194383, 4.194302, 4.194193, 4.1941, 4.194007, 4.193905, 4.193819, 4.193708, 4.193638, 4.193533, 4.19347, 4.193373, 4.193315, 4.19323, 4.193083, 4.193038, 4.192954, 4.19289, 4.192811, 4.192734, 4.19266, 4.192594, 4.192502, 4.192421, 4.192398, 4.192281, 4.192247, 4.192147, 4.192062, 4.191997, 4.191892, 4.191891, 4.191803, 4.19174, 4.191658, 4.191607, 4.191529, 4.191471, 4.19143, 4.191315, 4.191317, 4.19119, 4.191117, 4.191049, 4.191, 4.190932, 4.190889, 4.190854, 4.190794, 4.190718, 4.190656, 4.190563, 4.19053, 4.190441, 4.190401, 4.19036, 4.190285, 4.190228, 4.190188, 4.190113, 4.19003, 4.190006, 4.18993, 4.189847, 4.189802, 4.189775, 4.189728, 4.189662, 4.189601, 4.189566, 4.189499, 4.189426, 4.189439]",1.9025788,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.009371328006140683, 0.019945435490686086, 0.03120052931656353, 0.043453267343020685, 0.05692212377075889, 0.07191207990580789, 0.08919798194119055, 0.10995045866122444, 0.13603559599616932, 0.16896858158032152, 0.2070382059837168, 0.2463749658886606, 0.28470579022556214, 0.3211060869691122, 0.3560554550041923, 0.3898079637901852, 0.42272133593083033, 0.45517117719668737, 0.4872198638895165, 0.5184019800460429, 0.5486216017085208, 0.577442188265304, 0.605007272820155, 0.6314248875021076, 0.6568672896758689, 0.680966340958274, 0.7043346876665624, 0.7267818047367622, 0.7485914581967201, 0.769634022801712, 0.7902191958126041, 0.8100934894187048, 0.8295268667638462, 0.8484242053061237, 0.8667835777975128, 0.8847221409039141, 0.9022762620763067, 0.91938202841336, 0.9359654845259606, 0.9523168490883511, 0.9683902483528855, 0.98406324242782, 0.9994338960902571, 1.0144257027112642, 1.029204826311168, 1.043769623046427, 1.0580817602592942, 1.0720367696574786, 1.0831621]","[4.197366, 4.196937, 4.196661, 4.196384, 4.196208, 4.195971, 4.195903, 4.195693, 4.19552, 4.195417, 4.19524, 4.195186, 4.195004, 4.194908, 4.194799, 4.194694, 4.194568, 4.194475, 4.194409, 4.194289, 4.194157, 4.194104, 4.194008, 4.193897, 4.193836, 4.193755, 4.193637, 4.193592, 4.193473, 4.193394, 4.193335, 4.193252, 4.193181, 4.193099, 4.192993, 4.192909, 4.192873, 4.192773, 4.192701, 4.192621, 4.19257, 4.1925, 4.192458, 4.192402, 4.192272, 4.192208, 4.192152, 4.192077, 4.192013, 4.191934, 4.191878, 4.191805, 4.191761, 4.191677, 4.191619, 4.191603, 4.191512, 4.191437, 4.191374, 4.191278, 4.191246, 4.19124, 4.191142, 4.191055, 4.191052, 4.190958, 4.190906, 4.190817, 4.190776, 4.190756, 4.190687, 4.19062, 4.190555, 4.190502, 4.190489, 4.190418, 4.190357, 4.190295, 4.190266, 4.190176, 4.190112, 4.190097, 4.190033, 4.189953, 4.189895, 4.189831, 4.189791, 4.189764, 4.189748, 4.189653]",1.9005806,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.006803422554521238, 0.017164060116967056, 0.02832835396979086, 0.04037838806978239, 0.05365759881334514, 0.06849075619353306, 0.08547558511742498, 0.10568486506976921, 0.13127078270909442, 0.16343285190029838, 0.20067841956968818, 0.23966436015200032, 0.27800972801001156, 0.31449980059731175, 0.3492252494021677, 0.38277185434173555, 0.41558947111358946, 0.4478119948874387, 0.47964919215880797, 0.5108624734812883, 0.5410931464585822, 0.569684794947663, 0.5974036507109607, 0.6235682594625758, 0.6488596208629859, 0.6731922618789059, 0.6964657949343598, 0.7189576990393546, 0.7407125453674314, 0.7618545811973313, 0.7823154686730545, 0.8021870492871104, 0.8215366285376637, 0.8403085382260604, 0.8586931865292005, 0.8765194268247187, 0.8939943046181518, 0.9110926541666651, 0.9277873089068804, 0.9440300974683549, 0.9600757732675143, 0.9756896895317406, 0.9910109772009013, 1.006034767048709, 1.020788291537375, 1.0353227199078499, 1.0495861934931303, 1.0636215176269954, 1.0764663]","[4.197338, 4.196956, 4.196648, 4.196427, 4.196182, 4.196009, 4.195853, 4.195686, 4.195533, 4.195398, 4.19529, 4.195164, 4.195036, 4.194898, 4.194791, 4.194698, 4.194599, 4.194492, 4.19439, 4.194293, 4.194217, 4.194106, 4.19405, 4.193923, 4.193843, 4.193759, 4.19369, 4.193605, 4.193521, 4.193452, 4.193297, 4.193259, 4.193168, 4.193111, 4.193035, 4.192994, 4.192883, 4.192827, 4.192777, 4.192684, 4.192601, 4.192501, 4.192474, 4.192402, 4.19235, 4.192265, 4.192206, 4.192112, 4.19207, 4.192018, 4.191969, 4.191893, 4.191782, 4.191738, 4.191692, 4.191652, 4.191557, 4.191501, 4.191463, 4.191369, 4.191343, 4.191239, 4.191201, 4.191154, 4.191103, 4.191026, 4.190972, 4.190958, 4.190874, 4.190798, 4.190779, 4.190673, 4.190646, 4.19056, 4.190528, 4.190466, 4.190409, 4.190386, 4.190352, 4.190259, 4.190228, 4.1902, 4.19014, 4.190094, 4.190011, 4.189971, 4.189929, 4.18987, 4.1898, 4.189784]",1.8985824,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.009154714663049596, 0.019462580095110094, 0.030503135635792267, 0.04246361074757857, 0.05563800250612219, 0.07040623452776415, 0.08717754652614992, 0.10726200008578637, 0.13257115552769574, 0.1640774600658085, 0.20124438165528621, 0.24029518907305267, 0.27830557544205525, 0.31461466204154864, 0.34926931488294666, 0.38290044074320007, 0.4155272578049891, 0.44806207692918243, 0.48017769868428584, 0.5111125176064188, 0.5411509860205638, 0.570089819589653, 0.5975370051516816, 0.6238707038743617, 0.648957156502078, 0.6732577498488699, 0.6965822025052779, 0.719162449276973, 0.7408746902434835, 0.7619998250284022, 0.7823622231792321, 0.8022354082664959, 0.8215808934295644, 0.8403612637923193, 0.8585586216847906, 0.8765004247009135, 0.893840743723931, 0.910918250878178, 0.927513254346059, 0.9437875797404399, 0.9596882244080404, 0.9752873964473533, 0.9906678005716639, 1.005698857386766, 1.020446090415893, 1.0348764551873693, 1.0491143941176462, 1.0631106632345966, 1.0765400999999999]","[4.197294, 4.196976, 4.196653, 4.196387, 4.196208, 4.19607, 4.195821, 4.195644, 4.19552, 4.195418, 4.195266, 4.195158, 4.19506, 4.194895, 4.194795, 4.194684, 4.194623, 4.194488, 4.194378, 4.194282, 4.194178, 4.194118, 4.19401, 4.193922, 4.193841, 4.19374, 4.193674, 4.193594, 4.193516, 4.193417, 4.193341, 4.193274, 4.1932, 4.19312, 4.193048, 4.193012, 4.192896, 4.192803, 4.192749, 4.192712, 4.192615, 4.192552, 4.192453, 4.192436, 4.192313, 4.192274, 4.192213, 4.192115, 4.19205, 4.192062, 4.191947, 4.1919, 4.191847, 4.191782, 4.191725, 4.191628, 4.191607, 4.191496, 4.191435, 4.191411, 4.191346, 4.191307, 4.191225, 4.191178, 4.191115, 4.191034, 4.191035, 4.19095, 4.190896, 4.190836, 4.190805, 4.190767, 4.1907, 4.190652, 4.19056, 4.190486, 4.190447, 4.190419, 4.190381, 4.190291, 4.190276, 4.190197, 4.190148, 4.190105, 4.190027, 4.189993, 4.18997, 4.18994, 4.18987, 4.189845, 4.189838]",1.8965842000000002,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.008411934452734388, 0.018692285880101994, 0.029816120271873553, 0.041740478017491894, 0.05483573265025796, 0.0694376126861552, 0.0859801391877438, 0.10597978377461073, 0.13092151867292254, 0.16208041691011174, 0.1988146653205453, 0.23755194291128542, 0.27560971664838996, 0.3119123184265006, 0.3466974128557532, 0.38026184429158105, 0.41296030399880734, 0.4452209989659044, 0.4770562312515354, 0.5081183342397069, 0.538219853357241, 0.5670277684742449, 0.5945119252303924, 0.6208630087755095, 0.64617674422121, 0.6702071257515744, 0.6937170963121675, 0.7161419348694308, 0.7379788312470689, 0.759104484606531, 0.7795003791929669, 0.7992519726692169, 0.8187974194768364, 0.8375533340491095, 0.8558468084745758, 0.873741242671944, 0.8912441077192363, 0.9082291277592305, 0.9249594960891603, 0.9412111581965912, 0.9571875493478594, 0.9726616438790718, 0.9880787681781473, 1.0029968877085533, 1.0177582045105193, 1.0322713198979567, 1.0465542078657897, 1.0604998389920417, 1.0732009]","[4.197329, 4.196923, 4.196672, 4.196416, 4.19619, 4.196036, 4.195827, 4.195632, 4.195513, 4.195402, 4.195252, 4.195154, 4.195002, 4.194893, 4.194836, 4.194698, 4.194609, 4.194462, 4.194378, 4.194299, 4.19416, 4.194117, 4.194003, 4.193919, 4.193864, 4.193759, 4.193675, 4.193594, 4.193517, 4.193424, 4.193354, 4.193297, 4.193226, 4.193126, 4.193052, 4.192963, 4.192901, 4.192864, 4.192756, 4.192694, 4.192632, 4.192553, 4.192487, 4.192394, 4.192343, 4.19226, 4.192232, 4.192174, 4.192069, 4.19205, 4.191984, 4.191924, 4.191825, 4.19176, 4.19174, 4.191639, 4.191586, 4.191536, 4.191486, 4.191411, 4.191332, 4.191284, 4.191241, 4.191189, 4.191123, 4.191119, 4.191029, 4.190972, 4.190872, 4.190872, 4.190791, 4.190714, 4.19068, 4.19067, 4.190576, 4.190569, 4.190512, 4.190446, 4.190384, 4.190327, 4.190328, 4.190239, 4.190174, 4.190127, 4.190104, 4.19006, 4.189974, 4.189952, 4.18989, 4.189891, 4.18989]",1.894586,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.009928126267280124, 0.022290403334146836, 0.035371110345054635, 0.04919897608396123, 0.06389647750442645, 0.080020370390321, 0.09789963985516692, 0.11898706242058904, 0.14563903794595873, 0.17933309079506643, 0.21917928862396513, 0.25942107115835705, 0.2983226944740947, 0.33493015336538395, 0.3695207447006595, 0.4027913854757051, 0.43506479846163454, 0.4668746393823289, 0.4981646604514966, 0.5290379804340282, 0.558899321144539, 0.5877666295283246, 0.6154855035748523, 0.6422757343148287, 0.6678820816326516, 0.6924008199435105, 0.7161308132867126, 0.7390142290265738, 0.7614688744408926, 0.7828304116988802, 0.8038304389421063, 0.8240901194637527, 0.8440005110807944, 0.8632064396425723, 0.8820028559115578, 0.9004142608347845, 0.9183217149405762, 0.9358742159940647, 0.9530240455943984, 0.9699286840372454, 0.9864187274734264, 1.002608549550143, 1.0184743796076552, 1.0340730804862164, 1.0495984792222395, 1.0645153608942677, 1.0793678018759005, 1.0939674242346935, 1.1064739]","[4.19734, 4.196923, 4.196678, 4.196436, 4.196192, 4.196012, 4.195862, 4.195675, 4.195541, 4.195392, 4.195236, 4.195128, 4.195019, 4.194909, 4.194784, 4.194687, 4.194569, 4.1945, 4.194379, 4.194269, 4.194209, 4.194102, 4.194026, 4.19389, 4.19382, 4.193735, 4.19363, 4.19359, 4.193457, 4.193389, 4.193316, 4.193223, 4.193166, 4.193125, 4.192987, 4.19294, 4.192869, 4.192779, 4.192682, 4.192636, 4.192569, 4.192456, 4.192422, 4.192358, 4.192267, 4.192175, 4.192149, 4.192041, 4.191976, 4.191887, 4.191838, 4.191767, 4.191716, 4.19167, 4.191612, 4.191536, 4.191423, 4.19137, 4.191296, 4.191231, 4.191218, 4.191144, 4.191098, 4.190988, 4.190937, 4.190942, 4.190809, 4.190792, 4.190706, 4.190654, 4.190593, 4.190547, 4.190501, 4.190451, 4.190381, 4.190348, 4.190251, 4.190194, 4.190114, 4.190089, 4.190014, 4.189945, 4.189911, 4.189836, 4.189813, 4.189754, 4.189719, 4.189638, 4.189612, 4.18957, 4.189569]",1.8939698,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.007329392332548507, 0.01773298759363065, 0.028982245997313305, 0.04113743634596642, 0.0543562485992711, 0.06923108951886978, 0.08621943255518863, 0.1063720196827855, 0.1318954945702562, 0.163855216850278, 0.20140688875102034, 0.24049722575425428, 0.2785019837964544, 0.31511067093596057, 0.34965493423573357, 0.3831056284018811, 0.416011142873548, 0.4484962521120067, 0.480290408697609, 0.5113960809442585, 0.5416097560767578, 0.5704498468961985, 0.5978694948198807, 0.6242044899692187, 0.6494662689061014, 0.6738498388508406, 0.6971102793356101, 0.7195811546682852, 0.7413252815215582, 0.7624890307122021, 0.7828200839986973, 0.8027381971240303, 0.8220593498769432, 0.8409758050499033, 0.8593003952004018, 0.8770079437341883, 0.8945889867245561, 0.9115865183673456, 0.9283161117370865, 0.9445843240979598, 0.960616762962372, 0.9762267031385278, 0.9915231505952377, 1.0066146975941819, 1.0212580424541404, 1.035746108886968, 1.0499366688666958, 1.0640824308776415, 1.0764816]","[4.19733, 4.196965, 4.196597, 4.196391, 4.196188, 4.196038, 4.195815, 4.195658, 4.195536, 4.195379, 4.195225, 4.195113, 4.195012, 4.194901, 4.1948, 4.194674, 4.19455, 4.194438, 4.194377, 4.194255, 4.194165, 4.194069, 4.194014, 4.193916, 4.193814, 4.193747, 4.193653, 4.193584, 4.193475, 4.193367, 4.193377, 4.193248, 4.193173, 4.193076, 4.193, 4.192936, 4.192873, 4.192805, 4.192689, 4.192585, 4.192575, 4.192497, 4.192432, 4.192339, 4.192305, 4.192224, 4.192125, 4.192109, 4.191998, 4.191986, 4.191913, 4.191834, 4.191801, 4.191705, 4.191628, 4.191615, 4.191528, 4.191493, 4.191389, 4.191331, 4.191318, 4.191192, 4.191147, 4.191106, 4.191046, 4.190981, 4.190936, 4.190882, 4.190817, 4.190758, 4.190701, 4.190619, 4.190591, 4.190511, 4.190495, 4.190419, 4.190368, 4.190313, 4.19028, 4.190212, 4.190195, 4.19014, 4.190069, 4.189995, 4.19, 4.189911, 4.189841, 4.189827, 4.189707, 4.189758, 4.189758]",1.8933536,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.008378897478991038, 0.018735912610317734, 0.029839940398201703, 0.04182444341418862, 0.054834765541884156, 0.06947660507662651, 0.0862582858054427, 0.10617755316724065, 0.13118142916732484, 0.16259600467468777, 0.1994464153138818, 0.23809233670010305, 0.2759930954807846, 0.31217027503467404, 0.3465919246784674, 0.3803018526940178, 0.41298331455761467, 0.44550117976135056, 0.4772880253030041, 0.5084898446538424, 0.5385502882544193, 0.5673126480897828, 0.5948088003211442, 0.6210290296880063, 0.6463561932361506, 0.6705243172799873, 0.6938586161336284, 0.716299611979569, 0.738068482693143, 0.759083864642242, 0.7795524478542621, 0.7993881806997063, 0.8187593774109252, 0.8376739720169821, 0.8560419667537216, 0.873852228432598, 0.8912699869121923, 0.9083277315414666, 0.9250018638969861, 0.9412512435536127, 0.9572271139344752, 0.9729183047244094, 0.9881280489574893, 1.0031112270644322, 1.0178628425655962, 1.0323144775595097, 1.046608978490777, 1.0605788834482752, 1.0731483]","[4.197265, 4.196916, 4.196666, 4.196414, 4.196183, 4.195964, 4.195842, 4.195649, 4.195549, 4.19539, 4.195261, 4.19516, 4.195022, 4.194886, 4.194787, 4.194692, 4.194582, 4.194491, 4.194367, 4.194269, 4.194198, 4.194053, 4.194012, 4.193879, 4.193861, 4.193721, 4.193639, 4.193552, 4.193499, 4.193397, 4.193318, 4.193264, 4.193175, 4.193071, 4.193052, 4.192952, 4.192878, 4.192799, 4.192738, 4.192634, 4.192545, 4.192558, 4.192392, 4.192411, 4.192352, 4.192246, 4.192196, 4.192132, 4.192046, 4.191992, 4.191935, 4.191875, 4.191842, 4.191751, 4.191675, 4.191617, 4.191568, 4.191507, 4.191413, 4.191414, 4.191286, 4.191271, 4.191186, 4.191118, 4.191125, 4.191071, 4.191008, 4.190944, 4.190857, 4.190828, 4.190781, 4.190703, 4.190621, 4.190596, 4.190593, 4.190479, 4.190469, 4.190402, 4.190349, 4.190298, 4.190184, 4.190162, 4.190109, 4.190043, 4.190031, 4.189982, 4.189962, 4.189891, 4.189838, 4.189764, 4.189757]",1.8927374000000001,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.007746732818746799, 0.018016297127431136, 0.029094750639485994, 0.04101368719130602, 0.054074209539532986, 0.06862834380307395, 0.0851571732607069, 0.10498145179266924, 0.12970282920587936, 0.1610443470537498, 0.19726333968615425, 0.23617608518518293, 0.2741489130717777, 0.310261932925897, 0.34479836864338254, 0.3780757150878089, 0.41043335596402153, 0.44286366585733794, 0.47477511606553, 0.5058708351523452, 0.5359722561284869, 0.5646930562927462, 0.5919166268377491, 0.6183216170921627, 0.6435038750561335, 0.667712388135229, 0.6910851421081786, 0.7133440014530593, 0.7353439374810238, 0.7565375053061215, 0.7768934737471302, 0.7968060497670069, 0.8161314302636193, 0.8348973638818034, 0.8532386150150892, 0.8710159653385727, 0.8884711360980142, 0.9054538169697366, 0.9221334668109313, 0.9384512194458274, 0.9543806387989677, 0.9700167123376617, 0.9852398020611148, 1.0003785629949393, 1.0150954260869551, 1.029634144002133, 1.0438275561875814, 1.0578132413265302, 1.0698678]","[4.197301, 4.196953, 4.196629, 4.196376, 4.196175, 4.195992, 4.195821, 4.195663, 4.195545, 4.195377, 4.19526, 4.195138, 4.194986, 4.194898, 4.194804, 4.19465, 4.19457, 4.194499, 4.194386, 4.194242, 4.194178, 4.194069, 4.194003, 4.193919, 4.193819, 4.193763, 4.193656, 4.193571, 4.193478, 4.193403, 4.193326, 4.193259, 4.193204, 4.19309, 4.192997, 4.192992, 4.192891, 4.192809, 4.192727, 4.192658, 4.192588, 4.192518, 4.192425, 4.192375, 4.192312, 4.192209, 4.192199, 4.192104, 4.19206, 4.191975, 4.191936, 4.191858, 4.191766, 4.191761, 4.191695, 4.191615, 4.191594, 4.191496, 4.191465, 4.191347, 4.19135, 4.191228, 4.191201, 4.191211, 4.191071, 4.191011, 4.190987, 4.19091, 4.190879, 4.190815, 4.190741, 4.190726, 4.190657, 4.190622, 4.190589, 4.190494, 4.190467, 4.190397, 4.190353, 4.190275, 4.190247, 4.190173, 4.190155, 4.190129, 4.190054, 4.190002, 4.189969, 4.189912, 4.189864, 4.189815, 4.189806]",1.8921212,3.8,4.1
