Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.009102889167974304, 0.019481394131718566, 0.030579060380517414, 0.0424437720197646, 0.05537486964749541, 0.06955268755928082, 0.08568698732835403, 0.10461051245817946, 0.12778498087456056, 0.1572122516987622, 0.19217107659764646, 0.23082537716903026, 0.26913956463102107, 0.30599750395683345, 0.3409777294028715, 0.374671556129072, 0.4072286807109934, 0.4387496691423386, 0.47018920651430973, 0.5007404449290372, 0.5311812942515646, 0.5605306962552002, 0.5886545354832502, 0.6157454851435026, 0.6417505856684876, 0.6666959740349125, 0.6907793159224982, 0.7137950275568636, 0.7361125928997886, 0.7579071199631575, 0.7786795543673456, 0.7989892606458106, 0.818659852340713, 0.8378268690607732, 0.8565254366403307, 0.8745198084730311, 0.8924867490160987, 0.9097740572334404, 0.9266853452742531, 0.9432304621728612, 0.9593301126696686, 0.9752948847797055, 0.9906423187114101, 1.0059597136954193, 1.0208143318282745, 1.0355404997187045, 1.049925791299677, 1.0641082741679795, 1.0764793000000001]","[4.197258, 4.196875, 4.196559, 4.196305, 4.19614, 4.19593, 4.195728, 4.195559, 4.195459, 4.19528, 4.195172, 4.195094, 4.194921, 4.194792, 4.194733, 4.194582, 4.194479, 4.194355, 4.194309, 4.194141, 4.194066, 4.193986, 4.193929, 4.193798, 4.193664, 4.19361, 4.193477, 4.193454, 4.193375, 4.193251, 4.193198, 4.193143, 4.193062, 4.192964, 4.192883, 4.192805, 4.192713, 4.192654, 4.192536, 4.192502, 4.192401, 4.192331, 4.192269, 4.192215, 4.192144, 4.192069, 4.191994, 4.191915, 4.191854, 4.191772, 4.191704, 4.191669, 4.19159, 4.19153, 4.191438, 4.191422, 4.191319, 4.1913, 4.191204, 4.191105, 4.191075, 4.191007, 4.190916, 4.190862, 4.190835, 4.190731, 4.190691, 4.190637, 4.190594, 4.190548, 4.190476, 4.190414, 4.190351, 4.190281, 4.190207, 4.190183, 4.190151, 4.190086, 4.189982, 4.189963, 4.18991, 4.189847, 4.189776, 4.189738, 4.189704, 4.189639, 4.189576, 4.189532, 4.189428, 4.189426, 4.189426]",1.898049,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.011002275818780605, 0.0231481769939888, 0.03584597608581891, 0.04929643568715758, 0.06356479890319383, 0.07887785624351334, 0.09579455614186738, 0.11505998327293532, 0.13838321748457405, 0.16796921354359806, 0.20454117475054434, 0.24444655171727164, 0.2840399358468782, 0.32164272907904373, 0.3569336228708618, 0.3905048821770713, 0.4225293598266702, 0.4535572673263936, 0.48449331286847847, 0.5145064902679828, 0.5444043441558426, 0.5734549289560988, 0.6017487648179638, 0.628961316343537, 0.6551186516567067, 0.6803699926431637, 0.704778264787745, 0.7282291727363006, 0.7510144652305348, 0.7730228652258073, 0.7944070702327795, 0.8152222355945584, 0.8352427527503157, 0.8549077872334052, 0.8739727436149323, 0.8925839464952792, 0.9107498189282621, 0.9286601340732163, 0.9459549970475483, 0.9630576035058434, 0.9796984951377632, 0.9960798439490435, 1.012213740646923, 1.027960091654246, 1.0434454902621715, 1.0587765654615817, 1.0737931008614507, 1.0885669689450617, 1.0997845]","[4.197212, 4.196882, 4.19657, 4.196319, 4.196102, 4.195965, 4.195826, 4.195627, 4.195464, 4.195335, 4.195172, 4.195062, 4.194919, 4.194776, 4.194684, 4.194557, 4.194464, 4.194344, 4.19426, 4.194112, 4.194047, 4.193945, 4.193848, 4.193788, 4.193629, 4.193617, 4.193507, 4.193418, 4.193312, 4.193197, 4.193181, 4.19306, 4.192976, 4.192894, 4.192811, 4.192761, 4.192674, 4.192569, 4.192526, 4.192389, 4.19238, 4.192266, 4.192189, 4.192145, 4.192112, 4.191967, 4.191891, 4.191831, 4.191763, 4.191687, 4.191653, 4.191593, 4.191482, 4.191428, 4.191357, 4.191259, 4.191199, 4.191125, 4.1911, 4.191032, 4.190959, 4.190936, 4.190843, 4.190759, 4.19068, 4.190629, 4.190603, 4.1905, 4.190472, 4.190403, 4.190318, 4.190282, 4.190214, 4.190195, 4.190083, 4.190034, 4.189992, 4.189891, 4.189858, 4.189767, 4.189777, 4.189672, 4.189631, 4.189566, 4.189499, 4.189439, 4.189386, 4.189356, 4.189319, 4.189229, 4.189225]",1.8946682000000001,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.008823851444816122, 0.019117557399146, 0.030196885545947183, 0.04196064477177236, 0.0548937462236862, 0.06902319750516933, 0.08510082962255028, 0.10406810719656334, 0.1272203490569927, 0.15654241056863233, 0.1912569297186556, 0.22981208225041272, 0.26822541952803575, 0.3051162776459412, 0.34018870672510604, 0.3736902751207347, 0.4060300095006638, 0.4376138559472268, 0.46883804431486675, 0.49967743997667635, 0.5297846703766026, 0.5590924847656942, 0.5870591524134758, 0.6141147673749645, 0.6399604342173641, 0.6647166275654577, 0.6886546390852756, 0.7118244786102896, 0.7338610334105674, 0.755464572019794, 0.7762580480398478, 0.7962610953509187, 0.8158362489375123, 0.8348525914595678, 0.853483531838905, 0.8714604126217721, 0.8890784319798019, 0.9063446249793193, 0.923133942045434, 0.9395474738681505, 0.9557099834524895, 0.9714584375776397, 0.9868404675016357, 1.0020943709090901, 1.017024484406293, 1.0315629407665488, 1.0459557187172002, 1.060036230852503, 1.0731934]","[4.197272, 4.196877, 4.196572, 4.19629, 4.196113, 4.195904, 4.19573, 4.195583, 4.195424, 4.195286, 4.195118, 4.195036, 4.194901, 4.19478, 4.194715, 4.194559, 4.194469, 4.194338, 4.194251, 4.194121, 4.194011, 4.193919, 4.193876, 4.19374, 4.193681, 4.193584, 4.193528, 4.193451, 4.193333, 4.193254, 4.193161, 4.193063, 4.192998, 4.192937, 4.192857, 4.192779, 4.192678, 4.192601, 4.192525, 4.192461, 4.192346, 4.192292, 4.192223, 4.192148, 4.192103, 4.192025, 4.191959, 4.191876, 4.191799, 4.191741, 4.1917, 4.191645, 4.191523, 4.191486, 4.191419, 4.191392, 4.191302, 4.191242, 4.191164, 4.191098, 4.191033, 4.190991, 4.190917, 4.19086, 4.190761, 4.190747, 4.190677, 4.190576, 4.190525, 4.190469, 4.190435, 4.190424, 4.190333, 4.190245, 4.19021, 4.190146, 4.190053, 4.190043, 4.189982, 4.189906, 4.1899, 4.189806, 4.18975, 4.189698, 4.189639, 4.189578, 4.189526, 4.1895, 4.189397, 4.18939]",1.8912874000000002,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.008825776563013532, 0.01898237967966951, 0.02983696198174579, 0.041489885158240064, 0.05409586549804049, 0.06803843081179048, 0.08371423654253221, 0.10221670763550264, 0.12481242322838573, 0.1532909009409146, 0.18784902085062496, 0.22559302063955614, 0.26329687219141773, 0.3002160307177477, 0.33497658789831597, 0.368331711309523, 0.400537706777223, 0.4324244483013825, 0.46359847043581937, 0.49447959831678945, 0.5245344408163252, 0.5538253633406669, 0.5819551774046773, 0.6091008373276322, 0.6349064393418596, 0.6595561662387522, 0.6838555407132771, 0.7066908029210395, 0.7288067909075103, 0.750302318230859, 0.7710905900215139, 0.79116728167529, 0.8106887374616624, 0.8296532608578092, 0.8482433395067878, 0.8663259730340137, 0.8838214938143233, 0.9010777459016389, 0.9179820563515187, 0.9343435851010827, 0.9504975729027462, 0.9662059459299183, 0.9815914123644244, 0.9966861284336751, 1.0116283616326511, 1.0260425955862713, 1.0403649805526334, 1.0544314037412628, 1.0664810999999998]","[4.197294, 4.196842, 4.196533, 4.196302, 4.196092, 4.195909, 4.195667, 4.195575, 4.195406, 4.195261, 4.195149, 4.195029, 4.194914, 4.19481, 4.194624, 4.194559, 4.194431, 4.194349, 4.194225, 4.194171, 4.194014, 4.193948, 4.193902, 4.193742, 4.193724, 4.193578, 4.193526, 4.193429, 4.19327, 4.193226, 4.193109, 4.193073, 4.193027, 4.192916, 4.192814, 4.19276, 4.192627, 4.192592, 4.192506, 4.192441, 4.19237, 4.192325, 4.192246, 4.192199, 4.192133, 4.191994, 4.192008, 4.19186, 4.191848, 4.19178, 4.191703, 4.19161, 4.191564, 4.191521, 4.191422, 4.191342, 4.191343, 4.191254, 4.191219, 4.191137, 4.19109, 4.190981, 4.190965, 4.190842, 4.190796, 4.190781, 4.190701, 4.190659, 4.190567, 4.190537, 4.190407, 4.190402, 4.190311, 4.190289, 4.190203, 4.1902, 4.190126, 4.190039, 4.190053, 4.190037, 4.18993, 4.189862, 4.18983, 4.189745, 4.189694, 4.189645, 4.189635, 4.189542, 4.189517, 4.189433, 4.189421]",1.8879066,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.0068079837277406074, 0.01704967357783163, 0.02779083055853898, 0.03935626155365335, 0.051883616599710664, 0.06566136771254308, 0.08125551593587835, 0.09958523961356405, 0.12180308079290184, 0.1495419358540447, 0.18329639735135925, 0.22125186520355036, 0.2587046331529266, 0.2952971041373923, 0.33010565481850174, 0.3632367353034699, 0.3955557958004865, 0.42709457101284887, 0.4584461469563167, 0.4891277351288501, 0.5192793392909884, 0.5487712441542456, 0.5768839989638115, 0.6038994377859382, 0.6297066579441577, 0.6544656472100966, 0.6783919914230234, 0.7014897696506535, 0.7234999411199174, 0.7450740498515183, 0.7658675007081623, 0.7858995590383264, 0.8054884700225875, 0.8243647611307432, 0.8428526924875688, 0.8608594587510989, 0.8784416140703506, 0.8955095736486478, 0.9122115832613795, 0.9285180253521121, 0.9445948675039246, 0.9600992362469924, 0.9756877736434104, 0.9906807297218134, 1.0054875588652463, 1.019973652904236, 1.0342360807163677, 1.0483091012777406, 1.0596528]","[4.197241, 4.196855, 4.196587, 4.196321, 4.196088, 4.195849, 4.195742, 4.195526, 4.195442, 4.195264, 4.195172, 4.195015, 4.194895, 4.194809, 4.194706, 4.194532, 4.194449, 4.194359, 4.194264, 4.19414, 4.194064, 4.193943, 4.193885, 4.19376, 4.193695, 4.193623, 4.193507, 4.193427, 4.193348, 4.193299, 4.193215, 4.193121, 4.193, 4.192949, 4.19287, 4.192811, 4.192734, 4.192664, 4.192579, 4.192526, 4.192394, 4.19235, 4.192306, 4.192224, 4.192153, 4.192109, 4.192001, 4.19193, 4.19184, 4.191799, 4.191751, 4.191669, 4.191559, 4.191536, 4.191445, 4.19142, 4.191343, 4.191272, 4.191244, 4.191178, 4.191134, 4.191057, 4.190995, 4.190926, 4.190862, 4.190831, 4.190738, 4.190703, 4.190643, 4.190586, 4.190592, 4.190463, 4.190386, 4.190352, 4.190277, 4.190261, 4.190211, 4.190199, 4.190081, 4.19007, 4.189959, 4.189909, 4.189873, 4.189814, 4.189769, 4.189702, 4.189697, 4.189639, 4.189563, 4.189502, 4.189504]",1.8845258,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.00937279475609945, 0.01953080398631657, 0.030219226105165142, 0.0417050634540721, 0.05424817319622802, 0.0680500906592312, 0.08356411395070548, 0.10164007807630152, 0.12375035050431113, 0.1512023770299589, 0.18475525953393593, 0.2218468371077055, 0.2594630838877362, 0.29596114804270557, 0.33042535982883414, 0.363432432142032, 0.39575370455771774, 0.42724336098937243, 0.45857262469078397, 0.48949328758017396, 0.5197291496196091, 0.5489995101889411, 0.5769972929211087, 0.6042325602698349, 0.6300505250353584, 0.6548565725997765, 0.6788638603973144, 0.7018606006420538, 0.7240057275410688, 0.7454743619197118, 0.7662009463755819, 0.7863146034288111, 0.8059098007914928, 0.8248675984906088, 0.8433200206657426, 0.861206304803038, 0.8787421348602954, 0.8957228925757673, 0.9124890274742653, 0.928763128637414, 0.9447383548599108, 0.9604159866192629, 0.9757314602629644, 0.9907256835327222, 1.0055732569482274, 1.0200760627906953, 1.0343038932812627, 1.0482639956478979, 1.0598609]","[4.197215, 4.196793, 4.196525, 4.196324, 4.1961, 4.195881, 4.195755, 4.195585, 4.19539, 4.195258, 4.195165, 4.194988, 4.194882, 4.194767, 4.194664, 4.194498, 4.194428, 4.194314, 4.194272, 4.194138, 4.194028, 4.193985, 4.193824, 4.193737, 4.193687, 4.193594, 4.193457, 4.193387, 4.193349, 4.193207, 4.193207, 4.193086, 4.192989, 4.192896, 4.192836, 4.192738, 4.192692, 4.192634, 4.192553, 4.192502, 4.192388, 4.19233, 4.19225, 4.192169, 4.192148, 4.192081, 4.191974, 4.191923, 4.191841, 4.191782, 4.191725, 4.191688, 4.191572, 4.191525, 4.191513, 4.191408, 4.191328, 4.191279, 4.19122, 4.191129, 4.191092, 4.19103, 4.190994, 4.190922, 4.190872, 4.190823, 4.190744, 4.190686, 4.190637, 4.190587, 4.190464, 4.190468, 4.190403, 4.1903, 4.190295, 4.19018, 4.190162, 4.19015, 4.190073, 4.190053, 4.189974, 4.189908, 4.189863, 4.189813, 4.189742, 4.189698, 4.189671, 4.189656, 4.189572, 4.189497, 4.189506]",1.881145,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.011032339907351918, 0.02304085806498546, 0.03571864428647814, 0.048988918330827524, 0.06308561442545602, 0.07828159339444357, 0.09496010150507855, 0.11397210091289045, 0.1369259168020598, 0.16594119960776915, 0.20188211305511056, 0.2410871279800954, 0.279885848366983, 0.3171717941009227, 0.3522630093653883, 0.3853110083562708, 0.4173743353881763, 0.44840677651060395, 0.47912093967857655, 0.5091997484110202, 0.5390088364327965, 0.5680114535563325, 0.5961865015885128, 0.6231117123871521, 0.6493465890691232, 0.6745024860015101, 0.6987849962576944, 0.7220654929356349, 0.744763252069969, 0.7667301331986256, 0.7878504377183955, 0.8084659586120788, 0.8283562367209949, 0.8479404301544915, 0.8668112183867471, 0.885400690214595, 0.9034427712134618, 0.9211030019867539, 0.9384146069755743, 0.9553404005542359, 0.9718274192909513, 0.9881341432539685, 1.0039867689184148, 1.019653471307242, 1.035037998199278, 1.0501756502109685, 1.0650612920676574, 1.079656931576711, 1.0931463000000001]","[4.197243, 4.196884, 4.196528, 4.196363, 4.19609, 4.195959, 4.195749, 4.195593, 4.19541, 4.195277, 4.195189, 4.194997, 4.194894, 4.194802, 4.194665, 4.194567, 4.194458, 4.194346, 4.194247, 4.194163, 4.194003, 4.193951, 4.193835, 4.193749, 4.193656, 4.193542, 4.193523, 4.193452, 4.193315, 4.193203, 4.193161, 4.193045, 4.192976, 4.192918, 4.192809, 4.19272, 4.192657, 4.192614, 4.192492, 4.192439, 4.192365, 4.192283, 4.192199, 4.192151, 4.192056, 4.192008, 4.191924, 4.191826, 4.19178, 4.191738, 4.191678, 4.191542, 4.19149, 4.191439, 4.191428, 4.191283, 4.191238, 4.191165, 4.191136, 4.191028, 4.190986, 4.190947, 4.190869, 4.190809, 4.190732, 4.190656, 4.190643, 4.190569, 4.190527, 4.190419, 4.190394, 4.190334, 4.190213, 4.190203, 4.190123, 4.190071, 4.190028, 4.189985, 4.189928, 4.189856, 4.189812, 4.1897, 4.189714, 4.189643, 4.189595, 4.18951, 4.189468, 4.189431, 4.189302, 4.18933, 4.189338]",1.8788856,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.008744889160335223, 0.019001876407735735, 0.02974681233521828, 0.04147729061348482, 0.05421416722175115, 0.06818225056484106, 0.0839677801801792, 0.10238440937990523, 0.12474867346938695, 0.15293203816416234, 0.18705570969599444, 0.22479662645912873, 0.26240165301190826, 0.29906034111232166, 0.33391937279116973, 0.3670756777064777, 0.39921127339881185, 0.4308261067416434, 0.4621158696202912, 0.49302432014249425, 0.5230049584975367, 0.552136353152179, 0.5802902212795855, 0.6071992844315603, 0.6330489805629307, 0.657770886122911, 0.681735445450431, 0.7047810406109596, 0.7268767970963455, 0.7482436900085876, 0.7689736797528985, 0.7890720607848332, 0.8084648931330447, 0.8275304414721718, 0.845921053356889, 0.8638750244592348, 0.881399616239315, 0.898490692676972, 0.9151605797538045, 0.9313956211746524, 0.9475006007751936, 0.9631761179894185, 0.9785036471284072, 0.9935328714285703, 1.0082828124304257, 1.0228075853046579, 1.037046442033908, 1.0510473835145695, 1.0631146999999999]","[4.197239, 4.196804, 4.196553, 4.196284, 4.196045, 4.195885, 4.195735, 4.195519, 4.19542, 4.195222, 4.195093, 4.19499, 4.194895, 4.194734, 4.19465, 4.194477, 4.19445, 4.194321, 4.194267, 4.194115, 4.193985, 4.19393, 4.193817, 4.193739, 4.193617, 4.193547, 4.193465, 4.193374, 4.193261, 4.19322, 4.193106, 4.193056, 4.19294, 4.192866, 4.192777, 4.192738, 4.192649, 4.192544, 4.192474, 4.192434, 4.192331, 4.192268, 4.192201, 4.192106, 4.192048, 4.192023, 4.191905, 4.191862, 4.191821, 4.191745, 4.191658, 4.191655, 4.191511, 4.191413, 4.191383, 4.191329, 4.191285, 4.191235, 4.191148, 4.1911, 4.191009, 4.190904, 4.190886, 4.190842, 4.19073, 4.190702, 4.190609, 4.190582, 4.190559, 4.190473, 4.190447, 4.190374, 4.190284, 4.190269, 4.190214, 4.190174, 4.190081, 4.19004, 4.189978, 4.189935, 4.189895, 4.189832, 4.189756, 4.18972, 4.189654, 4.189582, 4.189532, 4.189503, 4.189475, 4.189375, 4.189379]",1.8766262,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.009015943886912348, 0.019103838567714526, 0.029865443612582754, 0.041329498343546434, 0.053829546436079206, 0.06760841628184064, 0.08314720894954628, 0.10115067178837425, 0.12324962760282279, 0.15071010922722608, 0.18407083864110527, 0.22109995663778412, 0.2588325835652111, 0.29502105651544386, 0.32974453417946914, 0.3631052406923335, 0.3949681151897001, 0.4264789781999435, 0.45774694751043943, 0.48828933960312293, 0.5186078537537534, 0.5475106519032308, 0.5755844302818769, 0.6026549489897702, 0.6285772463520077, 0.6533578720415356, 0.6771453326839094, 0.7000675035307503, 0.7222828475060299, 0.7437028605907728, 0.7643899758605072, 0.784458456447437, 0.804053357380253, 0.8229809388059702, 0.8413926340277774, 0.859293148979592, 0.8768370952702688, 0.8938808795357599, 0.9104948399847631, 0.9268509220447284, 0.942839968782592, 0.9584993305007575, 0.973888556254571, 0.9889239623853608, 1.0036269513927871, 1.0181752919793943, 1.032365831869746, 1.0463812076687746, 1.0597442]","[4.1972, 4.196826, 4.196532, 4.196312, 4.196064, 4.195855, 4.195694, 4.195517, 4.19538, 4.19522, 4.195129, 4.194978, 4.194897, 4.194734, 4.194638, 4.194543, 4.194381, 4.194314, 4.194171, 4.194131, 4.194039, 4.193917, 4.193858, 4.19372, 4.193643, 4.193513, 4.193452, 4.193374, 4.193324, 4.193247, 4.193168, 4.193035, 4.192942, 4.192889, 4.192786, 4.192765, 4.19267, 4.192598, 4.192522, 4.192417, 4.192354, 4.19229, 4.192275, 4.192156, 4.192102, 4.191997, 4.191945, 4.191906, 4.191833, 4.191747, 4.191737, 4.191641, 4.191555, 4.191481, 4.191424, 4.191313, 4.191296, 4.191236, 4.191148, 4.191087, 4.191061, 4.190969, 4.190892, 4.190868, 4.190816, 4.190742, 4.190697, 4.190627, 4.190611, 4.19054, 4.190471, 4.190416, 4.190349, 4.190334, 4.190234, 4.190216, 4.190121, 4.190064, 4.189984, 4.189974, 4.189936, 4.189834, 4.18982, 4.189732, 4.189744, 4.189657, 4.189608, 4.189584, 4.189542, 4.189456, 4.189466]",1.8743668,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.007253247030428123, 0.01733677817618176, 0.028027630390794367, 0.039427384637940044, 0.051864286072469734, 0.0654780257926893, 0.08089919592811584, 0.09874548996486632, 0.12031609211525163, 0.14740011055164332, 0.18033693978659143, 0.21726875627661063, 0.2542395743097219, 0.2904175685967132, 0.3250481947220256, 0.3582498260852768, 0.39016881946873905, 0.4217987128868762, 0.4526397938087249, 0.48335914181927897, 0.5135260857948813, 0.5426874342068984, 0.5706148559315712, 0.5975697056799814, 0.6234784517271388, 0.6483981897071845, 0.6721654775961702, 0.6951184245472818, 0.7174043359200366, 0.7386554412483993, 0.7594197354116802, 0.7795762859691265, 0.7990439487130581, 0.8180004547945217, 0.8364040582713503, 0.8542527964157691, 0.8718210600513245, 0.8889239059726635, 0.9056058756843788, 0.9219013289795923, 0.9378047154934124, 0.9535286120742061, 0.9686634493424029, 0.9837708361124737, 0.9984147861111095, 1.0129967729729705, 1.027158527966689, 1.0411210326471705, 1.0530668]","[4.197218, 4.196841, 4.196536, 4.196327, 4.196116, 4.195878, 4.195724, 4.195482, 4.195385, 4.195252, 4.19515, 4.195009, 4.194854, 4.194754, 4.194623, 4.194533, 4.194417, 4.194288, 4.19424, 4.19412, 4.194021, 4.193953, 4.193823, 4.193738, 4.193675, 4.193552, 4.19349, 4.193437, 4.193275, 4.19324, 4.193141, 4.193037, 4.193037, 4.192922, 4.192835, 4.192782, 4.192671, 4.192633, 4.192543, 4.192447, 4.192389, 4.192265, 4.192254, 4.192165, 4.192122, 4.192014, 4.19196, 4.191873, 4.191854, 4.191753, 4.19166, 4.191635, 4.191549, 4.191449, 4.191429, 4.191333, 4.191369, 4.191232, 4.191221, 4.19114, 4.191085, 4.190984, 4.190953, 4.190905, 4.190808, 4.190778, 4.190749, 4.190691, 4.190619, 4.190505, 4.19054, 4.190423, 4.190402, 4.190274, 4.190285, 4.190211, 4.190186, 4.19013, 4.190053, 4.189982, 4.189938, 4.18991, 4.189823, 4.189756, 4.189739, 4.189716, 4.189601, 4.189597, 4.189523, 4.189498]",1.8721074,3.8,4.1
