Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.008994224135938866, 0.021593310464008753, 0.0348172466478128, 0.048851374087185206, 0.06367150481607686, 0.07965630494869777, 0.09771514857677294, 0.11914137724801682, 0.1458002353583892, 0.1757530089481929, 0.20680139428571448, 0.23869919319924499, 0.27141419038820397, 0.3042682623163721, 0.3375109050170051, 0.37200719690057604, 0.40635418814398094, 0.439739955025941, 0.4702789035179493, 0.49907701735923193, 0.5264404831613249, 0.5528110361976359, 0.5783154930935794, 0.6029184758567081, 0.6268507536547855, 0.6499464182675726, 0.6723734132022648, 0.6943570621521326, 0.7156656952610169, 0.7366654963807393, 0.7568538633487741, 0.7766896974231904, 0.7961865667244494, 0.815197201693764, 0.8336558129312535, 0.8517861538461537, 0.8694977721179615, 0.8867547230247237, 0.9037350277632161, 0.9203068649972592, 0.9364783780144736, 0.9524928578001739, 0.9679846934306566, 0.9831454244105406, 0.9982933499970152, 1.0131309311838497, 1.0275219620991252, 1.0417727058823527, 1.053209]","[4.197465, 4.197081, 4.196816, 4.196553, 4.196357, 4.19622, 4.196054, 4.195869, 4.1957, 4.195595, 4.195399, 4.195365, 4.195229, 4.195101, 4.195056, 4.194918, 4.194863, 4.194717, 4.194635, 4.194521, 4.194427, 4.194321, 4.194263, 4.1942, 4.194104, 4.194016, 4.193942, 4.193892, 4.193765, 4.193705, 4.193639, 4.193557, 4.193515, 4.193415, 4.193327, 4.193294, 4.193198, 4.193129, 4.193032, 4.192981, 4.192915, 4.192849, 4.192781, 4.192724, 4.192673, 4.192622, 4.192529, 4.192483, 4.192401, 4.192366, 4.19229, 4.192272, 4.192192, 4.192097, 4.192027, 4.19198, 4.191916, 4.191869, 4.191867, 4.191758, 4.191716, 4.191693, 4.191583, 4.191524, 4.191496, 4.191447, 4.191405, 4.191322, 4.191257, 4.191196, 4.191158, 4.191134, 4.191054, 4.191006, 4.190939, 4.190911, 4.190851, 4.190814, 4.190759, 4.190722, 4.190688, 4.190595, 4.190531, 4.190531, 4.190475, 4.190392, 4.190401, 4.19031, 4.190315, 4.190213, 4.190215]",1.855508,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.013794050164771476, 0.028691767453548456, 0.043999492997996215, 0.0598217213021488, 0.07621073830922576, 0.09350282636968138, 0.11246621738583934, 0.13457127203219282, 0.16178653691188954, 0.1926521872639202, 0.22471463551610082, 0.2571644303030297, 0.290466742477305, 0.3239544489313829, 0.35726252142856985, 0.3914173609419136, 0.4265283442098934, 0.4604327197393495, 0.4921638823744666, 0.5217993421445666, 0.5500721086543433, 0.5770382008415729, 0.6028315505291945, 0.6280302451132966, 0.6525242300827858, 0.6761147459968586, 0.699068146147347, 0.7213820593908623, 0.7433945821104704, 0.7644933890650021, 0.7851380519075414, 0.8052568544790745, 0.82523051655648, 0.8444037924104207, 0.8632738660714295, 0.8818436155415997, 0.8999901927216906, 0.9176438206496261, 0.9349565098763332, 0.9518480805593103, 0.9684049040688575, 0.9847902823269515, 1.0007764901405118, 1.0165196493444206, 1.0319460066231678, 1.047040707185627, 1.061895039581795, 1.076548480459584, 1.0898563000000001]","[4.197429, 4.197104, 4.196851, 4.196582, 4.19634, 4.196153, 4.196008, 4.195842, 4.195758, 4.195628, 4.195463, 4.195303, 4.195231, 4.195062, 4.194998, 4.194877, 4.194772, 4.194703, 4.194591, 4.194491, 4.194392, 4.194286, 4.194211, 4.194136, 4.194052, 4.193958, 4.193897, 4.193812, 4.193706, 4.193626, 4.193557, 4.193508, 4.193426, 4.193327, 4.193283, 4.193196, 4.193093, 4.193069, 4.193007, 4.192934, 4.192809, 4.192725, 4.192694, 4.19261, 4.192525, 4.192515, 4.19246, 4.192335, 4.192312, 4.192245, 4.192185, 4.192139, 4.192074, 4.191997, 4.191956, 4.191899, 4.19179, 4.19173, 4.191745, 4.191618, 4.191559, 4.19149, 4.19143, 4.19135, 4.191338, 4.191296, 4.191235, 4.191139, 4.191134, 4.191048, 4.190964, 4.190917, 4.190905, 4.190805, 4.190814, 4.190741, 4.19069, 4.19061, 4.190615, 4.190516, 4.190499, 4.190374, 4.190339, 4.190271, 4.19024, 4.190222, 4.19012, 4.19007, 4.190036, 4.190004]",1.8455066,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.00931752301272798, 0.02085858038756802, 0.033197547596859556, 0.04616986245638116, 0.06003384919389876, 0.07496899864791942, 0.09160047040542188, 0.11128353829688256, 0.1356780793532988, 0.1642136705828264, 0.19441312083544118, 0.22514869601675677, 0.2569138062456008, 0.28916506482221827, 0.3221819340760146, 0.3563446381758876, 0.3916716587694282, 0.4255622587182232, 0.4569676044663743, 0.48633431526064475, 0.5141712355521644, 0.5408691340691357, 0.5665232410158042, 0.5913082853605433, 0.6151398650994255, 0.638414615303685, 0.6608526992862712, 0.6826751224276758, 0.70396811860465, 0.7247307293007169, 0.7449096832174201, 0.7645546438441257, 0.783789074272329, 0.8026325346051467, 0.8209145908782498, 0.8387748268477394, 0.8563568513888874, 0.8735955156351775, 0.8901574655927617, 0.9065405838197073, 0.9225691771706076, 0.9383366745750189, 0.953718615781599, 0.9687792213609226, 0.9837256677889711, 0.9982560969064259, 1.0126675982758626, 1.0267006563101349, 1.0398829]","[4.197483, 4.197041, 4.19675, 4.196487, 4.196289, 4.196125, 4.195938, 4.195821, 4.195649, 4.195532, 4.195435, 4.195291, 4.195177, 4.195032, 4.194965, 4.19486, 4.194769, 4.194599, 4.194524, 4.194433, 4.194374, 4.194283, 4.194222, 4.194063, 4.194005, 4.193922, 4.193804, 4.193743, 4.19368, 4.193557, 4.193538, 4.193439, 4.193308, 4.193274, 4.193173, 4.193133, 4.193055, 4.192998, 4.192935, 4.192867, 4.192812, 4.192756, 4.192679, 4.192602, 4.192517, 4.192432, 4.19239, 4.192327, 4.192274, 4.192213, 4.192121, 4.192076, 4.192022, 4.191956, 4.191911, 4.191881, 4.191823, 4.191728, 4.191665, 4.191564, 4.191563, 4.191491, 4.191463, 4.19141, 4.191331, 4.191227, 4.191219, 4.191146, 4.19111, 4.191042, 4.190993, 4.190924, 4.190852, 4.190823, 4.190795, 4.190755, 4.190659, 4.190633, 4.190553, 4.190514, 4.190496, 4.19046, 4.190325, 4.190283, 4.190236, 4.19024, 4.19018, 4.190095, 4.190033, 4.190025, 4.190027]",1.8355052,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.0091455128123748, 0.02022434115276306, 0.03186167444142651, 0.04440378504453979, 0.057707504191523123, 0.07196296498351848, 0.0877600349636791, 0.10642968510524672, 0.12929242839664692, 0.156196758317622, 0.1849575162803452, 0.21494958635104458, 0.24589341445525695, 0.27746027042567445, 0.309683610396861, 0.34340473450549336, 0.3783440929540728, 0.4121126151202954, 0.4434516228918265, 0.4728611596238489, 0.5006824121290061, 0.5273088393087881, 0.5529657049343192, 0.5774606173456821, 0.6012697790232727, 0.6244531984151092, 0.646960641154209, 0.6686263248104328, 0.6897352737803479, 0.7105171432793802, 0.730598759643351, 0.7501758395285262, 0.7693087155164329, 0.7879198015753676, 0.8062967579372444, 0.8240339409543868, 0.841463841151386, 0.8586388866252761, 0.8752779221058469, 0.8917200985413067, 0.9076410368928969, 0.9232862270642683, 0.9388226553846142, 0.9538678267069776, 0.9685888296975913, 0.98334145170978, 0.9975644660735132, 1.0116707406722851, 1.0232178]","[4.197479, 4.197015, 4.196709, 4.196479, 4.196302, 4.196059, 4.195882, 4.195748, 4.195579, 4.195454, 4.195282, 4.19518, 4.195043, 4.194944, 4.194835, 4.194725, 4.194641, 4.19453, 4.194473, 4.19434, 4.194262, 4.194143, 4.194069, 4.193967, 4.193904, 4.193816, 4.193743, 4.193624, 4.193586, 4.193518, 4.193427, 4.193308, 4.193303, 4.193185, 4.193152, 4.193036, 4.192973, 4.192902, 4.192801, 4.192798, 4.192758, 4.192595, 4.192561, 4.192544, 4.192447, 4.192377, 4.192288, 4.19219, 4.192145, 4.192075, 4.192054, 4.192006, 4.191909, 4.191859, 4.19178, 4.19178, 4.191656, 4.191655, 4.191527, 4.191468, 4.191427, 4.191362, 4.191305, 4.191276, 4.191195, 4.1912, 4.191101, 4.191047, 4.190965, 4.190961, 4.190867, 4.190827, 4.190815, 4.190721, 4.190681, 4.190613, 4.190537, 4.190462, 4.190473, 4.190408, 4.190352, 4.190313, 4.190306, 4.190207, 4.190184, 4.190144, 4.190077, 4.189989, 4.189966, 4.189924, 4.189922]",1.8255038,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.008327987050960162, 0.019332147873097394, 0.03085603030259526, 0.04313322146324505, 0.0561285427993958, 0.07020638006522154, 0.08580155335755194, 0.10403424125796493, 0.1262354260184678, 0.15284997384880553, 0.18103277251621017, 0.21046075747598972, 0.24094095022943876, 0.27186182389124103, 0.3036404174836288, 0.33657234854417206, 0.3709869077498942, 0.4043549791097535, 0.43537498931331253, 0.46427718250379857, 0.49183787469500073, 0.5182159713329462, 0.543597663908851, 0.5679609967500862, 0.5916274824199825, 0.614421934197269, 0.6367026815177367, 0.6582759996398544, 0.6792380351784914, 0.699649981174713, 0.719734269078417, 0.7391887827955533, 0.7581012072518309, 0.776813899724997, 0.7950189130380535, 0.8125580959388602, 0.8300545947526721, 0.8469836621317086, 0.8635668792421729, 0.8798061471948975, 0.8957766599878736, 0.9113548509998977, 0.9267474452979174, 0.9417083782618663, 0.9564409330606489, 0.9709437671450982, 0.9851867187031773, 0.9992866067880597, 1.0098911]","[4.197373, 4.197018, 4.196721, 4.196428, 4.196247, 4.196032, 4.195842, 4.19567, 4.195567, 4.195396, 4.195241, 4.195201, 4.19502, 4.194898, 4.194759, 4.194654, 4.194583, 4.194522, 4.194376, 4.194281, 4.194196, 4.194139, 4.194009, 4.193943, 4.19383, 4.193737, 4.193665, 4.193604, 4.193581, 4.193441, 4.193358, 4.193251, 4.193197, 4.193156, 4.193066, 4.192963, 4.192874, 4.19284, 4.192767, 4.192736, 4.192667, 4.192566, 4.192457, 4.192418, 4.192385, 4.192307, 4.192266, 4.192201, 4.192096, 4.192044, 4.192005, 4.19192, 4.191877, 4.191776, 4.191682, 4.191686, 4.191603, 4.191561, 4.191484, 4.191418, 4.191381, 4.191338, 4.191264, 4.191232, 4.191116, 4.191083, 4.191028, 4.190963, 4.190953, 4.19088, 4.190804, 4.190779, 4.190703, 4.190689, 4.190632, 4.190556, 4.19047, 4.190435, 4.190406, 4.190336, 4.190273, 4.190257, 4.190175, 4.19012, 4.190129, 4.190062, 4.190013, 4.189954, 4.189888, 4.189879, 4.189879]",1.8155024,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.009405573534141815, 0.02012353648139706, 0.03143885569746804, 0.043470327554812616, 0.05628682239590216, 0.0700116749735972, 0.08516563590611492, 0.10266960467092073, 0.12422186740498115, 0.14965303294530669, 0.17779538556672358, 0.20686283837730074, 0.2369088192813305, 0.2678506953819596, 0.2997413547063327, 0.332459845769706, 0.3670052108038901, 0.4006039347982358, 0.43155876397958975, 0.4607941323434818, 0.48852818201058207, 0.5147015496116165, 0.5400636419439473, 0.5645907420909653, 0.5880181365992301, 0.6109042433219238, 0.6330488310558031, 0.6545383261482414, 0.6754310429923511, 0.6958782999300948, 0.7158409146997922, 0.7351949332805685, 0.7541841240465166, 0.7727054140143592, 0.7906499846938777, 0.8082837043490252, 0.8256256605582017, 0.8425713224089619, 0.8591153159292815, 0.8753977630383709, 0.8912916795918369, 0.9068720377202284, 0.9221949482043508, 0.9371400393022193, 0.9518599815025084, 0.9662648570135073, 0.980509186111111, 0.9944076599686023, 1.0065461999999998]","[4.197382, 4.196952, 4.196671, 4.196397, 4.196158, 4.196003, 4.195804, 4.195651, 4.195513, 4.195423, 4.195217, 4.195087, 4.194989, 4.194859, 4.19479, 4.194654, 4.194517, 4.194438, 4.194369, 4.194265, 4.194157, 4.194075, 4.193984, 4.193892, 4.193814, 4.193713, 4.193628, 4.193506, 4.193471, 4.193418, 4.193297, 4.193209, 4.193148, 4.193022, 4.193005, 4.192937, 4.192845, 4.192755, 4.1927, 4.192674, 4.192569, 4.192546, 4.192422, 4.192354, 4.1923, 4.192242, 4.192142, 4.192116, 4.192014, 4.191962, 4.191922, 4.191813, 4.191811, 4.191732, 4.191696, 4.191628, 4.191591, 4.191502, 4.19147, 4.191365, 4.191299, 4.191275, 4.191234, 4.191136, 4.191077, 4.19106, 4.190967, 4.190937, 4.190899, 4.190795, 4.190762, 4.190704, 4.190631, 4.190623, 4.190537, 4.190534, 4.190459, 4.190401, 4.190353, 4.190272, 4.190225, 4.190216, 4.19012, 4.190115, 4.190074, 4.189981, 4.189935, 4.189876, 4.189896, 4.189816, 4.189808]",1.805501,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.012368241916246636, 0.025895553877551075, 0.039816200525179396, 0.05447082787731258, 0.06939814006924153, 0.08532469122416211, 0.10253501242235921, 0.12236797974834693, 0.14678835381007097, 0.17532112302052225, 0.20557748944815643, 0.23682256097812662, 0.26862392307942107, 0.30112094251394217, 0.3338230100811783, 0.36719478512166903, 0.4018854009462268, 0.43570632453194613, 0.4668774539922871, 0.49672803338672133, 0.5244726456445988, 0.551233323195001, 0.5769953383338405, 0.6018180761904752, 0.6258077109466249, 0.6490720426257558, 0.6715980282147803, 0.6935967386416855, 0.7151167704081612, 0.735938693613395, 0.7562028595573975, 0.7761170930977577, 0.7955063165876746, 0.8143599076923074, 0.8328945777634125, 0.8511518503025068, 0.8688730968273013, 0.886162437037036, 0.9032827609683391, 0.9198631655332414, 0.9361658890726714, 0.9522873227095088, 0.9681030875489423, 0.9835150483852952, 0.9986878511233046, 1.013668163713079, 1.0283604111207956, 1.042712730731014, 1.0565404]","[4.197435, 4.197013, 4.196757, 4.196462, 4.196277, 4.196054, 4.195915, 4.195745, 4.195588, 4.195455, 4.195304, 4.195208, 4.195048, 4.194986, 4.194864, 4.194783, 4.19462, 4.194534, 4.194423, 4.194359, 4.194263, 4.194156, 4.194087, 4.193991, 4.193886, 4.193823, 4.193686, 4.19363, 4.193548, 4.193462, 4.193395, 4.193313, 4.193245, 4.193128, 4.193081, 4.193006, 4.192929, 4.192831, 4.192739, 4.192644, 4.192608, 4.192548, 4.192447, 4.192423, 4.192327, 4.192278, 4.192224, 4.19215, 4.192028, 4.191977, 4.191914, 4.191875, 4.191798, 4.191733, 4.191726, 4.191639, 4.191534, 4.191488, 4.19145, 4.19136, 4.191275, 4.191263, 4.191182, 4.191119, 4.191092, 4.190991, 4.190938, 4.190903, 4.190821, 4.190739, 4.190706, 4.190696, 4.190643, 4.190504, 4.190526, 4.19038, 4.19039, 4.190323, 4.190255, 4.190234, 4.190126, 4.190072, 4.190061, 4.19, 4.189946, 4.189875, 4.18983, 4.189776, 4.189725, 4.189632, 4.189632]",1.8036524,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.009936177259322942, 0.020758961040091922, 0.03219646865889153, 0.04432720697227152, 0.05727410814723788, 0.07110855919533488, 0.08632403889938775, 0.10407747695412453, 0.12577768353352706, 0.1517869718519638, 0.1798433048437624, 0.20945914614530584, 0.2396850511620889, 0.27119273409581357, 0.3028229151940893, 0.33608766407822876, 0.37069485648351586, 0.40451088281671, 0.4359361913769695, 0.4651891175598102, 0.4929545160362171, 0.5194830216798129, 0.5448221381794298, 0.5691670513797057, 0.5929604080007629, 0.6158607068961505, 0.6380557473052891, 0.6595363118296748, 0.6805628588832477, 0.7010344501733894, 0.720824965081553, 0.7403199883651472, 0.7593292281935686, 0.7778609654975628, 0.7958353758165915, 0.8134809518036122, 0.8307506256233902, 0.8475624066833731, 0.8640875377964456, 0.8802655630769234, 0.895895059192825, 0.9114601567733989, 0.9267877861671454, 0.9416447030931108, 0.9562982661873818, 0.9706625904761892, 0.9848265151158768, 0.998807530833729, 1.0098964000000001]","[4.197363, 4.196987, 4.196694, 4.196393, 4.19616, 4.195963, 4.195848, 4.195652, 4.195498, 4.195344, 4.195248, 4.195088, 4.194992, 4.194846, 4.194798, 4.194642, 4.194555, 4.194383, 4.19431, 4.194253, 4.194136, 4.194048, 4.193926, 4.193856, 4.193745, 4.19368, 4.193624, 4.193508, 4.193406, 4.193334, 4.193234, 4.193168, 4.193096, 4.193008, 4.192941, 4.192871, 4.192812, 4.192707, 4.192631, 4.192561, 4.192524, 4.192451, 4.192326, 4.192303, 4.192274, 4.192169, 4.192156, 4.192067, 4.191977, 4.191905, 4.191844, 4.19179, 4.191705, 4.191601, 4.191595, 4.191503, 4.191444, 4.191401, 4.19134, 4.191264, 4.191212, 4.191145, 4.191112, 4.191008, 4.190914, 4.190962, 4.19083, 4.190764, 4.190739, 4.190654, 4.190607, 4.190557, 4.190524, 4.19045, 4.190428, 4.190308, 4.190279, 4.190201, 4.190186, 4.190121, 4.190074, 4.190007, 4.189936, 4.189912, 4.189855, 4.189777, 4.189757, 4.189683, 4.189643, 4.189581]",1.8018038,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.00864443141266838, 0.019349248099086974, 0.030630476503226145, 0.04251722557397877, 0.05524728058539194, 0.06880237453889876, 0.08381307540295768, 0.10091227460989957, 0.12204594955204381, 0.14729227812816656, 0.17483361224489732, 0.20373584451366752, 0.23313051728553727, 0.26378898115456983, 0.29478752392340113, 0.3271306590488434, 0.3607806813989183, 0.3939477465330329, 0.4248977666504046, 0.45381938716372816, 0.48122688865718144, 0.5074936486162264, 0.5325643079259614, 0.5569087741466597, 0.5804141654673599, 0.6030234664607937, 0.6249788768221565, 0.646594891499408, 0.667442958833352, 0.6876330534026991, 0.707671612269192, 0.7268504565622615, 0.7458044964686197, 0.7642139511739997, 0.7821816568465797, 0.7998401269835447, 0.8169817906532544, 0.8336915352671015, 0.8502208170856739, 0.8664742644245288, 0.8822463929356356, 0.8976839953071586, 0.9128985470756307, 0.9279707032130781, 0.94248699909092, 0.9569243902705252, 0.971162758875492, 0.9851130378837246, 0.9965319]","[4.197351, 4.19693, 4.196635, 4.196369, 4.196146, 4.195946, 4.195776, 4.195616, 4.195441, 4.195333, 4.195169, 4.195047, 4.194954, 4.194806, 4.194703, 4.194571, 4.194472, 4.194406, 4.194293, 4.194162, 4.194161, 4.194, 4.193894, 4.193781, 4.193719, 4.193642, 4.193542, 4.193473, 4.19338, 4.193318, 4.19325, 4.193182, 4.193107, 4.193008, 4.192953, 4.192889, 4.192785, 4.192681, 4.192637, 4.192563, 4.192467, 4.192434, 4.19232, 4.192279, 4.192204, 4.192162, 4.192067, 4.192034, 4.19192, 4.191853, 4.191771, 4.191797, 4.191658, 4.191596, 4.191538, 4.191496, 4.191414, 4.191385, 4.191312, 4.191245, 4.191171, 4.191054, 4.191074, 4.191, 4.190972, 4.190894, 4.19081, 4.190772, 4.190719, 4.19067, 4.190594, 4.190559, 4.190527, 4.190416, 4.190375, 4.190366, 4.190262, 4.190229, 4.190153, 4.190147, 4.190095, 4.189969, 4.189952, 4.189898, 4.189879, 4.189818, 4.189801, 4.189742, 4.189744, 4.189591, 4.189603]",1.7999551999999999,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.009912623120394398, 0.020481648559849658, 0.031642849873751544, 0.04357374238054473, 0.056060737676609046, 0.06959414519339355, 0.08436807305647781, 0.10156599511046438, 0.12241430366695488, 0.14769494530298571, 0.1751600236923559, 0.20397051618305823, 0.23364478941798716, 0.2644652725507126, 0.29585319094814777, 0.3286731015280462, 0.36270452279146814, 0.3959084204047554, 0.4268951069422138, 0.4557333412827981, 0.4827449917921408, 0.5088100265033333, 0.5338381619471733, 0.5577124732941892, 0.5808911295154172, 0.6032010535637466, 0.6249396390017876, 0.6459510009164962, 0.6664829190007018, 0.6863842465706277, 0.7057633958774073, 0.7248093384304345, 0.7434544278658654, 0.7616731550604621, 0.7794526436683993, 0.7968123444946839, 0.8138019322179622, 0.8304613065689261, 0.846690793828918, 0.8627293729128023, 0.8783640614532802, 0.8937278608247421, 0.9089099479749267, 0.9236281472239221, 0.9381601381051672, 0.9525334954729903, 0.9665470830413445, 0.9805256778770672, 0.9931924999999999]","[4.197356, 4.196957, 4.196637, 4.196388, 4.196129, 4.195975, 4.195784, 4.195654, 4.195489, 4.195375, 4.195152, 4.195046, 4.194963, 4.194808, 4.194733, 4.1946, 4.194476, 4.194448, 4.194304, 4.194215, 4.194112, 4.194012, 4.193915, 4.19382, 4.193786, 4.193654, 4.193548, 4.193477, 4.193423, 4.193348, 4.193229, 4.193129, 4.193116, 4.193026, 4.192921, 4.192842, 4.192812, 4.19271, 4.192596, 4.192533, 4.192507, 4.192418, 4.192341, 4.192293, 4.192203, 4.192124, 4.192065, 4.192002, 4.191936, 4.191898, 4.19179, 4.191752, 4.191654, 4.191655, 4.191582, 4.191496, 4.191416, 4.191365, 4.191301, 4.191228, 4.191215, 4.1911, 4.191078, 4.191012, 4.190968, 4.190911, 4.190826, 4.190831, 4.190762, 4.190659, 4.19061, 4.190566, 4.190472, 4.190428, 4.190398, 4.190374, 4.190289, 4.190245, 4.190155, 4.190125, 4.190066, 4.190012, 4.189982, 4.189927, 4.189858, 4.189812, 4.189705, 4.189715, 4.189669, 4.189599, 4.189601]",1.7981065999999999,3.8,4.1
