Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.008479028420852686, 0.01819138575690568, 0.028543385145956973, 0.039656590335045316, 0.05152155217059731, 0.06434858469593002, 0.07870145765154665, 0.0944630121489625, 0.11244878879734113, 0.13319865206808604, 0.15736468411916446, 0.18560622788436235, 0.217300400291544, 0.2507191361629886, 0.2842490102182532, 0.3171186878887646, 0.34910336865345737, 0.3802564183152395, 0.4105923269184204, 0.43995195518414254, 0.4685138627229144, 0.4964963863865225, 0.5240642001801445, 0.5508700986794708, 0.5774633633350305, 0.6033682798031385, 0.6291470369765088, 0.6540406879699231, 0.6787135521886476, 0.7025749107776129, 0.7259780138176561, 0.7485732709843546, 0.7708378501934072, 0.79232240691404, 0.8135660430618514, 0.8339192934971992, 0.8538627721155768, 0.8732146147033691, 0.8923563850047745, 0.911001694760614, 0.9291094305275772, 0.9468388378362208, 0.9642220310204074, 0.9811807886873253, 0.9978873094550041, 1.014279413209306, 1.0303581343501285, 1.045919794585278, 1.0599283]","[4.196965, 4.19659, 4.196272, 4.195979, 4.195805, 4.195586, 4.19542, 4.195255, 4.195064, 4.194946, 4.194807, 4.194692, 4.194557, 4.19438, 4.194349, 4.194199, 4.194085, 4.19395, 4.193853, 4.19375, 4.193631, 4.193564, 4.19342, 4.193345, 4.193265, 4.193182, 4.193049, 4.192982, 4.192886, 4.192768, 4.192721, 4.19262, 4.192536, 4.19242, 4.192333, 4.19228, 4.1922, 4.192142, 4.192023, 4.191951, 4.19187, 4.191808, 4.191705, 4.191703, 4.191601, 4.19154, 4.191442, 4.191403, 4.191262, 4.191244, 4.19116, 4.191111, 4.19103, 4.190953, 4.190869, 4.190829, 4.190719, 4.190675, 4.190601, 4.190537, 4.190485, 4.190371, 4.190295, 4.190278, 4.190197, 4.190143, 4.190083, 4.189993, 4.18997, 4.189895, 4.189852, 4.189804, 4.189726, 4.189641, 4.189637, 4.189543, 4.189458, 4.18942, 4.18938, 4.189291, 4.189221, 4.189206, 4.189112, 4.18908, 4.18899, 4.188948, 4.18887, 4.188914, 4.188802, 4.188766, 4.188746]",1.958865,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.00826179970064933, 0.020114126744508076, 0.03256295466808823, 0.045539910355552604, 0.05894359218254336, 0.0732956200955785, 0.08851419710052849, 0.10494028312925185, 0.12310657738637598, 0.14347472833787878, 0.16717572431644478, 0.19518215487635754, 0.22782743778267917, 0.26321453929898997, 0.2979859357393474, 0.33201770099551875, 0.3646564438112916, 0.3966452426545949, 0.4271441020529628, 0.45669073714761, 0.4857581961782138, 0.5138718548205483, 0.5415171355148077, 0.568510323658871, 0.5951656888334139, 0.6212676614861977, 0.6470393538413137, 0.6722680947811175, 0.6972120824219998, 0.7216377498764522, 0.7455031402906251, 0.7687214318840565, 0.7914065197198386, 0.8138929019854868, 0.8355130016701455, 0.8569024754298573, 0.8774792805397125, 0.8974460321922295, 0.9173503776447087, 0.9368747581772443, 0.9556807303861146, 0.9742401330827055, 0.9923222954311597, 1.0103123730257308, 1.0278608400281974, 1.0450627938606827, 1.0618929911870043, 1.078409185448962, 1.0932382]","[4.196939, 4.19651, 4.196228, 4.195968, 4.195765, 4.195576, 4.195372, 4.195194, 4.195055, 4.19488, 4.194723, 4.194629, 4.194497, 4.194359, 4.194306, 4.194132, 4.193993, 4.193892, 4.193821, 4.193693, 4.193564, 4.193492, 4.193375, 4.193253, 4.193151, 4.193085, 4.193028, 4.192892, 4.192792, 4.19271, 4.192626, 4.192528, 4.192464, 4.19234, 4.192274, 4.192198, 4.192068, 4.192008, 4.191923, 4.191867, 4.191765, 4.191683, 4.191601, 4.191569, 4.191461, 4.191388, 4.191282, 4.191277, 4.191154, 4.191085, 4.191031, 4.190899, 4.190854, 4.19078, 4.190779, 4.190681, 4.19057, 4.190542, 4.190433, 4.19038, 4.190297, 4.190239, 4.1902, 4.190144, 4.190038, 4.189996, 4.189917, 4.189849, 4.189755, 4.189686, 4.189681, 4.189596, 4.189517, 4.189466, 4.189447, 4.189321, 4.189286, 4.189228, 4.189139, 4.189082, 4.189034, 4.188972, 4.188904, 4.188838, 4.188814, 4.188761, 4.188689, 4.188638, 4.188576, 4.188479, 4.188477]",1.9518994,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.00833415811240762, 0.01787064288066545, 0.0279366007942293, 0.038757125728783065, 0.05021673823328188, 0.06290548343184488, 0.07674032956955598, 0.09220058158500746, 0.10985299688134917, 0.13029163461171092, 0.1542359952112061, 0.18207073076036737, 0.21322146522192922, 0.2462745703081238, 0.2794793975211537, 0.31214287210394864, 0.34423275337313897, 0.37513195874833893, 0.40518504501483277, 0.43414601525164165, 0.46297745714285654, 0.4909205815611405, 0.5182308901249887, 0.5452260468284599, 0.5717339403035574, 0.597526421596796, 0.6230558350348371, 0.6481795863305311, 0.6726985073873953, 0.6964854621652907, 0.7193545898667345, 0.7418533207710194, 0.7639971672347575, 0.7852315050483352, 0.8058690507343116, 0.8260249959838148, 0.8457384616017817, 0.864974225862947, 0.8837100294274417, 0.902207998689981, 0.9200935795383186, 0.9377235380406824, 0.9548192433853729, 0.9716133261345582, 0.9880570676026429, 1.0042514369230742, 1.0199992893613727, 1.035503990659747, 1.0499056]","[4.196935, 4.196491, 4.196197, 4.19598, 4.195723, 4.195535, 4.195421, 4.195251, 4.195062, 4.194868, 4.194746, 4.194595, 4.194491, 4.194374, 4.194268, 4.194096, 4.19399, 4.193857, 4.193786, 4.193711, 4.19356, 4.193458, 4.193369, 4.193267, 4.193167, 4.193107, 4.192952, 4.192895, 4.192811, 4.192717, 4.192572, 4.19253, 4.192442, 4.192375, 4.192286, 4.192198, 4.192095, 4.192061, 4.191949, 4.19186, 4.191771, 4.191737, 4.191618, 4.19158, 4.191494, 4.191468, 4.191392, 4.191257, 4.191206, 4.191209, 4.191051, 4.190971, 4.190905, 4.190823, 4.190761, 4.190726, 4.190652, 4.190598, 4.190516, 4.190478, 4.190373, 4.190295, 4.190234, 4.190152, 4.1901, 4.190021, 4.18996, 4.189891, 4.189884, 4.189826, 4.189709, 4.189631, 4.189601, 4.189531, 4.189517, 4.189422, 4.189363, 4.189286, 4.189229, 4.189218, 4.189155, 4.189112, 4.189022, 4.188976, 4.188885, 4.18885, 4.188793, 4.188707, 4.188689, 4.188624, 4.188639]",1.9449338,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.007897787080903163, 0.01728182134292558, 0.02723575849303131, 0.037894045150557, 0.049308631105257766, 0.06185283797281427, 0.07551195947024922, 0.09090497205224488, 0.10820483621879898, 0.12827532609745015, 0.15158148801288954, 0.17864301891421144, 0.2092384562405358, 0.24132346819603676, 0.27434763289693087, 0.30689771640908625, 0.3383959196822355, 0.36900301370857325, 0.3989736287138098, 0.42805352443856215, 0.4564311198034753, 0.48428883936704936, 0.5115988359893522, 0.5383527115819572, 0.5648792467184283, 0.5908653331240165, 0.6163486973676424, 0.6411235772956067, 0.6653960565381686, 0.6891236191841487, 0.7121841357350595, 0.7344180695612114, 0.7564249802342718, 0.7775609429706397, 0.7983049367746687, 0.8183426488595437, 0.8380064377551013, 0.8571435750577145, 0.8759365486715414, 0.894151208248662, 0.9119051442253574, 0.9294233652206434, 0.9464260589427993, 0.9632661950758266, 0.9797271762900792, 0.995677580806072, 1.0114907598930125, 1.0269182775510202, 1.0399419]","[4.196912, 4.196491, 4.196215, 4.195952, 4.195705, 4.195514, 4.195311, 4.195161, 4.194996, 4.194876, 4.194722, 4.194578, 4.194466, 4.194345, 4.194188, 4.194082, 4.193977, 4.193919, 4.193722, 4.193659, 4.19356, 4.193481, 4.193346, 4.193269, 4.193175, 4.193071, 4.192963, 4.19285, 4.192807, 4.192659, 4.192601, 4.192552, 4.192421, 4.192377, 4.192283, 4.192177, 4.192114, 4.192, 4.191977, 4.191867, 4.191739, 4.191713, 4.191621, 4.191504, 4.191476, 4.191381, 4.191335, 4.191297, 4.191127, 4.191065, 4.191032, 4.19095, 4.190871, 4.190827, 4.190754, 4.190659, 4.190636, 4.19057, 4.190489, 4.190409, 4.190331, 4.19024, 4.190209, 4.19013, 4.190055, 4.190019, 4.18993, 4.189931, 4.189799, 4.189787, 4.189703, 4.189619, 4.18959, 4.189491, 4.18942, 4.189427, 4.189381, 4.189291, 4.189219, 4.189178, 4.189063, 4.189043, 4.188993, 4.188946, 4.188899, 4.188827, 4.188803, 4.188747, 4.188674, 4.188657, 4.188631]",1.9379682,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.008880221203827282, 0.018299606860034456, 0.028203753791387398, 0.03889124414607878, 0.05025959523195295, 0.06273133874890208, 0.07636345190615756, 0.09143582599879257, 0.10862618815657388, 0.12831779121370557, 0.15126779574888694, 0.1781807782129065, 0.2079968655451077, 0.24030557666526908, 0.27269541060267827, 0.3050156395018462, 0.3365069489517784, 0.36709102241358904, 0.39683772036913056, 0.42582172532057105, 0.45417749097641746, 0.4819297749971002, 0.5091904162303662, 0.5357046696262193, 0.561986147336797, 0.5877144561533689, 0.6132474603363102, 0.6379199541577809, 0.6622743923239872, 0.68588488498072, 0.7085948464086309, 0.7308393318501845, 0.7525457424012804, 0.7736634973403816, 0.7942120071500223, 0.8142701717827773, 0.8337594039463492, 0.852873515786475, 0.8715831708337133, 0.8898426599985253, 0.9075119439571834, 0.9250153730267173, 0.9421067000975808, 0.9588069278366654, 0.9752189876313645, 0.9911866397535659, 1.0070696589586512, 1.0224863052043123, 1.0365750999999999]","[4.196893, 4.196513, 4.196157, 4.195936, 4.195684, 4.195497, 4.195359, 4.195154, 4.195037, 4.194921, 4.194726, 4.194557, 4.194435, 4.19431, 4.194165, 4.194065, 4.193974, 4.193857, 4.193755, 4.193617, 4.193553, 4.193423, 4.193308, 4.193233, 4.19311, 4.193041, 4.1929, 4.192902, 4.192795, 4.192684, 4.192565, 4.192481, 4.192419, 4.192325, 4.192295, 4.192146, 4.192055, 4.192, 4.191913, 4.191848, 4.19177, 4.191704, 4.191656, 4.191559, 4.191467, 4.191376, 4.191308, 4.191198, 4.191134, 4.191056, 4.190995, 4.190924, 4.190885, 4.190816, 4.190738, 4.190656, 4.190594, 4.19054, 4.190474, 4.190417, 4.19031, 4.190225, 4.190166, 4.190126, 4.190069, 4.190027, 4.189991, 4.189885, 4.189855, 4.189732, 4.189699, 4.189653, 4.18959, 4.189507, 4.189468, 4.189415, 4.189382, 4.189264, 4.189227, 4.189156, 4.189126, 4.189075, 4.18904, 4.188884, 4.18889, 4.188806, 4.188746, 4.188717, 4.188689, 4.188573, 4.188584]",1.9310026,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.00680288308494606, 0.016058624975350044, 0.025978934323182157, 0.036496303467304425, 0.047887748003948294, 0.060142764083665395, 0.07362463161511953, 0.08871925111488993, 0.1056485632387324, 0.12531823778200846, 0.1477428105140483, 0.17442031794472546, 0.2042890058066763, 0.23602483675881059, 0.26849451207897657, 0.30065848494490244, 0.3318142323185011, 0.36201563412319293, 0.3914854974656512, 0.420324868626913, 0.44857578877700777, 0.47616281014907236, 0.5033448342388149, 0.5298561486934948, 0.5562192790682743, 0.5819798382626333, 0.6071859209672221, 0.632086471673069, 0.6561019256426589, 0.6794745285283441, 0.7024439739704122, 0.7246547228786238, 0.7465515627888852, 0.7674008771814729, 0.7880755496146432, 0.8080995150984267, 0.8276299866964951, 0.8465782360604145, 0.8651849927647189, 0.8834141837309583, 0.9011231648440498, 0.918479721878605, 0.9354885162617955, 0.9520634307444426, 0.9684452507474696, 0.9844838023696659, 1.0000725840740627, 1.0154796572054585, 1.0299433000000002]","[4.196898, 4.196543, 4.196186, 4.195918, 4.195749, 4.195553, 4.195296, 4.195121, 4.195002, 4.194835, 4.194748, 4.194534, 4.194441, 4.194311, 4.194192, 4.194057, 4.193927, 4.193823, 4.193728, 4.193604, 4.19354, 4.193387, 4.193316, 4.193214, 4.19309, 4.193007, 4.192913, 4.192803, 4.192722, 4.192649, 4.192535, 4.192437, 4.192326, 4.192279, 4.192177, 4.192125, 4.192007, 4.191931, 4.191858, 4.191789, 4.191758, 4.191656, 4.191586, 4.191453, 4.191391, 4.191326, 4.191267, 4.19116, 4.191101, 4.191038, 4.190943, 4.190891, 4.1908, 4.190725, 4.190665, 4.190622, 4.190544, 4.190466, 4.190407, 4.190358, 4.190282, 4.190226, 4.190167, 4.190082, 4.190073, 4.189958, 4.189871, 4.189822, 4.189759, 4.189711, 4.189656, 4.189563, 4.1895, 4.189517, 4.189428, 4.189327, 4.189306, 4.189198, 4.189212, 4.189091, 4.189105, 4.188968, 4.188944, 4.188886, 4.188799, 4.188795, 4.188737, 4.188711, 4.188608, 4.188568, 4.188569]",1.924037,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.008074004574638305, 0.019699544443544992, 0.03169297386060593, 0.044234960058124495, 0.05748638259652117, 0.07139447807253069, 0.08609132204506753, 0.10200925908875202, 0.11948297016554843, 0.1393968406413983, 0.1622216266810405, 0.1894533317809165, 0.22118548660244758, 0.25538180747749817, 0.2901282221943018, 0.32372104904607635, 0.35605124537273136, 0.38733416580103264, 0.4173148148914885, 0.4467133837585038, 0.47520221670918317, 0.5028569345864653, 0.5303021960514641, 0.5571056135889165, 0.5835233637902393, 0.6093761540700785, 0.6347524455004857, 0.6598636034559446, 0.6844684949877157, 0.7087853817082383, 0.7323990371976042, 0.7553487127808197, 0.7780207996796901, 0.7998707109929678, 0.8214716609693874, 0.84223223877551, 0.8628017898164698, 0.8827396336678927, 0.9025637552683873, 0.9215419897079359, 0.9400453139275763, 0.9583304496130679, 0.9760375751417937, 0.9936739296296281, 1.0108979965668645, 1.0279846572943998, 1.0445266522248233, 1.0608375981014904, 1.0765763000000002]","[4.196872, 4.196527, 4.196166, 4.195926, 4.1957, 4.195481, 4.195327, 4.195135, 4.195017, 4.194823, 4.194672, 4.194528, 4.194417, 4.194322, 4.194193, 4.19406, 4.19393, 4.193809, 4.193713, 4.193594, 4.193505, 4.193386, 4.193291, 4.193188, 4.193089, 4.192948, 4.192885, 4.192813, 4.192718, 4.192602, 4.192561, 4.19242, 4.192357, 4.19225, 4.192188, 4.192145, 4.192056, 4.191935, 4.191853, 4.191793, 4.191693, 4.19159, 4.19151, 4.191456, 4.191344, 4.191291, 4.191203, 4.191106, 4.191078, 4.19098, 4.190958, 4.19089, 4.190695, 4.190691, 4.190665, 4.19054, 4.190537, 4.190397, 4.190335, 4.19024, 4.19023, 4.190168, 4.190076, 4.190032, 4.189916, 4.189869, 4.189782, 4.189747, 4.189698, 4.189601, 4.189551, 4.189449, 4.189383, 4.189361, 4.189335, 4.189208, 4.189164, 4.189124, 4.18907, 4.188969, 4.188952, 4.188896, 4.188788, 4.188752, 4.188715, 4.188666, 4.188603, 4.188559, 4.188497, 4.188417, 4.188428]",1.9204048,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.007383275032526948, 0.016698513920613722, 0.026440313052679354, 0.0369358238753319, 0.048228422464139636, 0.06042142860115504, 0.07391407503001163, 0.08900098391206804, 0.10616584382819047, 0.12569125382463212, 0.14854648823544317, 0.17498388701298542, 0.20539892446494387, 0.2374519306430735, 0.27023588034722323, 0.3021546956723322, 0.33329913281610857, 0.36421838409915963, 0.3938834438393527, 0.4227179371300819, 0.4509842808890574, 0.47848862835836103, 0.5056971347604532, 0.532629250432938, 0.5587776284504304, 0.5847037939195006, 0.6100415065715765, 0.6346926452813842, 0.6587549375368622, 0.682267767191204, 0.7051664813098358, 0.727565337479879, 0.74903700482608, 0.7702659603568367, 0.7908267666195177, 0.8108490140477163, 0.8303984774900995, 0.8494305862346051, 0.8679980262748429, 0.8861275505890459, 0.9038242824394881, 0.9212488706978442, 0.9382241784117041, 0.9548668345911936, 0.9712673793632641, 0.9871775646499096, 1.0028915537662615, 1.0183126199129988, 1.0332793]","[4.196888, 4.1965, 4.196176, 4.195895, 4.195686, 4.195483, 4.195289, 4.195111, 4.194977, 4.194828, 4.194648, 4.194517, 4.194385, 4.194283, 4.194128, 4.193995, 4.193891, 4.193741, 4.193654, 4.193584, 4.193458, 4.193395, 4.193269, 4.193162, 4.193079, 4.192984, 4.192845, 4.192789, 4.192663, 4.192588, 4.192498, 4.192418, 4.192314, 4.192207, 4.192111, 4.192075, 4.192021, 4.191901, 4.19183, 4.191728, 4.191649, 4.191616, 4.191516, 4.191464, 4.191317, 4.191355, 4.191167, 4.19112, 4.191048, 4.19098, 4.190882, 4.190842, 4.190778, 4.190683, 4.19062, 4.19057, 4.190466, 4.190429, 4.190329, 4.190273, 4.190217, 4.190136, 4.190096, 4.190019, 4.189933, 4.18988, 4.189792, 4.189746, 4.189671, 4.189603, 4.189531, 4.189507, 4.189432, 4.189407, 4.189335, 4.189259, 4.189226, 4.189145, 4.189049, 4.189019, 4.189006, 4.188897, 4.188848, 4.188795, 4.188685, 4.188649, 4.188624, 4.188584, 4.188517, 4.188459, 4.188442]",1.9167726,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.008172734553873934, 0.017460955080429913, 0.027206908192154183, 0.037709730678865266, 0.04896447258725109, 0.06106212961422758, 0.07444964983831018, 0.08931909885695807, 0.10605642330835968, 0.1253693907846612, 0.14787107605086852, 0.17398454811259523, 0.20359322164587962, 0.23538099574060745, 0.26772201218123237, 0.2995021513170752, 0.33069793674972214, 0.36090250113779887, 0.3903662436941199, 0.41913537426679204, 0.447191167871961, 0.474794901974405, 0.50183296489381, 0.5284891225443932, 0.5546777806022639, 0.5802028146673711, 0.6055685261710886, 0.6301319507537668, 0.6543009909330759, 0.6778449527133293, 0.7005240004373169, 0.7226593822176705, 0.7443199040733597, 0.7653341616283572, 0.7859279741273099, 0.8060326488673472, 0.8255185427494264, 0.8445088106362759, 0.8629796936396066, 0.8812646873685155, 0.8988761665498277, 0.9162174370643499, 0.9331356040507888, 0.9498844671273676, 0.9660145042433932, 0.9819642667299469, 0.9976235483560087, 1.013042224096385, 1.0266092]","[4.196893, 4.196454, 4.196162, 4.19588, 4.195655, 4.195477, 4.195241, 4.195091, 4.194907, 4.19481, 4.194695, 4.194513, 4.194401, 4.19426, 4.194103, 4.194014, 4.193892, 4.193793, 4.193666, 4.19356, 4.193422, 4.193343, 4.193278, 4.193189, 4.193058, 4.192966, 4.192887, 4.192741, 4.192744, 4.192549, 4.192484, 4.192428, 4.192308, 4.192214, 4.192187, 4.192095, 4.191992, 4.191881, 4.191792, 4.1917, 4.191607, 4.191571, 4.191503, 4.191403, 4.191301, 4.191231, 4.191162, 4.191127, 4.191046, 4.190981, 4.190857, 4.190815, 4.190744, 4.190715, 4.190603, 4.19053, 4.190481, 4.190411, 4.190358, 4.190257, 4.190145, 4.190112, 4.190065, 4.19, 4.189954, 4.189867, 4.189806, 4.189759, 4.189705, 4.189631, 4.189547, 4.189483, 4.189465, 4.189352, 4.189275, 4.189234, 4.189197, 4.189126, 4.189048, 4.189019, 4.188942, 4.188895, 4.188842, 4.188829, 4.188737, 4.188682, 4.188652, 4.188555, 4.188513, 4.188463, 4.188457]",1.9131403999999999,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.0058877962640599135, 0.015208613520528352, 0.024958052867049357, 0.03529513937459869, 0.046406883933230225, 0.05861296270977162, 0.0718563769594783, 0.08657971670211323, 0.10323257471635744, 0.12230270478522764, 0.1444481864992156, 0.17004100475796602, 0.1992654716691658, 0.23083562182662487, 0.26284074065573615, 0.2950615676297587, 0.3259387175006152, 0.35635977922909307, 0.3856723935908232, 0.41432306260284174, 0.44238381315192593, 0.47009851171724343, 0.49718019379633777, 0.5236642388844857, 0.5496876929209988, 0.5753330104265382, 0.6005476014266362, 0.6251260529094067, 0.6490007398353927, 0.6723201599291762, 0.6951182344491631, 0.7171678205968444, 0.73877183930367, 0.7598828011996979, 0.7804105060833895, 0.8001979503976147, 0.8196631211602421, 0.8387750408896042, 0.8571905516483493, 0.8752624236842113, 0.8929740312913359, 0.9101964033898293, 0.9271496748174481, 0.9436901224722449, 0.9598590908067886, 0.9758921915416752, 0.9914535989317359, 1.0065225907441033, 1.0199222000000001]","[4.196856, 4.196435, 4.196138, 4.19584, 4.195673, 4.195509, 4.195251, 4.195117, 4.194905, 4.194815, 4.194644, 4.194541, 4.194395, 4.194239, 4.194124, 4.194004, 4.19392, 4.19383, 4.193688, 4.193525, 4.193474, 4.193346, 4.19327, 4.193111, 4.193052, 4.192957, 4.192821, 4.192728, 4.192676, 4.192592, 4.192443, 4.192411, 4.192325, 4.19223, 4.192107, 4.192025, 4.191998, 4.191924, 4.191808, 4.191711, 4.191604, 4.191565, 4.191477, 4.191388, 4.191363, 4.19127, 4.191214, 4.191116, 4.19102, 4.190983, 4.190835, 4.190791, 4.190713, 4.19065, 4.190634, 4.190555, 4.190479, 4.190407, 4.19033, 4.190252, 4.190193, 4.190154, 4.190067, 4.189986, 4.189934, 4.189901, 4.189842, 4.189745, 4.189661, 4.189628, 4.189562, 4.189473, 4.189439, 4.189342, 4.189324, 4.189305, 4.189178, 4.189141, 4.189086, 4.189027, 4.189004, 4.188858, 4.188884, 4.188784, 4.188775, 4.188647, 4.188618, 4.188656, 4.188509, 4.18844, 4.188438]",1.9095081999999999,3.8,4.1
