Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.008324159941444614, 0.01821654252009916, 0.02884113447130332, 0.04057160052605949, 0.053514314054151746, 0.06833681974998759, 0.08573536800804768, 0.1066384028811517, 0.13090210913252412, 0.15788016991836604, 0.18686675319544768, 0.21813805814607526, 0.25108164823416257, 0.2850046674603176, 0.31954789265609573, 0.3554611966202338, 0.3918680179243228, 0.4261474418130765, 0.4581424163265285, 0.48785780949423185, 0.515776729868492, 0.5426940185213699, 0.5685884257686745, 0.5935585871005005, 0.6176464707517952, 0.6410446169811304, 0.66377784494419, 0.6858222187099653, 0.7072753152205774, 0.7280719586844517, 0.7484980588995084, 0.7683963528674862, 0.7876877445830766, 0.8067175848124434, 0.8253004388324555, 0.8433532264666642, 0.8611872256410248, 0.8786317550198591, 0.8956676406878229, 0.9123814492610834, 0.9288035085785672, 0.9448741382721285, 0.9607478314357313, 0.9763063269033775, 0.9916611011152398, 1.006549617457885, 1.0214950475890496, 1.0359836291520674, 1.0498733999999998]","[4.197388, 4.196947, 4.196648, 4.196404, 4.196207, 4.196006, 4.195851, 4.195615, 4.195535, 4.195405, 4.195263, 4.195076, 4.195022, 4.19492, 4.194802, 4.194678, 4.194615, 4.194497, 4.194429, 4.194335, 4.1942, 4.194146, 4.194016, 4.193954, 4.193895, 4.193816, 4.193684, 4.193629, 4.193563, 4.193469, 4.193462, 4.193338, 4.193296, 4.193195, 4.193101, 4.193031, 4.192996, 4.192947, 4.192827, 4.192788, 4.192722, 4.19266, 4.192612, 4.192503, 4.192505, 4.192413, 4.192342, 4.192252, 4.192152, 4.192132, 4.192091, 4.192055, 4.19196, 4.1919, 4.191831, 4.19181, 4.191723, 4.191682, 4.191648, 4.191572, 4.191525, 4.191493, 4.19138, 4.191352, 4.191302, 4.191276, 4.19122, 4.191123, 4.191074, 4.191061, 4.191021, 4.190901, 4.190878, 4.190806, 4.190772, 4.190726, 4.19066, 4.190633, 4.190578, 4.190588, 4.190478, 4.190445, 4.190394, 4.190367, 4.190264, 4.190249, 4.190223, 4.190158, 4.190126, 4.190078, 4.190093]",1.902247,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.01049276548514061, 0.02283790424366361, 0.035877556453750015, 0.04997127717052846, 0.06528316387582, 0.0819890468243879, 0.10158560256178273, 0.12477205672777597, 0.15208766887398267, 0.1819808051154862, 0.21365492829581884, 0.24685645578110094, 0.28158336739750467, 0.3165205629179332, 0.35175791353852837, 0.38738259431619426, 0.42360392292626825, 0.458209847358943, 0.49046178450512956, 0.5202821219804539, 0.5485031455866706, 0.5753862439541814, 0.601265521107213, 0.6263429647965776, 0.6502986739027639, 0.6739139592821429, 0.6967339954838556, 0.7191114849132163, 0.7407483050270572, 0.7618460829441552, 0.7825827923076908, 0.8027808390106074, 0.8224738990716426, 0.8418743954053142, 0.8607286837209297, 0.8792904269821197, 0.8973691213590792, 0.9153876791270236, 0.932774077654351, 0.9499980247355578, 0.9668036706655699, 0.9834019516934257, 0.9997414228083673, 1.015807053834115, 1.0315883404386312, 1.0471034942805235, 1.0624832635802473, 1.0775939035177808, 1.0898166000000002]","[4.197389, 4.196943, 4.196659, 4.19642, 4.19619, 4.196015, 4.195813, 4.195684, 4.195501, 4.195406, 4.195248, 4.195168, 4.194977, 4.194906, 4.194788, 4.194678, 4.194571, 4.194494, 4.194386, 4.19428, 4.19421, 4.194118, 4.194052, 4.193959, 4.193855, 4.193733, 4.193704, 4.193579, 4.193523, 4.193431, 4.193366, 4.193316, 4.193218, 4.193151, 4.193093, 4.192999, 4.192961, 4.192882, 4.192818, 4.192677, 4.192676, 4.192596, 4.192555, 4.192465, 4.192378, 4.192366, 4.192252, 4.192188, 4.192164, 4.192042, 4.191994, 4.191938, 4.191889, 4.191814, 4.191795, 4.191683, 4.191629, 4.191585, 4.191534, 4.191439, 4.191381, 4.191361, 4.191272, 4.191218, 4.191116, 4.191056, 4.191029, 4.191007, 4.19093, 4.190868, 4.190829, 4.190771, 4.190719, 4.190636, 4.190626, 4.190542, 4.190495, 4.190475, 4.190382, 4.190332, 4.190325, 4.19028, 4.190179, 4.190118, 4.190082, 4.190053, 4.190009, 4.189921, 4.189897, 4.189822, 4.189826]",1.8959938,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.007362741398353828, 0.017010639032417812, 0.02751595964848938, 0.03891550793175885, 0.05156581240443625, 0.06581853690931683, 0.08281862358078512, 0.10313435326595921, 0.12704584817873266, 0.15354849942627458, 0.18238401041520064, 0.21337727930489642, 0.2464160778357048, 0.27998461756002824, 0.31438644380569064, 0.3502074329366102, 0.3869064522893088, 0.4213709033482648, 0.4531475603446162, 0.4828674664577484, 0.5109100271981686, 0.5377688102300118, 0.5635955697506765, 0.5884584048722394, 0.6124613585212597, 0.6356844917456244, 0.6582784017010421, 0.6802201955518428, 0.701438355864497, 0.7221665443180652, 0.7423014598282467, 0.7621180541243093, 0.781292470433333, 0.8001244964127019, 0.8184594332589283, 0.8365410459941174, 0.8541143387279668, 0.8713584737104816, 0.8882523686958386, 0.904906678957297, 0.9211399843923, 0.9371965437395275, 0.9528753320265626, 0.9682955345545918, 0.9834995793923567, 0.9984018364822638, 1.0131641026767222, 1.027481775246231, 1.0399197]","[4.19735, 4.196939, 4.196609, 4.196392, 4.196155, 4.195985, 4.195827, 4.195668, 4.195514, 4.195372, 4.195233, 4.195098, 4.194996, 4.194859, 4.194753, 4.194645, 4.194528, 4.19448, 4.194372, 4.194271, 4.19418, 4.194102, 4.193965, 4.193932, 4.19387, 4.193754, 4.193671, 4.193599, 4.193495, 4.193436, 4.193359, 4.193323, 4.193215, 4.193113, 4.193089, 4.192968, 4.192903, 4.192846, 4.192746, 4.192735, 4.192668, 4.192582, 4.192509, 4.192478, 4.192387, 4.192307, 4.192256, 4.192206, 4.192142, 4.192101, 4.192051, 4.191963, 4.191899, 4.191844, 4.191854, 4.191737, 4.191655, 4.191628, 4.19157, 4.1915, 4.191452, 4.191401, 4.191361, 4.191257, 4.191247, 4.191118, 4.191091, 4.191097, 4.190982, 4.190976, 4.190905, 4.190865, 4.190816, 4.190778, 4.190747, 4.190654, 4.190599, 4.190527, 4.190495, 4.190472, 4.190409, 4.190336, 4.190319, 4.190297, 4.190195, 4.190113, 4.190138, 4.19003, 4.19005, 4.18994, 4.189943]",1.8897406,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.007846421749244409, 0.017311021096225676, 0.027528874916123297, 0.038680562847086375, 0.05090929443702272, 0.06492113227293711, 0.08129982004547054, 0.10083530237012034, 0.1238866848949603, 0.14941821790448062, 0.17757765200312225, 0.20738841166049493, 0.2394993785369524, 0.2724881355354158, 0.30612253977760717, 0.3413877957328369, 0.37766244761904805, 0.4121291457117609, 0.44376688908441325, 0.4735268959409494, 0.5016080931818174, 0.5283003484616655, 0.5540687414646983, 0.5788306213834624, 0.6029010279019291, 0.6260384159013594, 0.6485932858792871, 0.6703909713681016, 0.6917648464275219, 0.7122341903954903, 0.7324632737125722, 0.7521965362106457, 0.7712944800775601, 0.79005753422121, 0.8083578420545745, 0.826333790549181, 0.8439323946273816, 0.8612117025235537, 0.8780770430962328, 0.8946838393831322, 0.9109542737916216, 0.9269697459866024, 0.9426482695813618, 0.9580330135039308, 0.9732021341664749, 0.988126263189494, 1.0028128470930238, 1.0171646880048812, 1.0298951]","[4.197336, 4.196926, 4.196599, 4.19638, 4.196147, 4.195968, 4.195756, 4.195663, 4.195434, 4.195313, 4.195219, 4.195107, 4.194959, 4.194828, 4.194786, 4.194626, 4.194519, 4.194453, 4.194366, 4.194248, 4.194168, 4.194051, 4.193974, 4.193925, 4.193849, 4.193763, 4.193666, 4.193542, 4.193476, 4.193414, 4.193368, 4.193271, 4.193222, 4.193146, 4.193081, 4.192975, 4.192915, 4.192863, 4.192789, 4.192719, 4.192696, 4.192568, 4.192519, 4.192471, 4.192385, 4.192296, 4.192238, 4.192202, 4.192108, 4.192084, 4.192066, 4.191968, 4.19189, 4.191866, 4.191784, 4.191722, 4.191688, 4.191598, 4.191538, 4.191513, 4.191445, 4.191395, 4.191361, 4.191327, 4.191221, 4.191205, 4.191101, 4.191077, 4.19104, 4.191001, 4.19092, 4.190863, 4.190846, 4.190756, 4.19069, 4.19065, 4.190634, 4.190573, 4.190532, 4.190483, 4.190449, 4.190385, 4.190322, 4.19029, 4.190249, 4.190176, 4.190149, 4.190145, 4.190096, 4.189997, 4.18999]",1.8834874,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.006717737685486502, 0.01613301789355101, 0.02619956995044903, 0.03723552791633675, 0.049371518620549504, 0.06307262682759113, 0.07913605614906682, 0.09831041207103558, 0.12082258608625573, 0.1459037682539664, 0.1733696324437458, 0.20334548568179744, 0.2347435311008898, 0.2674095993902442, 0.300729511410644, 0.33582921006675315, 0.3719023259605906, 0.4061876180605346, 0.43806538562580966, 0.4675885029154515, 0.4957560100396299, 0.5223878038534162, 0.5479715667941103, 0.572712792295793, 0.5966101422277303, 0.6197799915132992, 0.6422233158100413, 0.6639387828825953, 0.6852734857018145, 0.7057665326055073, 0.7259417738136434, 0.7456754922413605, 0.7647480353399629, 0.7835019257033035, 0.8017797070676693, 0.8198848544038176, 0.8372481212660191, 0.8544137888844846, 0.8712968830481099, 0.8878368922762953, 0.9040684178763226, 0.919872743054036, 0.9355594878419436, 0.9508960546272182, 0.9661211911697195, 0.9809474967365307, 0.9955403593169231, 1.0100267537842709, 1.0233205]","[4.197353, 4.196895, 4.196596, 4.196364, 4.196162, 4.195928, 4.195788, 4.195599, 4.195484, 4.195309, 4.195254, 4.19505, 4.194957, 4.194828, 4.194739, 4.194646, 4.194515, 4.194414, 4.194318, 4.19427, 4.19416, 4.194099, 4.193948, 4.193902, 4.193812, 4.193702, 4.193682, 4.193617, 4.19346, 4.193436, 4.19333, 4.193273, 4.19322, 4.193102, 4.193014, 4.19299, 4.192875, 4.192827, 4.192788, 4.192707, 4.19261, 4.19259, 4.192507, 4.192446, 4.192376, 4.192325, 4.192251, 4.192197, 4.192142, 4.192058, 4.19201, 4.191938, 4.191916, 4.191837, 4.191738, 4.191711, 4.191644, 4.191647, 4.19156, 4.191489, 4.191437, 4.191372, 4.191363, 4.191291, 4.191202, 4.191226, 4.19109, 4.191087, 4.191004, 4.190985, 4.190905, 4.190848, 4.19081, 4.190747, 4.190725, 4.190649, 4.190629, 4.190553, 4.190516, 4.190466, 4.190436, 4.190374, 4.190332, 4.190266, 4.190253, 4.190191, 4.190196, 4.190084, 4.190028, 4.190008, 4.189996]",1.8772342,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.006053179724251956, 0.01533875197152329, 0.02538743105476826, 0.03638577165803189, 0.04837205337865633, 0.06201877558156066, 0.07789992647846111, 0.09684884192731558, 0.11907433968856795, 0.14389194894671453, 0.1709108617874739, 0.200466472609638, 0.23157071428571274, 0.2640580012462493, 0.29699682441015257, 0.3317482866893815, 0.3677336696055763, 0.40190773884254305, 0.4337447704237294, 0.4631825085984821, 0.49107491143965964, 0.5177818826464929, 0.5432200759197789, 0.5681993541030395, 0.5919565008075331, 0.6150648264649898, 0.6373560994259513, 0.6590444261929376, 0.6800826342605947, 0.7006058286949848, 0.7207222269636295, 0.7402604566161284, 0.7594165434705209, 0.7780494917402594, 0.7965340179899217, 0.8142786299145303, 0.831783600788781, 0.8490074075732325, 0.8657267805457679, 0.8823241228482, 0.898470071335736, 0.9143185962099128, 0.9299612644411094, 0.9452865873493973, 0.9603991084331968, 0.9752170147460474, 0.989724649363677, 1.0042135458664818, 1.0166135]","[4.197295, 4.196872, 4.196586, 4.196299, 4.196133, 4.195929, 4.195713, 4.195563, 4.195436, 4.195292, 4.195185, 4.195056, 4.19496, 4.194861, 4.194715, 4.194592, 4.194534, 4.194393, 4.194307, 4.194202, 4.194146, 4.194045, 4.193942, 4.193836, 4.193777, 4.193698, 4.193621, 4.193532, 4.193474, 4.193386, 4.193294, 4.193208, 4.193132, 4.193077, 4.193001, 4.192918, 4.192897, 4.19278, 4.192732, 4.19267, 4.192625, 4.192549, 4.192454, 4.192402, 4.192324, 4.192296, 4.192209, 4.192162, 4.192093, 4.192039, 4.191988, 4.191922, 4.191866, 4.191816, 4.19177, 4.191669, 4.191623, 4.191566, 4.191498, 4.191479, 4.191446, 4.191367, 4.191284, 4.191226, 4.19118, 4.191151, 4.191086, 4.191065, 4.191, 4.190932, 4.190888, 4.190855, 4.190799, 4.19073, 4.190695, 4.190671, 4.190561, 4.190572, 4.190516, 4.190476, 4.190365, 4.190331, 4.190309, 4.190248, 4.190207, 4.190163, 4.190141, 4.190048, 4.190031, 4.189954, 4.189957]",1.870981,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.008227447333771676, 0.019886312997222155, 0.03230766425590709, 0.045616093186067186, 0.06003737239088314, 0.07585303022003531, 0.09397278804997145, 0.11549193286418075, 0.14133069141681337, 0.1699400084095689, 0.20006935560636052, 0.23211506148157446, 0.2655803235148817, 0.2993892719258583, 0.333480991236103, 0.3683336984958675, 0.40425356429784054, 0.43868213457854044, 0.4709531072037325, 0.500732229138159, 0.5288221580796251, 0.555645670063693, 0.5815353351251712, 0.6065567034985414, 0.6305247890701332, 0.6540169402216506, 0.6767454367346937, 0.6987461262101524, 0.7203534908844966, 0.7412956750593256, 0.7617201510001007, 0.7817309619009701, 0.8013482471190164, 0.8205127793883095, 0.8392645834862374, 0.8575998581492866, 0.8757234502933898, 0.8933104773940329, 0.9106093388030406, 0.9276997402515718, 0.9444103462471388, 0.9608855843749998, 0.9770543849707317, 0.9929086537491395, 1.0085503833556224, 1.0239226718436507, 1.0391767060324129, 1.05411559018926, 1.0665817999999998]","[4.197316, 4.196919, 4.196584, 4.196369, 4.196102, 4.19593, 4.195795, 4.195636, 4.195475, 4.195297, 4.195183, 4.195065, 4.19498, 4.194834, 4.194736, 4.194604, 4.194508, 4.194416, 4.194306, 4.194221, 4.194152, 4.194064, 4.193937, 4.193865, 4.193794, 4.19366, 4.193615, 4.193572, 4.193433, 4.19333, 4.193257, 4.193224, 4.193109, 4.193077, 4.193003, 4.192906, 4.192822, 4.192763, 4.192698, 4.192634, 4.192561, 4.192475, 4.192414, 4.192387, 4.192275, 4.19222, 4.192103, 4.192106, 4.192003, 4.191952, 4.191867, 4.191864, 4.19178, 4.191705, 4.191661, 4.191594, 4.191524, 4.191454, 4.191409, 4.191338, 4.191291, 4.191243, 4.191195, 4.1911, 4.191125, 4.19101, 4.19096, 4.190921, 4.190817, 4.190794, 4.190728, 4.190675, 4.190624, 4.190538, 4.190471, 4.190434, 4.190413, 4.190333, 4.190301, 4.190248, 4.190196, 4.190148, 4.190101, 4.190048, 4.189981, 4.189894, 4.189871, 4.189806, 4.189787, 4.189739, 4.189734]",1.8669816,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.008237662653707428, 0.017670280628583335, 0.02785318200498549, 0.03896173990981042, 0.05120662644298543, 0.06499792241556876, 0.08125736956749577, 0.10050232335299511, 0.12338294269532532, 0.14884343267161212, 0.17654618422787574, 0.20651019580968336, 0.23871672650315548, 0.27155337850296546, 0.30500669900549005, 0.33985350660402514, 0.37601016707976553, 0.4104930377953323, 0.4425233194119772, 0.47231205769715223, 0.5002946271624263, 0.5271137417777011, 0.5528631617248692, 0.5776396632754205, 0.6015921907498019, 0.6246409597836448, 0.6471417942728911, 0.6688262605385177, 0.6901580710546802, 0.7106019931616187, 0.7306695242295561, 0.7501713137533265, 0.7695611095225412, 0.7880759268695587, 0.8062876144227169, 0.8241629020408162, 0.8416203041454068, 0.8587539537053349, 0.8755228816670096, 0.8919203091603055, 0.9080861513554678, 0.9238997129988104, 0.9393738448044849, 0.9546482391528562, 0.9696614434256551, 0.9844687427266311, 0.9989386474576268, 1.0132358650409476, 1.0265823]","[4.197325, 4.196921, 4.196613, 4.196316, 4.196105, 4.195909, 4.195749, 4.195583, 4.195461, 4.195257, 4.195165, 4.195016, 4.194929, 4.194788, 4.194695, 4.194596, 4.194483, 4.194362, 4.194291, 4.194215, 4.194093, 4.194026, 4.193927, 4.19382, 4.19376, 4.193662, 4.19353, 4.193503, 4.19339, 4.193371, 4.193271, 4.193185, 4.193135, 4.193036, 4.192961, 4.192891, 4.192833, 4.192711, 4.192691, 4.192589, 4.192595, 4.192485, 4.192432, 4.192355, 4.192257, 4.19224, 4.192178, 4.192082, 4.192025, 4.191975, 4.191933, 4.191835, 4.1918, 4.191711, 4.191657, 4.191634, 4.191567, 4.191517, 4.191456, 4.191406, 4.191318, 4.191251, 4.191224, 4.191152, 4.191091, 4.191056, 4.190968, 4.19097, 4.190892, 4.190828, 4.190781, 4.190736, 4.190677, 4.190631, 4.190587, 4.190498, 4.190475, 4.190443, 4.190331, 4.190315, 4.190276, 4.190164, 4.190194, 4.190126, 4.190113, 4.190001, 4.189995, 4.189963, 4.1899, 4.189857, 4.189857]",1.8629822,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.0056235593544821105, 0.014908947630080743, 0.02492572391828407, 0.0357494009506078, 0.04778925271360582, 0.06126163647062141, 0.07705435037400263, 0.09592614605380159, 0.11799926409584435, 0.14267628548579528, 0.16992131804286562, 0.19915708126612655, 0.23062026404275907, 0.26294308363858343, 0.2959480069863931, 0.33054854736965045, 0.36644234024144773, 0.40088201836734505, 0.43274324591366387, 0.4623775003279884, 0.4903170808318257, 0.5170767235359066, 0.5426218411132177, 0.5672760012362632, 0.5912744710460739, 0.6141859876103276, 0.636663480942407, 0.6582621579027348, 0.6793858143532477, 0.7000158150362702, 0.7198874561224472, 0.7395635452134268, 0.7584800550927374, 0.7772033537168793, 0.7953377171351209, 0.8130046065954849, 0.8303597451924737, 0.847471410529428, 0.8640063953294398, 0.8803696915887863, 0.8964082906520033, 0.9120951092621653, 0.9275575348166322, 0.9426894562046527, 0.9576886201550369, 0.9723801889089191, 0.9868993208632285, 1.0011192012425936, 1.013268]","[4.197315, 4.196917, 4.196542, 4.196318, 4.19611, 4.19589, 4.19575, 4.195539, 4.195392, 4.195229, 4.195121, 4.194965, 4.194915, 4.194794, 4.194647, 4.194529, 4.194499, 4.194364, 4.194261, 4.194163, 4.194122, 4.19404, 4.193886, 4.193809, 4.193735, 4.193625, 4.193572, 4.19349, 4.193373, 4.193316, 4.193253, 4.193165, 4.193116, 4.193041, 4.192938, 4.19289, 4.192823, 4.19273, 4.192672, 4.192615, 4.192551, 4.192492, 4.192427, 4.19234, 4.192243, 4.192245, 4.192159, 4.192092, 4.192025, 4.191977, 4.19191, 4.191849, 4.191766, 4.191705, 4.191692, 4.191646, 4.191546, 4.191518, 4.191428, 4.191414, 4.19133, 4.191286, 4.191226, 4.191169, 4.191097, 4.191059, 4.190989, 4.190979, 4.190917, 4.190806, 4.190821, 4.190758, 4.19069, 4.190667, 4.190594, 4.19055, 4.190487, 4.190442, 4.190403, 4.190298, 4.190289, 4.190273, 4.190203, 4.190134, 4.190089, 4.190061, 4.190012, 4.189993, 4.18993, 4.189878, 4.189898]",1.8589828,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.008089545362144318, 0.01731824828054887, 0.027247201428257206, 0.038053356790290066, 0.04990705748341023, 0.06329231629244592, 0.0789763934369194, 0.09751355613121984, 0.11920495507171944, 0.14357325573585025, 0.17033622118767874, 0.19919604289978557, 0.23008449963369718, 0.2622377709095012, 0.2948418979328493, 0.32884136714745893, 0.36452421057646744, 0.39852278215225767, 0.4299283991964813, 0.4594666584620589, 0.48734731714285584, 0.5140464632598402, 0.5394366626800535, 0.5640230030185542, 0.5878337747823271, 0.610712633295669, 0.633018011500599, 0.65466919745493, 0.6755638454618412, 0.6960805678029526, 0.7159327720028981, 0.7354832378175745, 0.7544775280080579, 0.7730785560983299, 0.7911945108454308, 0.808995196719991, 0.8264139349703622, 0.8435053185286759, 0.8602149125664597, 0.8766151370309417, 0.8926329787030932, 0.9083558175840639, 0.9238011933735676, 0.9390760377131658, 0.9540045547224204, 0.9687673152721562, 0.9831933490222523, 0.9974910619951475, 1.0099772]","[4.197285, 4.196879, 4.196596, 4.196328, 4.196109, 4.195898, 4.195737, 4.195565, 4.195374, 4.195276, 4.195153, 4.194999, 4.194942, 4.194779, 4.19467, 4.194541, 4.194457, 4.194414, 4.194298, 4.19416, 4.194071, 4.194056, 4.193899, 4.193772, 4.193748, 4.193666, 4.19357, 4.19354, 4.193416, 4.19334, 4.193262, 4.193197, 4.193119, 4.193015, 4.192929, 4.192892, 4.192825, 4.192787, 4.192691, 4.19261, 4.192545, 4.192493, 4.192401, 4.192323, 4.192276, 4.192228, 4.192175, 4.192095, 4.192055, 4.191974, 4.191889, 4.191868, 4.19181, 4.191743, 4.191665, 4.191617, 4.191565, 4.191521, 4.191449, 4.191412, 4.191322, 4.191283, 4.191236, 4.191177, 4.191113, 4.191116, 4.19103, 4.190986, 4.190934, 4.190886, 4.1908, 4.190758, 4.190687, 4.190681, 4.190639, 4.19058, 4.190514, 4.190447, 4.190444, 4.190371, 4.190346, 4.190285, 4.190257, 4.190182, 4.190163, 4.190069, 4.190058, 4.190001, 4.189939, 4.189896, 4.189884]",1.8549834,3.8,4.1
