Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.007898732009759962, 0.018662032550507718, 0.030240777974056443, 0.04272185671622314, 0.05607970919530805, 0.07132558812202375, 0.08831586080586004, 0.1083165128196584, 0.13242409744897835, 0.1619678392232833, 0.19671465631983895, 0.23292906705050534, 0.26940050838678153, 0.30430830760604544, 0.33832043415404744, 0.3707202289454663, 0.40194628346504446, 0.4327448778057863, 0.46260211662777906, 0.49158729236844123, 0.5206450218253961, 0.5485913909824377, 0.5761324053113546, 0.6030744140205228, 0.6292303322331503, 0.6543008042619931, 0.6785894667458061, 0.7022318079081613, 0.7250316413411678, 0.747173257802271, 0.7687496606097383, 0.7896379582299956, 0.8099865268922245, 0.8296774942728004, 0.8487902892988924, 0.8676348137600983, 0.8858416786609377, 0.9036876115869009, 0.9209376169544724, 0.9384776915223526, 0.9550883375236773, 0.9716251308813625, 0.9875835750049516, 1.0034300129088336, 1.0190367654618446, 1.0339749367909912, 1.049026890797545, 1.0636064895438535, 1.0765854000000001]","[4.197246, 4.196815, 4.196549, 4.196254, 4.195912, 4.195848, 4.195644, 4.195585, 4.195264, 4.195222, 4.195012, 4.194847, 4.194789, 4.194625, 4.194488, 4.194375, 4.194282, 4.194099, 4.194036, 4.193851, 4.193829, 4.193765, 4.193727, 4.193584, 4.193456, 4.193432, 4.193258, 4.193168, 4.193082, 4.193028, 4.192856, 4.192833, 4.192788, 4.192729, 4.192559, 4.192462, 4.192424, 4.19229, 4.192215, 4.192143, 4.192045, 4.192071, 4.191923, 4.19181, 4.191884, 4.191693, 4.191636, 4.191555, 4.191491, 4.19143, 4.191375, 4.191222, 4.191189, 4.191079, 4.191008, 4.191089, 4.19086, 4.190821, 4.190807, 4.190755, 4.190711, 4.190674, 4.190587, 4.19047, 4.190398, 4.190246, 4.190271, 4.190244, 4.190134, 4.190121, 4.190064, 4.18994, 4.189941, 4.18989, 4.18979, 4.189739, 4.18969, 4.189653, 4.189566, 4.189498, 4.189505, 4.189325, 4.189282, 4.189259, 4.189239, 4.189159, 4.189122, 4.188949, 4.188994, 4.18896]",1.938864,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.011254295700052541, 0.02392309105469248, 0.037144857888083416, 0.05073548816326423, 0.0654018882401779, 0.080996126200306, 0.09831019049040407, 0.11791240673667508, 0.14068685298243738, 0.16897659485807076, 0.20408213177085271, 0.24248135649665803, 0.28065891349130034, 0.3166776013824891, 0.35097237829313455, 0.38439071510203926, 0.4156068175424501, 0.445942636510154, 0.47612067629513233, 0.5055286775043735, 0.5340295322693638, 0.5621057682521189, 0.5894611400036929, 0.6165396813328023, 0.6425601965420811, 0.6684552535508186, 0.6936333764903627, 0.7177801838095226, 0.741271197623047, 0.7642425187999724, 0.7863689295821585, 0.8078338977482162, 0.8290494437229423, 0.8493350372599191, 0.8691650500883514, 0.8885640637355396, 0.907569056420378, 0.9260517833629478, 0.9440971555859436, 0.9618991888336406, 0.9792263724489796, 0.9960676377551012, 1.0127047310064208, 1.0291389815934364, 1.0452578864160669, 1.0609096274887984, 1.0762729225374583, 1.0916889626607875, 1.1066745]","[4.197261, 4.19683, 4.196562, 4.196266, 4.196028, 4.195869, 4.195651, 4.195532, 4.195359, 4.195156, 4.195076, 4.194918, 4.194728, 4.194676, 4.19452, 4.194381, 4.194271, 4.194212, 4.194129, 4.194048, 4.193838, 4.193769, 4.193673, 4.19363, 4.193443, 4.19339, 4.193254, 4.193151, 4.193085, 4.193002, 4.192926, 4.192821, 4.192716, 4.192605, 4.19253, 4.192509, 4.192428, 4.192306, 4.192238, 4.192145, 4.192047, 4.191991, 4.191865, 4.191806, 4.19171, 4.191676, 4.191548, 4.191506, 4.19146, 4.191305, 4.191278, 4.191192, 4.191133, 4.191051, 4.191008, 4.190909, 4.190851, 4.190799, 4.19072, 4.190661, 4.190565, 4.190581, 4.190478, 4.190399, 4.190297, 4.190242, 4.190166, 4.190098, 4.190063, 4.189981, 4.189892, 4.189867, 4.189797, 4.189726, 4.189657, 4.189592, 4.18956, 4.189508, 4.189434, 4.18937, 4.189297, 4.189208, 4.18922, 4.189111, 4.189064, 4.189113, 4.188938, 4.188856, 4.188829, 4.188726, 4.188726]",1.9346044,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.007444271291547372, 0.01809255627177697, 0.02945549031174083, 0.04167694489795834, 0.05491265311692195, 0.06985601887873105, 0.08652563441280653, 0.10612282283606533, 0.1297565073041026, 0.158647155029491, 0.19303462668090549, 0.22880409149659703, 0.2649015145005351, 0.29992279409937855, 0.33338293284144244, 0.3659931234596064, 0.3973494725506925, 0.428030851346824, 0.4577442772594738, 0.48719576579177065, 0.5159959642356238, 0.5442235044348489, 0.5718028554203851, 0.5984960290499644, 0.624857183905966, 0.6499184446393929, 0.6743590111507112, 0.697791699529041, 0.7208065361783207, 0.7430079747946476, 0.7645269738371014, 0.7853503973796914, 0.8054110803403285, 0.8250377016326536, 0.8443249506827726, 0.8629459930219636, 0.8812537535936111, 0.8990459221733871, 0.9163760169116091, 0.9334702872053879, 0.9501594216525644, 0.9663541539929008, 0.982511429081631, 0.998055729616325, 1.0134553362794918, 1.0286340563528618, 1.0433620109412935, 1.0580617308976137, 1.0699529]","[4.197229, 4.196841, 4.196497, 4.196285, 4.196031, 4.195811, 4.195665, 4.195459, 4.195241, 4.195212, 4.195092, 4.194863, 4.194838, 4.194682, 4.194571, 4.194405, 4.194297, 4.19418, 4.194018, 4.193979, 4.193758, 4.193793, 4.193655, 4.19362, 4.193484, 4.193398, 4.193261, 4.193141, 4.193072, 4.19304, 4.192855, 4.192776, 4.192725, 4.192608, 4.192535, 4.192511, 4.192348, 4.192403, 4.192285, 4.192143, 4.192084, 4.192004, 4.191929, 4.191798, 4.191793, 4.191711, 4.191648, 4.191556, 4.191493, 4.191345, 4.191286, 4.191265, 4.191127, 4.19115, 4.191075, 4.190964, 4.190948, 4.19088, 4.190793, 4.190715, 4.190657, 4.190543, 4.190531, 4.190477, 4.190419, 4.190344, 4.190235, 4.190179, 4.190137, 4.190129, 4.189984, 4.18994, 4.189926, 4.189831, 4.18977, 4.189729, 4.189662, 4.189498, 4.189536, 4.189449, 4.189402, 4.189354, 4.189258, 4.189269, 4.189193, 4.189239, 4.189102, 4.189082, 4.18896, 4.188928, 4.188912]",1.9303448,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.00951424650584401, 0.02009981618850956, 0.03141781731690893, 0.04337047222530174, 0.05640513746989462, 0.07109672316992818, 0.08780064191508516, 0.10724685108135709, 0.13013332898009614, 0.1581226048019199, 0.19177782789613565, 0.2271956863014659, 0.2627513861494578, 0.29740113874091945, 0.33141193590540885, 0.36365456466836577, 0.39504464265169137, 0.425871547942939, 0.455638193767005, 0.4852155455102036, 0.5139218513374273, 0.5423384890400588, 0.5700233587312877, 0.597142189773973, 0.622890337564987, 0.6482652877804789, 0.6725808855898127, 0.6965018731413987, 0.7189965088598168, 0.741130787730163, 0.7622783234066685, 0.7832054949918863, 0.8031822377399266, 0.822825163112345, 0.8416659434496382, 0.8601231797140291, 0.8784435756448766, 0.8962285503237729, 0.913505899194413, 0.9303025145441869, 0.9469264194789692, 0.9631392892944027, 0.9789428108904311, 0.9944623480712153, 1.009732739108086, 1.0248520947374435, 1.0394645444937802, 1.054166172363151, 1.0666159000000002]","[4.197166, 4.196713, 4.196484, 4.196236, 4.19604, 4.195827, 4.195589, 4.195436, 4.195274, 4.195147, 4.195001, 4.194909, 4.194712, 4.194585, 4.194479, 4.194413, 4.194185, 4.194178, 4.194028, 4.193968, 4.193816, 4.193737, 4.193593, 4.193558, 4.193412, 4.193316, 4.193213, 4.193112, 4.193008, 4.192974, 4.19285, 4.192793, 4.192661, 4.1926, 4.192499, 4.192383, 4.192354, 4.192297, 4.192162, 4.192074, 4.191988, 4.191912, 4.191845, 4.191717, 4.191723, 4.191688, 4.191507, 4.191429, 4.19142, 4.191387, 4.191289, 4.191216, 4.191137, 4.191086, 4.190935, 4.190865, 4.190944, 4.190734, 4.190759, 4.190711, 4.190652, 4.190531, 4.19045, 4.190453, 4.190313, 4.190327, 4.190289, 4.190155, 4.190054, 4.19012, 4.19001, 4.189896, 4.189865, 4.189814, 4.189692, 4.189752, 4.18968, 4.189527, 4.189485, 4.189401, 4.189363, 4.189314, 4.189281, 4.18924, 4.189234, 4.189013, 4.189056, 4.189024, 4.188973, 4.188924]",1.9260852,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.0069167813702618874, 0.017456287277073018, 0.028702554397993296, 0.040698064432969194, 0.05381025376138787, 0.06839683569119945, 0.08452416204505972, 0.10358285412707549, 0.12646430859029636, 0.15416222518447512, 0.18671684803094526, 0.22191804701343906, 0.2575493679254872, 0.2922926802494331, 0.3257111018360269, 0.35799347168586493, 0.38908808603174627, 0.4195807244897952, 0.449519679510743, 0.47857157895617297, 0.5074510259720061, 0.5352566667747939, 0.5630800639332098, 0.5899467867827759, 0.616335686340362, 0.6414286325538378, 0.6654742886702762, 0.6895673142254359, 0.7117779462258346, 0.7341011843052452, 0.7551650852830966, 0.7762333153560433, 0.795829371619299, 0.8156834928994091, 0.8344412993879528, 0.8533328117266835, 0.8713356291632285, 0.8890935167539252, 0.9062173858428392, 0.9234163359431234, 0.9398091493512631, 0.9559307184546965, 0.9717993096115852, 0.9875099034743297, 1.002700602852036, 1.0179372956954196, 1.0325048823861849, 1.0470375843735171, 1.0599127000000002]","[4.197206, 4.196801, 4.19646, 4.196261, 4.196012, 4.19578, 4.195599, 4.195469, 4.195272, 4.195147, 4.195076, 4.194886, 4.194724, 4.194635, 4.194448, 4.194478, 4.1943, 4.194093, 4.194115, 4.194004, 4.193777, 4.193757, 4.193701, 4.193555, 4.193398, 4.19334, 4.193274, 4.193173, 4.193061, 4.192986, 4.192838, 4.192822, 4.192739, 4.192594, 4.1924, 4.192476, 4.192328, 4.192277, 4.192236, 4.192148, 4.192127, 4.191943, 4.191909, 4.191805, 4.191676, 4.191627, 4.191645, 4.19149, 4.191436, 4.19141, 4.191286, 4.191219, 4.191105, 4.19112, 4.19101, 4.190928, 4.190903, 4.190845, 4.19076, 4.19083, 4.190595, 4.190592, 4.190475, 4.190511, 4.190353, 4.190346, 4.190207, 4.190229, 4.190163, 4.190107, 4.189965, 4.189972, 4.189877, 4.189893, 4.189763, 4.189716, 4.189769, 4.189586, 4.189594, 4.189543, 4.189395, 4.189444, 4.189467, 4.189256, 4.189178, 4.189229, 4.189191, 4.18911, 4.189048, 4.188984, 4.188979]",1.9218256,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.008162967327732862, 0.018627135162871483, 0.029761522347292874, 0.04178729749174692, 0.05472189686309306, 0.06920457219536921, 0.08531806700483588, 0.10431772480376736, 0.12643601022075032, 0.15383616198386205, 0.18629602270669263, 0.22072000296981656, 0.2560657762218713, 0.290314212107623, 0.32404111330494756, 0.35577732551020236, 0.38722501408484644, 0.4177870422765344, 0.44765671296781884, 0.4768508688906328, 0.5056663066623958, 0.5339438740683484, 0.561384478976515, 0.5883187506179262, 0.6143776808374971, 0.6398472874950736, 0.6638226526213301, 0.6872314740204292, 0.7100749023104437, 0.7321460847919936, 0.7532997398019554, 0.774244241807112, 0.7942644781856759, 0.8137734074178894, 0.8328631866962032, 0.8513422326530616, 0.8696862924823531, 0.8872953411640351, 0.9046739968769298, 0.9215782623376619, 0.9380319318524332, 0.9542140237956805, 0.9699337452200344, 0.985359168644136, 1.0007334281027722, 1.0159653601113157, 1.0306736198863633, 1.0452336799357438, 1.0566531]","[4.197234, 4.196843, 4.196441, 4.19622, 4.196061, 4.195752, 4.195614, 4.19547, 4.195337, 4.195135, 4.194972, 4.194898, 4.194714, 4.194557, 4.194479, 4.194377, 4.194283, 4.194166, 4.19404, 4.193861, 4.193769, 4.193761, 4.193484, 4.193562, 4.193382, 4.193342, 4.193291, 4.19312, 4.192937, 4.192945, 4.192862, 4.192845, 4.192731, 4.192687, 4.192541, 4.192446, 4.192299, 4.192276, 4.192232, 4.192105, 4.19205, 4.191947, 4.191897, 4.191754, 4.191737, 4.191639, 4.191722, 4.191546, 4.191434, 4.191382, 4.191297, 4.191215, 4.19119, 4.191021, 4.191038, 4.19098, 4.190913, 4.190863, 4.190756, 4.190656, 4.190605, 4.190643, 4.190454, 4.19041, 4.190422, 4.19038, 4.190294, 4.190183, 4.190152, 4.189986, 4.19006, 4.190056, 4.189934, 4.189832, 4.18985, 4.189751, 4.189549, 4.189673, 4.189514, 4.189424, 4.189461, 4.189417, 4.189326, 4.189267, 4.189221, 4.18929, 4.189173, 4.189005, 4.188925, 4.188955, 4.188954]",1.917566,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.009732651209879373, 0.022245908795226255, 0.035063969693297226, 0.04885677540898081, 0.06282649490635411, 0.0781225457751516, 0.09496093365531205, 0.11388666868539554, 0.13593694946513818, 0.16323992327954367, 0.19705806027568912, 0.2350953053287967, 0.2720474970071725, 0.30844818749999975, 0.34308412833459906, 0.37568331827587126, 0.40742047277800847, 0.43821669811848, 0.46803760370318354, 0.4969053726194362, 0.5254907074740944, 0.5532852948077167, 0.5807492538100514, 0.6075983677280541, 0.6343248681603242, 0.6598466785030348, 0.6847414215013821, 0.7088367441120833, 0.7323407731425464, 0.754964875656781, 0.7768248910051125, 0.7984715864077652, 0.8192722117487867, 0.8394080438830267, 0.8592739106469001, 0.8786692969126111, 0.8973303818747831, 0.9156936877830568, 0.9336080663221644, 0.9510167303588746, 0.96837493476079, 0.9853671303822924, 1.0018368360098564, 1.0180288131868116, 1.0338544516479693, 1.0496624283847664, 1.0649268049971108, 1.0801309972216973, 1.0933549999999999]","[4.197155, 4.196812, 4.196482, 4.196264, 4.196027, 4.195827, 4.195557, 4.195389, 4.195313, 4.195144, 4.195017, 4.194901, 4.194738, 4.194608, 4.194467, 4.194315, 4.194247, 4.194145, 4.194021, 4.193889, 4.193827, 4.193687, 4.193597, 4.193433, 4.193394, 4.193318, 4.193179, 4.193042, 4.19299, 4.192903, 4.192786, 4.192794, 4.192744, 4.192521, 4.192372, 4.192371, 4.192298, 4.192244, 4.19209, 4.192004, 4.191891, 4.191984, 4.191812, 4.191645, 4.191639, 4.191599, 4.191495, 4.191378, 4.191367, 4.191321, 4.191254, 4.191119, 4.191069, 4.190974, 4.190882, 4.190886, 4.190771, 4.190689, 4.190718, 4.19062, 4.190496, 4.190409, 4.190377, 4.190315, 4.190257, 4.190202, 4.190043, 4.19009, 4.190068, 4.190002, 4.189851, 4.189875, 4.189748, 4.189664, 4.1896, 4.189535, 4.189548, 4.189417, 4.189349, 4.189306, 4.18926, 4.189187, 4.189219, 4.189082, 4.189089, 4.189013, 4.18891, 4.18891, 4.188846, 4.188777, 4.188777]",1.9152992,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.009107824673239506, 0.01963744974636636, 0.03067720973905491, 0.04258729035830161, 0.055780197795861214, 0.07006837551020417, 0.08661178331043906, 0.10523780359797102, 0.12788232432319818, 0.15578678415270958, 0.18787224259501933, 0.2231395191909048, 0.2583534400114481, 0.29308550604848077, 0.3264370673469378, 0.3585169216102454, 0.3897000939902342, 0.42068552659728575, 0.4503100198384331, 0.47948111324893583, 0.508153179482831, 0.536392610664181, 0.5642309834691529, 0.5909172722438719, 0.6172007081277328, 0.6419013145733444, 0.6664092772216251, 0.6899634396899469, 0.7127347520116012, 0.7347759282417579, 0.7561389577781044, 0.7768189189648013, 0.7971276082655013, 0.81687157284721, 0.8359502315275962, 0.8543774427536215, 0.872609131435732, 0.8900641287028508, 0.9075413727436095, 0.9243518760528087, 0.9409696822164251, 0.9570164422876117, 0.9729080786081985, 0.9886261854368918, 1.003810996130069, 1.018800695747662, 1.0335137929535227, 1.04799565282634, 1.0599977]","[4.197244, 4.196781, 4.196439, 4.196334, 4.195986, 4.195822, 4.195642, 4.195427, 4.195306, 4.195157, 4.194983, 4.194861, 4.19471, 4.194614, 4.194509, 4.194329, 4.194216, 4.194163, 4.194019, 4.193911, 4.193854, 4.193665, 4.19364, 4.193525, 4.193403, 4.193245, 4.193185, 4.193038, 4.19301, 4.192924, 4.192795, 4.192757, 4.192661, 4.192571, 4.192564, 4.192453, 4.19234, 4.192266, 4.192137, 4.192118, 4.192094, 4.191989, 4.191852, 4.191761, 4.191716, 4.191624, 4.191552, 4.191505, 4.191406, 4.191401, 4.1912, 4.191218, 4.191103, 4.191085, 4.190983, 4.190951, 4.19087, 4.19079, 4.190734, 4.190656, 4.190587, 4.190487, 4.190522, 4.190412, 4.190329, 4.190249, 4.190219, 4.190145, 4.190095, 4.190022, 4.189969, 4.189894, 4.189781, 4.189783, 4.189694, 4.189646, 4.189629, 4.189533, 4.189508, 4.189396, 4.189368, 4.189332, 4.189264, 4.189238, 4.189118, 4.189106, 4.189107, 4.188972, 4.188907, 4.188951, 4.188941]",1.9130324,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.008644744181565606, 0.018939202448979398, 0.03020309343027819, 0.0420313517368229, 0.05483187096493497, 0.06907182637181672, 0.08513566504319439, 0.10360893910299859, 0.12576389674981062, 0.15249991049814596, 0.18424690522364293, 0.21884921811307964, 0.2539197117969124, 0.2883175546027229, 0.32187233145821126, 0.35379322790410006, 0.38512245577192605, 0.41579823192602006, 0.4454089386479576, 0.47454057183553755, 0.5036714546985324, 0.5316454188815452, 0.5591922977703738, 0.5860992843771985, 0.6120805445138926, 0.6371942713983719, 0.6617316045059602, 0.6849152880646763, 0.7076538893760349, 0.7297052304047043, 0.7509978908381825, 0.7716851235484796, 0.7918500805573201, 0.8114642232836141, 0.8306381678264428, 0.8491821585082423, 0.867236645694741, 0.8850301863121365, 0.9024029882363404, 0.9192756245262094, 0.9358679249793892, 0.9520174332995611, 0.9679508251777106, 0.9833794990015087, 0.9986166707131999, 1.0139004752186573, 1.028510788946904, 1.0428328827571833, 1.0565719999999998]","[4.197186, 4.196753, 4.196461, 4.196223, 4.195946, 4.195812, 4.195595, 4.195444, 4.19518, 4.195161, 4.19502, 4.194864, 4.194684, 4.194599, 4.194405, 4.194289, 4.194156, 4.194108, 4.194002, 4.193821, 4.193711, 4.193656, 4.193604, 4.193537, 4.193453, 4.193239, 4.193194, 4.193085, 4.19304, 4.192905, 4.192881, 4.192761, 4.192655, 4.192539, 4.192454, 4.192432, 4.192321, 4.192255, 4.192163, 4.192069, 4.191968, 4.191889, 4.191854, 4.191732, 4.19167, 4.191656, 4.191512, 4.191483, 4.1914, 4.191319, 4.191268, 4.191206, 4.191139, 4.190971, 4.190975, 4.190905, 4.190833, 4.190772, 4.190736, 4.19066, 4.190594, 4.19048, 4.190419, 4.190387, 4.190309, 4.190242, 4.190143, 4.190162, 4.19004, 4.190016, 4.189961, 4.18986, 4.189834, 4.189738, 4.189696, 4.189692, 4.189565, 4.189507, 4.189463, 4.18946, 4.189342, 4.189352, 4.189243, 4.189177, 4.189189, 4.189135, 4.189024, 4.188989, 4.18892, 4.188876, 4.188883]",1.9107656,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.009511558139534304, 0.019894748862303274, 0.03091693077488611, 0.04274498939430127, 0.05551832137180865, 0.069565469237715, 0.08558161103058554, 0.10379144655485933, 0.12545409220552894, 0.15193871648305202, 0.18324906338674385, 0.2171375988338189, 0.25242299491855325, 0.2864718737066926, 0.3195413176540517, 0.35176569550240355, 0.3829407647043437, 0.4130886730806608, 0.44287110011304565, 0.47199067898428626, 0.5004482368443487, 0.5290544185148744, 0.5564619454753328, 0.5832860990097424, 0.6090241778945225, 0.6342539342605163, 0.6584986826622531, 0.682055601386648, 0.7048007732229308, 0.7265548398087257, 0.7479654354153984, 0.7689793042998996, 0.7888603928104824, 0.8085524441381428, 0.8275389839608036, 0.8462213637180089, 0.8643952424134864, 0.882133157746406, 0.899528698005402, 0.916382237419497, 0.9330560155384935, 0.9492945728192148, 0.9652247166037731, 0.9808826214637567, 0.9959893548934886, 1.0110519191022689, 1.025806147752144, 1.0402944601665602, 1.0532791]","[4.19718, 4.196826, 4.19642, 4.196216, 4.196016, 4.195768, 4.195569, 4.195409, 4.195263, 4.195122, 4.194916, 4.194836, 4.194718, 4.194553, 4.194402, 4.194302, 4.194211, 4.194073, 4.194011, 4.193884, 4.193818, 4.193724, 4.193577, 4.193482, 4.193426, 4.193286, 4.193194, 4.193096, 4.193019, 4.192929, 4.192843, 4.192719, 4.192694, 4.192595, 4.192464, 4.192407, 4.192357, 4.192283, 4.192167, 4.192093, 4.191992, 4.191905, 4.191868, 4.191756, 4.191667, 4.191667, 4.19153, 4.191432, 4.19143, 4.191329, 4.191254, 4.191204, 4.191117, 4.191037, 4.190979, 4.190917, 4.19086, 4.190829, 4.190753, 4.190605, 4.190603, 4.190534, 4.190508, 4.190419, 4.190343, 4.190277, 4.190258, 4.190167, 4.190062, 4.190001, 4.189938, 4.189936, 4.189822, 4.189754, 4.189729, 4.189584, 4.189645, 4.189544, 4.189535, 4.189381, 4.18938, 4.189314, 4.189265, 4.189209, 4.189157, 4.189109, 4.189056, 4.188996, 4.188942, 4.188919, 4.188914]",1.9084988,3.8,4.1
