Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.00981910551102988, 0.020415550085079448, 0.03162485766024678, 0.04367065901757511, 0.05658414262740727, 0.07089030866764884, 0.08671617690022237, 0.10472904107142883, 0.12558868005071766, 0.15028600735192188, 0.17947875099253574, 0.21235167088550644, 0.24638653880824968, 0.2801027219081261, 0.313416692923897, 0.3452148865268313, 0.37625091637762687, 0.4061963348116735, 0.4356908046766125, 0.4644739416407623, 0.4927436033735938, 0.5203289189919822, 0.5471111668680873, 0.5736527638107182, 0.5995185403594254, 0.6247000005812904, 0.6493931574290221, 0.6731844115501511, 0.6966180349066619, 0.7192858907894453, 0.7413580858850645, 0.7629628889194534, 0.7839801062117955, 0.8043035736127756, 0.8240615691527282, 0.8435975919210044, 0.8623525341509068, 0.8809144643255644, 0.8990341361557632, 0.9167020805309736, 0.9340533261792132, 0.9510213660219049, 0.9675803843871873, 0.9838854853503165, 0.9999160039558943, 1.0156356942614648, 1.031041110204081, 1.0461063676701177, 1.0599131]","[4.19722, 4.196799, 4.196498, 4.196283, 4.196024, 4.195821, 4.195637, 4.195492, 4.195308, 4.195123, 4.194998, 4.194863, 4.194773, 4.194615, 4.194467, 4.194366, 4.194279, 4.194136, 4.194012, 4.193928, 4.193828, 4.193686, 4.193584, 4.193519, 4.193447, 4.193282, 4.193179, 4.19312, 4.193047, 4.192939, 4.192861, 4.192722, 4.19265, 4.192588, 4.192507, 4.192397, 4.192333, 4.192245, 4.192181, 4.192069, 4.19201, 4.1919, 4.191814, 4.191757, 4.191687, 4.191563, 4.191547, 4.191452, 4.191385, 4.191305, 4.191231, 4.191193, 4.191069, 4.191031, 4.190952, 4.190872, 4.190816, 4.19074, 4.190708, 4.190637, 4.190557, 4.190475, 4.190372, 4.190366, 4.190286, 4.190208, 4.190171, 4.190086, 4.190039, 4.189961, 4.189871, 4.189857, 4.189798, 4.189725, 4.189655, 4.189578, 4.189498, 4.189453, 4.189399, 4.189318, 4.189291, 4.189243, 4.189207, 4.189124, 4.189094, 4.188969, 4.188961, 4.188933, 4.188807, 4.188789, 4.188792]",1.943119,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.010250040106053793, 0.0229102796788484, 0.03621658427712937, 0.049969999416908495, 0.06437925114529564, 0.07976176134566265, 0.09607552593573099, 0.11419303327701735, 0.13455749498252223, 0.158593278115556, 0.18782890160820093, 0.2218524721133186, 0.25769661760329504, 0.29307821598815603, 0.3274452157359397, 0.3604741777265727, 0.39209823635537194, 0.42280934514869556, 0.4525363190008049, 0.4814820871271583, 0.5094659425904751, 0.5371561433453476, 0.564273312708218, 0.5907115881382641, 0.6167126872410795, 0.6420641888117287, 0.666790807061757, 0.6910862783539224, 0.714910197662934, 0.7380590543065062, 0.7609416017671862, 0.7830520341808591, 0.804528705562142, 0.8256424356577128, 0.846032994460642, 0.8661390876349362, 0.8857795245732565, 0.904876754844606, 0.9234926822288447, 0.9418764701139015, 0.9597767599545688, 0.9773089676311029, 0.9945492842234995, 1.0113904448475264, 1.0280403876755464, 1.0443349688443777, 1.06032658231789, 1.076130863558172, 1.0897827]","[4.197214, 4.196764, 4.196498, 4.196213, 4.196043, 4.195836, 4.195632, 4.195475, 4.195291, 4.195116, 4.194974, 4.194848, 4.194762, 4.194624, 4.194451, 4.194363, 4.194263, 4.194103, 4.194016, 4.193884, 4.193806, 4.19366, 4.193564, 4.193466, 4.193362, 4.193295, 4.193154, 4.193061, 4.193001, 4.192882, 4.192765, 4.192715, 4.192592, 4.19251, 4.192428, 4.192314, 4.192284, 4.192175, 4.192123, 4.191998, 4.191895, 4.191845, 4.191762, 4.191647, 4.191578, 4.191538, 4.19142, 4.191337, 4.191297, 4.191202, 4.191135, 4.191058, 4.190982, 4.190954, 4.190836, 4.190793, 4.190711, 4.190613, 4.190536, 4.190457, 4.190404, 4.190344, 4.190246, 4.190185, 4.190134, 4.190047, 4.189986, 4.189929, 4.189835, 4.189816, 4.189714, 4.189633, 4.189594, 4.18955, 4.189451, 4.189387, 4.18929, 4.189292, 4.18921, 4.189155, 4.189097, 4.189003, 4.188945, 4.188922, 4.188832, 4.188766, 4.188697, 4.188681, 4.188605, 4.188537, 4.18853]",1.9394212,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.0070472936950631004, 0.017349457612662128, 0.028331924733035307, 0.040195913464765115, 0.05284757312483421, 0.06678052385976468, 0.0824782358075033, 0.10010953268022038, 0.12086223820224612, 0.14544652572289968, 0.17477933484009422, 0.20719120054421597, 0.24102477109557618, 0.27455076357671976, 0.3074915918242139, 0.3391706686611473, 0.3701206911102487, 0.4000892175297852, 0.429204051080854, 0.45798202051947967, 0.48610523762825475, 0.51360855969318, 0.5406995495503952, 0.5670653161386617, 0.5929821419535747, 0.6181031232961557, 0.6426516058102055, 0.6665810694155823, 0.689994611477533, 0.7123605816326526, 0.7342321755836291, 0.7556004705692785, 0.7762983463212103, 0.7965508628173231, 0.8161891364145656, 0.835386177305367, 0.8539943828449075, 0.872408391064631, 0.890257688840908, 0.9078884473082922, 0.9250776669340759, 0.9418148024390238, 0.9583326502492846, 0.9744693221880527, 0.9903913105452407, 1.0058994205238543, 1.0211503669603528, 1.036134159094941, 1.0497569]","[4.197205, 4.196795, 4.196507, 4.196249, 4.195984, 4.195786, 4.195592, 4.195443, 4.195302, 4.195105, 4.195021, 4.19487, 4.194691, 4.194551, 4.19445, 4.194298, 4.194211, 4.194092, 4.193998, 4.193877, 4.193807, 4.193655, 4.193527, 4.193491, 4.193342, 4.193253, 4.193178, 4.193063, 4.192989, 4.192869, 4.192798, 4.192711, 4.192628, 4.192522, 4.192411, 4.192361, 4.192253, 4.192167, 4.192084, 4.191998, 4.191916, 4.191854, 4.191779, 4.191692, 4.191645, 4.1915, 4.191477, 4.191391, 4.191278, 4.191227, 4.191187, 4.191094, 4.19101, 4.190934, 4.190868, 4.190758, 4.190723, 4.190625, 4.190625, 4.19054, 4.190462, 4.190371, 4.190325, 4.190248, 4.1902, 4.190125, 4.190035, 4.189973, 4.189861, 4.189848, 4.189769, 4.189747, 4.189671, 4.189612, 4.189543, 4.189459, 4.189391, 4.189377, 4.189285, 4.189216, 4.189161, 4.189095, 4.189064, 4.188991, 4.188934, 4.188889, 4.188854, 4.188792, 4.188715, 4.188669, 4.188669]",1.9357234,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.007755586226018546, 0.017942878330165418, 0.028686545909551553, 0.04029659251576276, 0.05282756903484198, 0.06655225813153151, 0.08186852707292644, 0.0991019354975621, 0.11929085140390147, 0.14300264405428345, 0.17114674771486035, 0.20253181413350604, 0.23568703532756816, 0.2690063341269834, 0.3013992058855959, 0.3327943952976564, 0.3633804290172956, 0.3933206020012425, 0.4223437495213753, 0.45088898146214085, 0.47913422451686094, 0.5066533876204018, 0.5335386720127735, 0.5600487027845675, 0.5858081546897276, 0.6108923822760612, 0.6355168824299601, 0.6593003565174446, 0.6825620569566759, 0.7051455185428523, 0.7269420848210133, 0.7482745072164272, 0.768987835616068, 0.7891139824457922, 0.8088021446882998, 0.827947477716128, 0.8466695221198144, 0.864906372987551, 0.8828191384865434, 0.9002803752113393, 0.9174690999999993, 0.9342597033410125, 0.9506724515396483, 0.9667846811527367, 0.9826066698113192, 0.9981362485901206, 1.0134608809128123, 1.0284691360249747, 1.0430981]","[4.197151, 4.196774, 4.196449, 4.196171, 4.195978, 4.195775, 4.195591, 4.19541, 4.195272, 4.195068, 4.194999, 4.19481, 4.194715, 4.194555, 4.194418, 4.194286, 4.194203, 4.194061, 4.193947, 4.193866, 4.19377, 4.193645, 4.19352, 4.193444, 4.193311, 4.193221, 4.193157, 4.193047, 4.19297, 4.192875, 4.192724, 4.192677, 4.192598, 4.192514, 4.192432, 4.192336, 4.192227, 4.192172, 4.192076, 4.192, 4.191913, 4.191835, 4.191805, 4.191661, 4.191615, 4.191527, 4.19147, 4.191405, 4.191305, 4.191257, 4.191155, 4.191067, 4.191, 4.190919, 4.190857, 4.190791, 4.190722, 4.190653, 4.190607, 4.190523, 4.190467, 4.190402, 4.190304, 4.190267, 4.190187, 4.190173, 4.190036, 4.190024, 4.189906, 4.189839, 4.189796, 4.18972, 4.189711, 4.189622, 4.18957, 4.189459, 4.189436, 4.189379, 4.189307, 4.189239, 4.18921, 4.189139, 4.189091, 4.189023, 4.189003, 4.18893, 4.188878, 4.188795, 4.188763, 4.188688]",1.9320256,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.007297624721547602, 0.017315580437502864, 0.028096415154769683, 0.03953035750491829, 0.05192164172219926, 0.06547311162929745, 0.08049561894630114, 0.0975322179322965, 0.11727847623921733, 0.14060026295133327, 0.1682307897142853, 0.19919458547344288, 0.23197380194153133, 0.264850141446769, 0.29696304305150456, 0.32821076213890144, 0.3587275925728644, 0.3883851726042254, 0.41738702252231935, 0.44585950595852714, 0.47378327734374875, 0.5010257066306021, 0.5278439499615191, 0.5541593511386786, 0.5799736352805478, 0.6051181149266298, 0.6296844576688143, 0.6534624898532813, 0.676508684567539, 0.6991980866061815, 0.7208453703513469, 0.7423012138193623, 0.7629467046233285, 0.7831640171501593, 0.8026908190432143, 0.8218120099367654, 0.8406028691876046, 0.8587790592724844, 0.8766735712057718, 0.8941539283305229, 0.9112108095037843, 0.9281157503827566, 0.9445033234362623, 0.96059479332572, 0.9764333349587146, 0.991970257969697, 1.0071468897669602, 1.0222406769115435, 1.0364594999999999]","[4.197178, 4.196753, 4.196402, 4.196188, 4.195923, 4.195705, 4.195579, 4.195393, 4.195213, 4.195089, 4.194931, 4.194832, 4.194654, 4.194566, 4.194388, 4.194275, 4.194179, 4.194064, 4.193964, 4.193827, 4.1937, 4.193591, 4.193527, 4.193402, 4.193339, 4.193251, 4.193139, 4.193021, 4.192934, 4.19285, 4.192742, 4.192667, 4.192554, 4.192409, 4.19239, 4.192307, 4.192198, 4.192177, 4.192081, 4.191977, 4.191894, 4.191833, 4.191747, 4.191676, 4.19159, 4.191524, 4.191446, 4.191339, 4.191264, 4.191226, 4.191149, 4.191086, 4.190984, 4.190907, 4.190853, 4.190795, 4.190708, 4.19059, 4.190541, 4.190518, 4.190434, 4.190363, 4.190318, 4.190236, 4.190172, 4.190078, 4.190012, 4.189979, 4.189938, 4.189881, 4.189775, 4.189727, 4.189642, 4.189624, 4.189559, 4.189496, 4.189412, 4.189342, 4.189301, 4.189278, 4.18924, 4.189172, 4.189058, 4.188981, 4.188937, 4.18887, 4.188855, 4.188797, 4.188718, 4.188643, 4.188638]",1.9283278000000001,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.007743265737211402, 0.017757056739305915, 0.0284594154327181, 0.039870096726262766, 0.05215468618205346, 0.06558846862567802, 0.08050123890553848, 0.09731877802297043, 0.11667513933530169, 0.13980366645453726, 0.16693270131571245, 0.1974667488114842, 0.23029256157969383, 0.26295389028103, 0.2951229787225995, 0.3264178050146689, 0.3566541130633786, 0.38615015949161413, 0.41521651891372835, 0.44326801101179236, 0.47123257675611574, 0.4986013169365555, 0.5253675171291283, 0.5515164997767433, 0.5772705038834934, 0.6021816507228894, 0.6268276974039081, 0.6506395063307904, 0.6736146256518589, 0.6961828068989646, 0.7178656052095063, 0.7391004396185865, 0.7597992694243406, 0.7799441895470396, 0.7994239828324403, 0.8185532408049977, 0.8371732759413348, 0.8555668374429535, 0.873390768565335, 0.8908574985130724, 0.9078588191113943, 0.9245675104518476, 0.9410484432718091, 0.9571189407055827, 0.9729056959726847, 0.9884191200201078, 1.0036211112358693, 1.0186287341460478, 1.0332064]","[4.197186, 4.196775, 4.196443, 4.196153, 4.195934, 4.195726, 4.195546, 4.195384, 4.195253, 4.195036, 4.194899, 4.194758, 4.194653, 4.194551, 4.194401, 4.194262, 4.194154, 4.193999, 4.193873, 4.193818, 4.193677, 4.193583, 4.193506, 4.193402, 4.193285, 4.193169, 4.193118, 4.193007, 4.192867, 4.192793, 4.192668, 4.192606, 4.192504, 4.192408, 4.192379, 4.192274, 4.19218, 4.192128, 4.192042, 4.191925, 4.191868, 4.191756, 4.191716, 4.19163, 4.191559, 4.191443, 4.191387, 4.191326, 4.191276, 4.191209, 4.191073, 4.191014, 4.190993, 4.190904, 4.190823, 4.190769, 4.190667, 4.190619, 4.190529, 4.190485, 4.190413, 4.190287, 4.19025, 4.190261, 4.190143, 4.190087, 4.190005, 4.189913, 4.189877, 4.189826, 4.189752, 4.189712, 4.189657, 4.18957, 4.189525, 4.189436, 4.189406, 4.189345, 4.189283, 4.189183, 4.189158, 4.189111, 4.189038, 4.188993, 4.188915, 4.188864, 4.188846, 4.188765, 4.188681, 4.18863, 4.188646]",1.92463,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.010343559783913103, 0.022726547535011354, 0.035601815616119636, 0.049076043723029095, 0.0630553195163901, 0.077852247316818, 0.09382577617165311, 0.11119683514454215, 0.13107655264281348, 0.1542528723101214, 0.1825682214319176, 0.21540108575410544, 0.2507900900351848, 0.2857519082789233, 0.3194972833991824, 0.35212936079734025, 0.38350477752739376, 0.4137517809272211, 0.44307307779423943, 0.4719149265876986, 0.4997973966386552, 0.5274050861544087, 0.5544613161863423, 0.5805116451977386, 0.6065979475512836, 0.6321173931432368, 0.6570328847446659, 0.6812042245974639, 0.7049334559791246, 0.7280474213042979, 0.7505468982622053, 0.7723659757653051, 0.7938378663461946, 0.814746656974542, 0.8351615075933073, 0.8549723953352774, 0.874386452372473, 0.8933904620293177, 0.9120985480272089, 0.9301783742160282, 0.9479927838331855, 0.9655321973045822, 0.9825637796122103, 0.9993686190051013, 1.0158367552788028, 1.0321066662313738, 1.048056918540031, 1.0636923629686303, 1.0764652]","[4.197165, 4.196755, 4.196438, 4.196152, 4.195944, 4.195757, 4.195562, 4.195375, 4.1952, 4.195053, 4.194932, 4.194759, 4.194592, 4.194486, 4.194378, 4.194241, 4.194119, 4.194015, 4.193898, 4.193803, 4.193666, 4.193609, 4.193449, 4.193344, 4.193236, 4.193156, 4.193046, 4.192955, 4.192867, 4.192792, 4.192653, 4.192643, 4.19249, 4.192411, 4.192309, 4.192218, 4.192118, 4.192035, 4.19198, 4.191914, 4.191824, 4.191689, 4.191628, 4.191563, 4.191442, 4.191388, 4.191339, 4.191192, 4.191152, 4.191058, 4.191035, 4.190936, 4.19086, 4.19078, 4.190703, 4.190634, 4.190532, 4.190516, 4.190407, 4.190326, 4.19025, 4.190195, 4.190104, 4.190063, 4.189992, 4.189944, 4.189813, 4.189765, 4.189697, 4.189615, 4.189532, 4.189498, 4.18938, 4.189341, 4.189302, 4.189268, 4.189224, 4.189073, 4.189066, 4.188983, 4.188916, 4.18886, 4.18879, 4.18872, 4.188728, 4.188622, 4.188536, 4.188494, 4.188396, 4.188379, 4.188373]",1.9227586,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.009520556842135292, 0.019504494229556274, 0.030196648305283624, 0.041614360813306106, 0.05386514718139038, 0.06741912871008235, 0.08234803229477367, 0.09944063174810033, 0.11897853673469336, 0.1423244725623565, 0.1701283069073792, 0.20103483429887933, 0.2338303344450772, 0.2665634658730147, 0.29929010074211393, 0.3303877894557812, 0.36088659002003376, 0.3906091360354972, 0.41967033467684545, 0.4483700942133815, 0.4762969868030772, 0.5036219937877199, 0.5305481767785989, 0.5571688438194987, 0.5829105208856854, 0.607973687112525, 0.6323601840143627, 0.6562423770689925, 0.6793307801112737, 0.7017139859884238, 0.7237037995464837, 0.7449014732482455, 0.7654653007413807, 0.7856081913590964, 0.8052672516855477, 0.8242575333047024, 0.8429483269503546, 0.8612071251993254, 0.8788210172945436, 0.896482683730357, 0.9134392800842193, 0.930094184980236, 0.9463972854956266, 0.9625326026856946, 0.9781794139830826, 0.9936381759722164, 1.0088040477153692, 1.023627684407917, 1.0365005999999999]","[4.197186, 4.196719, 4.196397, 4.196156, 4.19594, 4.195745, 4.195566, 4.195328, 4.195177, 4.195035, 4.194859, 4.194736, 4.19461, 4.194542, 4.194355, 4.194245, 4.194089, 4.193975, 4.193907, 4.193774, 4.193662, 4.193573, 4.193434, 4.193407, 4.193257, 4.193174, 4.193056, 4.192939, 4.192866, 4.192769, 4.192649, 4.192561, 4.192489, 4.192392, 4.192302, 4.192219, 4.192111, 4.192076, 4.192001, 4.191904, 4.191771, 4.191734, 4.19158, 4.191566, 4.191451, 4.191427, 4.191349, 4.191277, 4.191151, 4.191072, 4.191059, 4.19093, 4.190868, 4.190836, 4.190721, 4.190651, 4.190545, 4.190527, 4.190448, 4.190389, 4.190307, 4.190218, 4.190163, 4.190091, 4.190017, 4.189981, 4.189889, 4.189811, 4.189777, 4.189694, 4.189609, 4.189547, 4.189479, 4.189418, 4.189391, 4.18929, 4.189228, 4.189202, 4.189159, 4.189057, 4.18902, 4.188938, 4.188911, 4.188793, 4.188793, 4.188716, 4.188644, 4.188575, 4.188524, 4.188492, 4.188478]",1.9208872000000001,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.008391061318812704, 0.01835184466879325, 0.028911794849516614, 0.04028474622968756, 0.05246932695479181, 0.0658069544388091, 0.0805749161843014, 0.09735915795918365, 0.11662350353409656, 0.1395845515176623, 0.16644552480310332, 0.19708155846714687, 0.2293586675394672, 0.26200751183304594, 0.2939353213443173, 0.32527277571114444, 0.3556860310210416, 0.3852578610250111, 0.4141187319583128, 0.4425186405808474, 0.4704799940189928, 0.49760441071360245, 0.52456277944589, 0.5507960530158724, 0.5762164688763434, 0.601263734686289, 0.6257056199546482, 0.6494757616038862, 0.6723610252120937, 0.6948385314488243, 0.7165566453388623, 0.7376464240875398, 0.7581129615384585, 0.7781151803984838, 0.7976487385265378, 0.8166490555276866, 0.835312234066488, 0.8533924810876916, 0.8712289538697187, 0.8885477267816859, 0.90549173261038, 0.9222874322065291, 0.9387180514357074, 0.9546325859767681, 0.9704298380807299, 0.9858949363768228, 1.001050512186844, 1.0159898463166126, 1.0298458]","[4.197155, 4.196708, 4.196428, 4.19615, 4.195924, 4.195737, 4.195509, 4.195356, 4.19523, 4.194996, 4.194906, 4.194736, 4.194613, 4.194473, 4.194298, 4.194217, 4.194097, 4.19403, 4.193884, 4.193759, 4.193631, 4.193557, 4.193439, 4.193352, 4.193285, 4.193127, 4.193054, 4.192941, 4.192819, 4.19277, 4.192628, 4.192577, 4.192518, 4.192394, 4.192304, 4.19221, 4.192141, 4.192068, 4.191999, 4.191881, 4.191789, 4.19172, 4.191634, 4.191565, 4.191504, 4.191383, 4.191307, 4.19125, 4.191197, 4.191112, 4.191064, 4.190959, 4.190853, 4.190793, 4.190742, 4.190669, 4.190619, 4.190544, 4.19047, 4.190388, 4.190357, 4.190258, 4.190183, 4.190132, 4.19004, 4.189945, 4.189953, 4.189855, 4.189802, 4.18974, 4.189704, 4.189585, 4.189579, 4.189442, 4.189452, 4.189396, 4.189302, 4.189167, 4.189164, 4.189111, 4.189005, 4.188998, 4.188906, 4.188878, 4.188829, 4.188781, 4.188695, 4.188696, 4.188568, 4.188554, 4.188543]",1.9190158,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.00934436437653563, 0.019269214696084835, 0.02968695770173957, 0.0409855035395402, 0.053087381819062224, 0.0662688408448408, 0.08105312698412631, 0.09750735462020599, 0.11650322136601649, 0.1388762327026632, 0.16543711839080416, 0.19552430138553767, 0.22739396934712397, 0.25986960357142946, 0.29153665496393966, 0.3228350742543145, 0.35262715983913845, 0.38211825431435603, 0.41098364899924084, 0.4391285342217492, 0.4669127774541086, 0.49419495393585916, 0.5210514212209665, 0.5470587814298389, 0.5726299966652382, 0.5979119385592462, 0.6222224380102042, 0.6458067473666873, 0.6687895112382152, 0.6912205821271238, 0.7129986013129859, 0.7341398236898762, 0.7547786544904054, 0.7749157153700892, 0.7943687250861373, 0.8133797141598487, 0.8320608536926353, 0.8502297192712367, 0.8679888457687062, 0.8853391004594877, 0.902339591447689, 0.9190824941627005, 0.9353472766461284, 0.9514999197980216, 0.9672070173526193, 0.9826540024349237, 0.9979209022949727, 1.012742951375333, 1.0265895999999999]","[4.197145, 4.196739, 4.196378, 4.19613, 4.195938, 4.195726, 4.195518, 4.19537, 4.195224, 4.194977, 4.194861, 4.194745, 4.194593, 4.194471, 4.194327, 4.194272, 4.194076, 4.194014, 4.193898, 4.193748, 4.193661, 4.193555, 4.193442, 4.193354, 4.193193, 4.193169, 4.193057, 4.192987, 4.19286, 4.192762, 4.192668, 4.192633, 4.192489, 4.192379, 4.192288, 4.192213, 4.19212, 4.192059, 4.19197, 4.191909, 4.191848, 4.19167, 4.191605, 4.191554, 4.191447, 4.191394, 4.191314, 4.191242, 4.191166, 4.191113, 4.191031, 4.190941, 4.190927, 4.190819, 4.190731, 4.190701, 4.190566, 4.190545, 4.190468, 4.190385, 4.190357, 4.19025, 4.190138, 4.190153, 4.190054, 4.189987, 4.189966, 4.189853, 4.189792, 4.189749, 4.189661, 4.189592, 4.189546, 4.189492, 4.189414, 4.189358, 4.189307, 4.189253, 4.189207, 4.189161, 4.189085, 4.189066, 4.188953, 4.188916, 4.188856, 4.188772, 4.188749, 4.188674, 4.188633, 4.188519]",1.9171444,3.8,4.1
