Cycle,Charge_Current,Discharge_Current,Temperature,Capacity_Increment,Relaxation_Voltage,Discharge_Capacity,Start_Voltage,End_Voltage
1,1.2,0.5,25,"[0.0, 0.010752237496472306, 0.022640023768514317, 0.03531050826651702, 0.04862442425763905, 0.06306726005610708, 0.07883999707873113, 0.09729888800895381, 0.1199664461791104, 0.14763199897959067, 0.17785793963666263, 0.20917946801537035, 0.24144277568112577, 0.27409574503804424, 0.30662751721034853, 0.33987862537886343, 0.3749964682173926, 0.41065165138408194, 0.44420334373263065, 0.4755093269487603, 0.5055574832815621, 0.5338220084268588, 0.5607068951197853, 0.5867822298043701, 0.6119811021479646, 0.6364165874191428, 0.659770856351334, 0.6826849661344399, 0.7047851114253916, 0.7263719902363361, 0.7475565040882146, 0.76816488914325, 0.7883178474953598, 0.8077834033670428, 0.826917324087592, 0.8456158334894603, 0.8638370757637648, 0.8816576010357899, 0.8990537768089046, 0.9161046130625745, 0.9328288652892567, 0.9492948437368043, 0.9653176957339749, 0.9810334616954466, 0.9964797780716954, 1.0117101502923955, 1.0266023554233465, 1.0412542273509255, 1.0556186259752096, 1.0697946999999999]","[4.19748, 4.197042, 4.196801, 4.19652, 4.196301, 4.196094, 4.195957, 4.195794, 4.195593, 4.195458, 4.19538, 4.19526, 4.195168, 4.195028, 4.194886, 4.194806, 4.19469, 4.194592, 4.194478, 4.194441, 4.194339, 4.194232, 4.194121, 4.194042, 4.193963, 4.193884, 4.193793, 4.193712, 4.193616, 4.193522, 4.193509, 4.193421, 4.193325, 4.193241, 4.193142, 4.193099, 4.193005, 4.192931, 4.192893, 4.192833, 4.192738, 4.192657, 4.192585, 4.192516, 4.192492, 4.192431, 4.192348, 4.192277, 4.192193, 4.192172, 4.192046, 4.192019, 4.191995, 4.191887, 4.191861, 4.191797, 4.191678, 4.191652, 4.191616, 4.191508, 4.191497, 4.191409, 4.191382, 4.191296, 4.191254, 4.191195, 4.191134, 4.191074, 4.191025, 4.190973, 4.190911, 4.190871, 4.190817, 4.190742, 4.190687, 4.190628, 4.190562, 4.190533, 4.190466, 4.190445, 4.190414, 4.190325, 4.190279, 4.190225, 4.190179, 4.190121, 4.19006, 4.190033, 4.189935, 4.189903, 4.189893]",1.899284,3.8,4.1
2,1.2,2.4,25,"[0.0, 0.01026405712518108, 0.02433353528363502, 0.03889360777659984, 0.054105972789114276, 0.0702835683166878, 0.08767677730984885, 0.10752666040178471, 0.13187267779526723, 0.16141405480025062, 0.19366873146806846, 0.22719583013763678, 0.26099383295068007, 0.29493470216794776, 0.3285514413719937, 0.36254401965861377, 0.39810485135874246, 0.4341333360394331, 0.4684035546257392, 0.50009079955133, 0.5301296441895038, 0.5586941533834577, 0.5860553284742454, 0.6124092267573695, 0.6377775203816582, 0.6622945476640822, 0.686117161212525, 0.7091663449603418, 0.7317723527674698, 0.7536061552763806, 0.7748044604485875, 0.7955991113685226, 0.8159738869986264, 0.8357218141390659, 0.854995617513052, 0.8739723156494115, 0.892513417770034, 0.9106789560460304, 0.9284805371438791, 0.9458393537102445, 0.9628724638658546, 0.9794665285424582, 0.9958003781862197, 1.0119086211058215, 1.027744034377445, 1.0431234981634077, 1.0584663739460725, 1.0734405832335332, 1.0882159289151443, 1.0999487000000001]","[4.197457, 4.197053, 4.196757, 4.196527, 4.196288, 4.196093, 4.195947, 4.195766, 4.195632, 4.195489, 4.195342, 4.195241, 4.195139, 4.194998, 4.194885, 4.194771, 4.194648, 4.194588, 4.194476, 4.194373, 4.194304, 4.194163, 4.194129, 4.193998, 4.1939, 4.19382, 4.193744, 4.193699, 4.193542, 4.193494, 4.193417, 4.193311, 4.193226, 4.193176, 4.193094, 4.193028, 4.19296, 4.192894, 4.192773, 4.192711, 4.192669, 4.192577, 4.192497, 4.192417, 4.192377, 4.192266, 4.192231, 4.192173, 4.192079, 4.192022, 4.191969, 4.191894, 4.191823, 4.191783, 4.191698, 4.191589, 4.191568, 4.191505, 4.191444, 4.191381, 4.191309, 4.191247, 4.191195, 4.191126, 4.191086, 4.191009, 4.190915, 4.190924, 4.190841, 4.19075, 4.190715, 4.190655, 4.190583, 4.190537, 4.190467, 4.190438, 4.190361, 4.190336, 4.190252, 4.190222, 4.190159, 4.190093, 4.190033, 4.189976, 4.189928, 4.189876, 4.189829, 4.189777, 4.189694, 4.189663, 4.189663]",1.8899746,3.8,4.1
3,1.2,2.4,25,"[0.0, 0.010206991577279778, 0.021590616310406457, 0.033739245655976496, 0.04668789644295676, 0.060610671159626706, 0.07584958797231336, 0.09335950290244774, 0.11526785840336148, 0.14186376221731908, 0.17129552029428416, 0.2023622346383873, 0.23421613922902404, 0.26634868612049756, 0.2990810840862185, 0.331949332860048, 0.3669651184840713, 0.402494737200083, 0.4360418900318873, 0.467231337012292, 0.4968241666818256, 0.5249012719872302, 0.5517474621722925, 0.5774361282760476, 0.6024268326083373, 0.626512044927182, 0.6497349327487573, 0.6723211057354708, 0.6941484380142693, 0.7154530964253064, 0.7361082846194088, 0.7563907410307305, 0.7760994739000527, 0.795269777740686, 0.8141070055935621, 0.8324625089882008, 0.8504899050413967, 0.8679941924657532, 0.8851270812048516, 0.9020056961788948, 0.9184583858286636, 0.9346529556122439, 0.9504684651406511, 0.9659853118860716, 0.9811715888881912, 0.9962217593406572, 1.0109195512921303, 1.0253473008752254, 1.0395799922955442, 1.0533011]","[4.197441, 4.197034, 4.196736, 4.196486, 4.196244, 4.196074, 4.195909, 4.195738, 4.195611, 4.195415, 4.195288, 4.195169, 4.195031, 4.194949, 4.194854, 4.194708, 4.194599, 4.194518, 4.194414, 4.194301, 4.194206, 4.194147, 4.194036, 4.193958, 4.193892, 4.193801, 4.193679, 4.193638, 4.193546, 4.193427, 4.193417, 4.193274, 4.193213, 4.193137, 4.193047, 4.192999, 4.19288, 4.192861, 4.192746, 4.192669, 4.192634, 4.192504, 4.192434, 4.192459, 4.192328, 4.192266, 4.19221, 4.19213, 4.192077, 4.191993, 4.191938, 4.191885, 4.191821, 4.191747, 4.19169, 4.191648, 4.191558, 4.191505, 4.191454, 4.191399, 4.191317, 4.191236, 4.191183, 4.191141, 4.191081, 4.191012, 4.190965, 4.190917, 4.190853, 4.190785, 4.190735, 4.190702, 4.190589, 4.190542, 4.190531, 4.190472, 4.190404, 4.190372, 4.190311, 4.190233, 4.190176, 4.190131, 4.190108, 4.190007, 4.19001, 4.189952, 4.189866, 4.189813, 4.189774, 4.189712, 4.189721]",1.8806652,3.8,4.1
4,1.2,2.4,25,"[0.0, 0.010140730239507345, 0.0212297568760611, 0.032915460832633386, 0.04536150598596081, 0.05875898906785837, 0.07340952531790826, 0.09028963325330022, 0.11098433153352735, 0.13645849091673787, 0.1648467905145529, 0.19477442486085358, 0.22592868103833022, 0.2575183615706106, 0.2893064229102156, 0.3219634300522848, 0.35649585824673613, 0.391704525435455, 0.4253671088205273, 0.456281788994064, 0.48571432249433066, 0.5138509371707886, 0.5405829791614953, 0.5663998832737768, 0.5910229742442833, 0.6150925654858587, 0.6379963417596554, 0.6604380222115689, 0.6822368515173929, 0.7033209581643283, 0.7239349903460504, 0.7440678116163567, 0.7636677797071351, 0.782747401703799, 0.8014955401348176, 0.8196681809354334, 0.8376441340421872, 0.8549994177284814, 0.8720867949874669, 0.888881964529527, 0.905287772051875, 0.9213557847878298, 0.937237394311867, 0.952644076466107, 0.9677735693583116, 0.9826887250170397, 0.9974124150506494, 1.011792571484677, 1.0260791265306115, 1.0366138]","[4.197412, 4.196996, 4.196726, 4.196459, 4.196217, 4.19604, 4.195847, 4.195654, 4.195538, 4.195387, 4.19527, 4.195131, 4.194998, 4.194907, 4.194766, 4.194679, 4.194576, 4.194449, 4.194361, 4.194283, 4.194147, 4.194118, 4.193949, 4.193874, 4.193818, 4.193687, 4.193631, 4.193568, 4.193468, 4.193363, 4.19327, 4.193203, 4.193139, 4.193069, 4.192977, 4.192899, 4.19284, 4.192755, 4.192698, 4.192591, 4.192524, 4.192506, 4.192394, 4.192338, 4.192258, 4.192258, 4.192134, 4.192085, 4.191982, 4.191936, 4.191875, 4.191816, 4.19172, 4.191667, 4.191617, 4.191557, 4.191505, 4.191433, 4.191371, 4.191301, 4.191256, 4.191179, 4.191114, 4.191047, 4.190993, 4.190945, 4.190886, 4.190845, 4.190781, 4.190726, 4.190658, 4.190616, 4.190546, 4.190486, 4.190446, 4.190405, 4.190383, 4.190277, 4.190223, 4.190169, 4.190094, 4.190064, 4.18999, 4.18998, 4.189925, 4.18985, 4.189828, 4.189759, 4.189712, 4.189657, 4.189666]",1.8713558000000001,3.8,4.1
5,1.2,2.4,25,"[0.0, 0.008747141024700922, 0.019668572346938973, 0.03122286665753768, 0.04344203211901557, 0.05669206407327454, 0.07103223702112405, 0.08752346797433952, 0.10768917091221986, 0.13232588571955134, 0.1598243190646243, 0.1892738653922325, 0.21998317280200985, 0.25110969795918225, 0.28274475464504883, 0.31503421516078567, 0.34898930241545767, 0.38409089805056285, 0.4173037475368382, 0.4484340736917821, 0.4776636301155859, 0.5056221773855474, 0.5322559460353296, 0.5579862556945357, 0.5825786062233819, 0.6062783217324973, 0.6293143010573936, 0.6516095142538593, 0.6732872532546955, 0.6943864038405223, 0.7149989335034008, 0.7350132147543726, 0.7545804872221489, 0.7735216575589634, 0.7921236522792128, 0.8103327632976715, 0.8281504373098169, 0.845538457142856, 0.8626476877568557, 0.8792129344155818, 0.8955864114751447, 0.911520818287627, 0.9272683755102037, 0.9426105560761345, 0.9578122694606402, 0.972688697956306, 0.987306625338305, 1.001668206585491, 1.015822512865895, 1.0266076000000002]","[4.197395, 4.196976, 4.196694, 4.196434, 4.196251, 4.195989, 4.195871, 4.195683, 4.195536, 4.195383, 4.195253, 4.195138, 4.195025, 4.194887, 4.19478, 4.194699, 4.19458, 4.194449, 4.194387, 4.19427, 4.194194, 4.194092, 4.193998, 4.193884, 4.193833, 4.193726, 4.193631, 4.193539, 4.193497, 4.193398, 4.193313, 4.193227, 4.193118, 4.193107, 4.193, 4.192937, 4.192857, 4.192769, 4.192682, 4.192628, 4.192553, 4.192466, 4.19244, 4.192339, 4.192281, 4.192229, 4.192146, 4.19208, 4.19204, 4.191931, 4.191898, 4.191816, 4.191771, 4.191684, 4.191628, 4.191591, 4.191503, 4.19144, 4.191378, 4.191347, 4.191249, 4.191196, 4.191182, 4.191137, 4.191028, 4.19096, 4.190951, 4.190898, 4.190828, 4.190774, 4.190724, 4.19066, 4.190605, 4.190541, 4.190468, 4.190438, 4.190382, 4.190315, 4.190314, 4.190207, 4.190159, 4.190118, 4.190057, 4.190015, 4.189955, 4.189925, 4.189845, 4.189802, 4.189754, 4.1897, 4.1897]",1.8620464,3.8,4.1
6,1.2,0.5,25,"[0.0, 0.007588800771592713, 0.018361288810466753, 0.029847872918449203, 0.04192422432402507, 0.054951410316346455, 0.0691325595247978, 0.08532486061206646, 0.1051052056837884, 0.12912059187393599, 0.156324966639951, 0.18522301198979657, 0.21569731939217152, 0.24671562837064126, 0.27786753725929186, 0.3097740424264158, 0.343760077551019, 0.37850237795510855, 0.41175144564200605, 0.44290822925978635, 0.47214900356039713, 0.5002073476016677, 0.5266442732955882, 0.5522407787652419, 0.5767643743290723, 0.600499247717569, 0.6234632691564151, 0.6457169721081262, 0.6673410205257827, 0.6883822855354079, 0.7087636615160342, 0.7286923643793837, 0.7481427558844173, 0.7671407650449392, 0.7856767163636694, 0.8038060853433951, 0.8216305108645511, 0.8389607935761644, 0.856001855217747, 0.8725953549442954, 0.888880184049791, 0.9048484, 0.9205559329163909, 0.9358748280662, 0.9509764556111552, 0.9658678032145344, 0.980386468267065, 0.9947410174902548, 1.00889993151526, 1.0199593999999998]","[4.197397, 4.196984, 4.196677, 4.196434, 4.196215, 4.196017, 4.195827, 4.19565, 4.195522, 4.19537, 4.195248, 4.195085, 4.195001, 4.194867, 4.194736, 4.194677, 4.194535, 4.194439, 4.194329, 4.194236, 4.194128, 4.194046, 4.193932, 4.193886, 4.193793, 4.19368, 4.19362, 4.193523, 4.193451, 4.193376, 4.193262, 4.193222, 4.193129, 4.193075, 4.193008, 4.192889, 4.192814, 4.192739, 4.192663, 4.192624, 4.192547, 4.192451, 4.192379, 4.192363, 4.192266, 4.192189, 4.192116, 4.192068, 4.192019, 4.191944, 4.191891, 4.191793, 4.19175, 4.191696, 4.191654, 4.19156, 4.191492, 4.191435, 4.19138, 4.19133, 4.191226, 4.191145, 4.191132, 4.191073, 4.19104, 4.190979, 4.190907, 4.190854, 4.190791, 4.190712, 4.190663, 4.190637, 4.190569, 4.19054, 4.190453, 4.190414, 4.190341, 4.190274, 4.19025, 4.190193, 4.190132, 4.190089, 4.190063, 4.190037, 4.189958, 4.189905, 4.189848, 4.189821, 4.18975, 4.189713, 4.189713]",1.852737,3.8,4.1
7,1.2,2.4,25,"[0.0, 0.010531783950937124, 0.02349143086734712, 0.03725393533298921, 0.05134405004711762, 0.06643755395244638, 0.08258681104526477, 0.10075935173854339, 0.12303258392392258, 0.150020521920873, 0.1804725753705843, 0.21225818848831002, 0.24484200131622635, 0.2777235985734076, 0.3104635586651046, 0.3435819911031522, 0.3782393402408811, 0.41370136790221307, 0.4475741457355567, 0.47929201550619976, 0.5089847472834468, 0.5371830783001794, 0.5641940477279286, 0.5902696273743604, 0.6154697368266449, 0.6395721724383365, 0.6629760286604554, 0.6857183754377096, 0.7077733197286495, 0.7293052520354719, 0.7502277233620303, 0.7707788954412929, 0.7906489233920047, 0.8102291199738663, 0.8291589509258739, 0.8477651571428575, 0.8660965768128135, 0.8838566538405754, 0.9012913125510187, 0.9184257369040543, 0.9352123715707952, 0.9516639201652095, 0.9678121100386092, 0.9836411748091589, 0.999206811142797, 1.0145696563591196, 1.0296019380288688, 1.0444275492530581, 1.0590046901447123, 1.0699215]","[4.197423, 4.196987, 4.196711, 4.196451, 4.1962, 4.196048, 4.195874, 4.195648, 4.195566, 4.195409, 4.195272, 4.195118, 4.195001, 4.194874, 4.194783, 4.194667, 4.194562, 4.194453, 4.194374, 4.194259, 4.194138, 4.194064, 4.193985, 4.193872, 4.193779, 4.193671, 4.193606, 4.193523, 4.193434, 4.19334, 4.193313, 4.193204, 4.193122, 4.193025, 4.192922, 4.192854, 4.19281, 4.192739, 4.192621, 4.192565, 4.192461, 4.19241, 4.192365, 4.192247, 4.192189, 4.19211, 4.192051, 4.191979, 4.191894, 4.191812, 4.191805, 4.191705, 4.191657, 4.191576, 4.191531, 4.191405, 4.191356, 4.191302, 4.191239, 4.191171, 4.191123, 4.191054, 4.190969, 4.190971, 4.190866, 4.190787, 4.190757, 4.19068, 4.190633, 4.190545, 4.190482, 4.190436, 4.190374, 4.190324, 4.190262, 4.190219, 4.190153, 4.1901, 4.190026, 4.189971, 4.189915, 4.189874, 4.189788, 4.189758, 4.189734, 4.189634, 4.189579, 4.189546, 4.189487, 4.18942, 4.189411]",1.8479324000000001,3.8,4.1
8,1.2,2.4,25,"[0.0, 0.008618504698522517, 0.019581267546400216, 0.031106068819763938, 0.04340832695315899, 0.05656121300329142, 0.07093614309723872, 0.08724330704974576, 0.10730934189159458, 0.1319392348982134, 0.15956392926617258, 0.18915666111887713, 0.22011669043384557, 0.2514333268221559, 0.28320652353451925, 0.31546776407898586, 0.349445568652384, 0.3845315735051919, 0.4179734054802798, 0.44917202076660484, 0.4786444210352449, 0.5065837194928375, 0.5332023431011812, 0.558893225867672, 0.5833331448630932, 0.6071389034592545, 0.6302482801883116, 0.6526173796033405, 0.6741816206778197, 0.695228390937531, 0.7154556480093015, 0.7355083223386643, 0.7549234594217351, 0.7739686954939473, 0.7924140071704366, 0.8105735563838903, 0.8281316363791495, 0.8455854799068616, 0.862521207858159, 0.8790174100641188, 0.8953133027475642, 0.9113763236498362, 0.9268978264922862, 0.9422770017840238, 0.9573363458512796, 0.9720063372217052, 0.9865556944225389, 1.0008831233745654, 1.0148472313478538, 1.0267738]","[4.197373, 4.196964, 4.196634, 4.196411, 4.196193, 4.195931, 4.195811, 4.195607, 4.195469, 4.195322, 4.195177, 4.195043, 4.194935, 4.194812, 4.194691, 4.194613, 4.194495, 4.19438, 4.194271, 4.194164, 4.194058, 4.194002, 4.193883, 4.193807, 4.19369, 4.193631, 4.193543, 4.193407, 4.193381, 4.193276, 4.193166, 4.193118, 4.193016, 4.192949, 4.192857, 4.192795, 4.192685, 4.192642, 4.192578, 4.192465, 4.192425, 4.192375, 4.192263, 4.192198, 4.192168, 4.192081, 4.191956, 4.191918, 4.191879, 4.191772, 4.191736, 4.191668, 4.191557, 4.191537, 4.191444, 4.191431, 4.191314, 4.191268, 4.191179, 4.191136, 4.191078, 4.191028, 4.190946, 4.190903, 4.190832, 4.190769, 4.190713, 4.190648, 4.190603, 4.190543, 4.190517, 4.190413, 4.190366, 4.190306, 4.190273, 4.190212, 4.190139, 4.190092, 4.190031, 4.18998, 4.189922, 4.189863, 4.189834, 4.189788, 4.189722, 4.189647, 4.189625, 4.189568, 4.18951, 4.18944, 4.189441]",1.8431278,3.8,4.1
9,1.2,2.4,25,"[0.0, 0.009185610184928278, 0.019820470334314028, 0.031089665418525037, 0.04308304324494566, 0.05600405900181832, 0.07002659888762341, 0.0857579542568539, 0.1050615711388923, 0.12861060966542592, 0.15549657085813795, 0.184464375994624, 0.21453905226610082, 0.24539590789372162, 0.2767405671321148, 0.30862850566301353, 0.3421810684992348, 0.37685700019918944, 0.41013454194796395, 0.44135164942863203, 0.47073398055810045, 0.49860921814988146, 0.5252982113797954, 0.5507610372848684, 0.5752520409660018, 0.5989673971188462, 0.621869649779868, 0.6440169992262093, 0.6657022020699698, 0.686709549854226, 0.7069364525899546, 0.7267706363369562, 0.7462184752500803, 0.7650647522733715, 0.7836165680795404, 0.8016391507657536, 0.8193452810748401, 0.836644863803169, 0.8535099285383786, 0.8700920734953831, 0.8862384698655975, 0.9021456601662882, 0.9177026684320039, 0.9329734471289691, 0.9480332273980324, 0.9627527279130993, 0.9772079992883594, 0.9915921350858418, 1.0055362756550967, 1.0167023]","[4.197376, 4.196962, 4.196677, 4.196384, 4.196186, 4.195971, 4.195798, 4.19562, 4.195461, 4.195315, 4.195183, 4.195075, 4.194976, 4.194862, 4.194724, 4.194599, 4.194464, 4.194382, 4.194304, 4.19417, 4.1941, 4.194014, 4.193894, 4.193809, 4.193711, 4.193623, 4.193568, 4.19344, 4.193389, 4.193286, 4.193209, 4.193158, 4.193067, 4.19296, 4.192906, 4.192805, 4.192744, 4.192669, 4.192645, 4.192538, 4.192459, 4.192403, 4.192279, 4.19225, 4.19218, 4.192122, 4.19205, 4.191993, 4.191895, 4.191836, 4.191792, 4.19171, 4.191661, 4.191573, 4.191524, 4.191422, 4.191411, 4.19135, 4.191252, 4.191186, 4.191128, 4.191049, 4.191013, 4.190957, 4.190882, 4.190838, 4.190816, 4.190727, 4.190679, 4.190611, 4.19056, 4.190502, 4.190454, 4.190379, 4.190345, 4.190321, 4.190248, 4.190167, 4.190122, 4.190096, 4.190007, 4.189957, 4.189915, 4.189846, 4.189805, 4.18973, 4.189726, 4.189689, 4.189595, 4.189538, 4.189538]",1.8383232,3.8,4.1
10,1.2,2.4,25,"[0.0, 0.00830698387880116, 0.01892524969371684, 0.03009512136479539, 0.04199101268390304, 0.054733550566744615, 0.06863567533197903, 0.08428079762887711, 0.10333793408099481, 0.12642017553904947, 0.1528360932085148, 0.18131370572499675, 0.21121820108534264, 0.24175712067669006, 0.27286970406291033, 0.30444082719241483, 0.33788953190394344, 0.37245227618826027, 0.40566199943439085, 0.4367455311377233, 0.4657226087699946, 0.4936291132380952, 0.5201746321389813, 0.5455919373691706, 0.5702514540054827, 0.593698276489794, 0.6165510353893501, 0.6386542334247235, 0.6600257487580893, 0.6807867749507265, 0.7010837971460452, 0.7209209747419867, 0.7402320673156251, 0.759054785955043, 0.7774466528038397, 0.7954025508410745, 0.8129690607173549, 0.8301911688861389, 0.8470588836373466, 0.8635428588697002, 0.8795968125351262, 0.8954746664122138, 0.9110315319601824, 0.9261688442466346, 0.9412492022457749, 0.9559659662333507, 0.9704450345704502, 0.9846719450797322, 0.9987089322981354, 1.0099691000000002]","[4.1974, 4.19697, 4.196667, 4.196399, 4.196202, 4.195976, 4.195828, 4.195628, 4.195471, 4.195355, 4.195192, 4.195036, 4.194954, 4.194835, 4.194718, 4.194639, 4.19453, 4.194392, 4.194286, 4.194187, 4.194118, 4.19398, 4.193905, 4.193805, 4.193725, 4.193624, 4.193578, 4.193473, 4.193415, 4.193337, 4.193188, 4.193139, 4.19304, 4.192981, 4.192922, 4.192867, 4.192738, 4.192677, 4.192623, 4.192533, 4.192461, 4.192438, 4.192349, 4.192248, 4.192181, 4.192133, 4.192046, 4.191998, 4.191917, 4.191854, 4.191793, 4.191686, 4.191642, 4.191624, 4.19153, 4.191462, 4.191421, 4.191342, 4.191287, 4.191237, 4.19116, 4.191068, 4.191038, 4.190982, 4.19089, 4.19084, 4.190814, 4.190799, 4.190717, 4.190659, 4.190588, 4.190512, 4.190445, 4.190419, 4.19036, 4.190323, 4.190235, 4.190233, 4.190138, 4.190086, 4.190043, 4.189983, 4.189953, 4.189901, 4.18986, 4.1898, 4.189726, 4.189654, 4.189632, 4.189584, 4.189584]",1.8335185999999999,3.8,4.1
