0,1,2,3,4
0.16175608,0.2526311,0.15869544,0.2682892,0.1586282
0.16351257,0.2527257,0.15935807,0.26595604,0.15844762
0.16239184,0.25124303,0.1597285,0.2676264,0.15901025
0.16378295,0.2521461,0.15955497,0.2661092,0.15840678
0.16411388,0.25185952,0.16013063,0.26501042,0.15888554
0.16283718,0.25199568,0.15961604,0.26716813,0.15838301
0.16342609,0.25165382,0.15968488,0.2668782,0.15835702
0.16401541,0.25218993,0.15992962,0.2653261,0.15853888
0.16403924,0.2515512,0.15991327,0.2660678,0.15842845
0.16280565,0.25226226,0.15933996,0.26787865,0.1577135
0.16341826,0.25182566,0.1595926,0.267248,0.1579155
0.16336021,0.25239077,0.15950404,0.26633346,0.15841152
0.16242942,0.25260726,0.15948184,0.26693398,0.15854755
0.16319002,0.25106087,0.15998913,0.2672963,0.15846364
0.16264729,0.25178903,0.15990704,0.26658487,0.15907176
0.16290547,0.2522159,0.16000654,0.26538792,0.15948416
0.16332418,0.25144023,0.16022377,0.2658702,0.1591416
0.16374037,0.25106555,0.16077772,0.2648725,0.15954392
0.16330189,0.25115368,0.16035359,0.26627573,0.15891515
0.16353092,0.2518435,0.16028005,0.26513323,0.15921228
0.16293944,0.25188267,0.16055274,0.26457074,0.1600544
0.16329896,0.2514266,0.16078931,0.26444107,0.16004398
0.16338806,0.25203943,0.16048004,0.26503977,0.15905271
0.16423422,0.25148916,0.1614874,0.26187766,0.16091156
0.16382036,0.2505462,0.16228694,0.26185665,0.16148992
0.16366468,0.25126532,0.16193205,0.26121604,0.1619219
0.16389802,0.25101623,0.16216554,0.2609882,0.16193204
0.16416971,0.24978602,0.16271949,0.2614091,0.16191566
0.16376872,0.24950771,0.16347097,0.2590066,0.16424598
0.16429307,0.2495118,0.16349657,0.25923046,0.1634681
0.16410771,0.24997723,0.16352388,0.2577518,0.1646394
0.16346581,0.25060904,0.16301744,0.2589497,0.16395803
0.16441368,0.2496832,0.16353224,0.25788784,0.16448301
0.16376373,0.25048774,0.16306105,0.25840107,0.16428635
0.16383281,0.24959679,0.16341601,0.25926253,0.1638918
0.16392799,0.24955101,0.16338329,0.25927216,0.16386554
0.16398218,0.25011095,0.16307406,0.25926045,0.16357239
0.16454753,0.24931002,0.16356541,0.25907364,0.1635034
0.16452412,0.24846092,0.16404542,0.25830334,0.16466622
0.16404301,0.24929002,0.16349114,0.25899637,0.1641795
0.16502889,0.24796006,0.16433145,0.25803414,0.16464543
0.16394097,0.25033394,0.16316487,0.2589261,0.16363412
0.16429509,0.25011984,0.16304947,0.2588762,0.1636594
0.16433302,0.2496196,0.1635859,0.25799343,0.16446806
0.16400275,0.24904384,0.16374609,0.25856176,0.16464558
0.16471592,0.24990936,0.16349036,0.25778076,0.16410363
0.16501448,0.24897426,0.16403523,0.2574605,0.16451554
0.16492878,0.24902579,0.1635138,0.2589977,0.16353397
0.16479157,0.25002742,0.1636158,0.2575406,0.16402459
0.16419005,0.25039947,0.16277958,0.25981957,0.16281134
0.16489963,0.2494068,0.1634507,0.25865352,0.16358934
0.16464484,0.24911991,0.16377862,0.2585538,0.16390283
0.16460483,0.25062793,0.1632544,0.25731272,0.16420011
0.1646585,0.24925348,0.16346005,0.2589692,0.1636588
0.16517395,0.24831928,0.16442801,0.2569973,0.1650815
0.16512375,0.24944815,0.16416006,0.25664425,0.16462383
0.16493501,0.24930963,0.16381162,0.25792077,0.16402298
0.16470452,0.24935332,0.16414349,0.2565623,0.1652364
0.16516075,0.24948944,0.16399652,0.2565295,0.16482376
0.16517425,0.24911737,0.16415358,0.25662524,0.16492954
0.16613294,0.24951485,0.16406767,0.25590107,0.16438349
0.16525775,0.24985781,0.16408287,0.2552771,0.16552447
0.16510433,0.2500285,0.1639909,0.2561327,0.16474354
0.16587172,0.24940404,0.16420855,0.25611052,0.1644052
0.16529973,0.24957795,0.1640904,0.25662234,0.16440955
0.16571963,0.24919501,0.1644696,0.2554856,0.16513017
0.16576524,0.24909006,0.16490436,0.25412497,0.16611543
0.16568689,0.24863099,0.16441493,0.25707552,0.16419165
0.16572648,0.24884582,0.16450372,0.25601295,0.16491102
0.16605441,0.24838582,0.16483219,0.25560123,0.16512638
0.16566047,0.2502489,0.16410057,0.25510707,0.16488306
0.16595018,0.24964318,0.1643189,0.25511077,0.16497698
0.1666051,0.24974363,0.16432995,0.25506982,0.16425149
0.16570015,0.24910405,0.16454369,0.2558601,0.16479202
0.16601218,0.24889559,0.16460241,0.25598264,0.16450715
0.16636471,0.2494102,0.16461505,0.2550167,0.16459328
0.16654837,0.24839601,0.16498235,0.25532183,0.16475144
0.16642097,0.24897665,0.16487812,0.2542189,0.16550538
0.16750722,0.2488728,0.16496497,0.2540423,0.1646127
0.16654736,0.24972327,0.16459613,0.25389904,0.16523422
0.1666636,0.24862677,0.16525367,0.2536006,0.16585536
0.16628115,0.24987254,0.16481458,0.25372452,0.16530724
0.16622978,0.24997103,0.16449517,0.2545563,0.1647477
0.16601901,0.25034663,0.16455504,0.25339207,0.16568731
0.1666071,0.24966027,0.16487353,0.25354582,0.16531324
0.16652179,0.24946724,0.16485818,0.25379658,0.16535625
0.16605952,0.25037467,0.16432354,0.25394782,0.16529447
0.16648877,0.24971473,0.16490805,0.2527838,0.16610466
0.16682687,0.25065205,0.16440926,0.25334847,0.16476339
0.16717887,0.24897751,0.16528827,0.25280273,0.16575262
0.16647327,0.24927916,0.16482754,0.2542412,0.16517888
0.1669986,0.24949858,0.165102,0.25260022,0.16580059
0.16708267,0.24962863,0.16481654,0.25328928,0.16518286
0.16711903,0.24968542,0.16482523,0.25326234,0.16510798
0.1667485,0.2485063,0.16542134,0.2536715,0.16565244
0.1680128,0.24902911,0.1650426,0.25312716,0.16478832
0.16730282,0.24857506,0.1651626,0.25432342,0.16463608
0.16643068,0.24921784,0.1650599,0.2539715,0.16532011
0.16727202,0.24904555,0.16499043,0.25366828,0.16502374
0.167382,0.24963033,0.1648461,0.2533248,0.16481674
0.16701756,0.24990559,0.16489942,0.2526009,0.16557647
0.16697887,0.24879824,0.16529344,0.25343996,0.1654895
0.16724375,0.24934635,0.16522779,0.25284424,0.16533792
0.16735537,0.24898767,0.16547987,0.2523304,0.16584674
0.1670689,0.24862482,0.16581085,0.25233358,0.16616184
0.16772626,0.24855106,0.16564015,0.25251296,0.16556951
0.16731878,0.24884847,0.16547051,0.2528911,0.16547115
0.16752407,0.24891825,0.1652891,0.25320968,0.16505893
0.16674602,0.24946827,0.16531268,0.25231797,0.16615507
0.16728048,0.24894688,0.16554819,0.25215495,0.16606951
0.1669294,0.24872251,0.16585897,0.25180757,0.1666816
0.1669468,0.2488355,0.16584218,0.25174275,0.16663274
0.16717537,0.24995205,0.16529365,0.25142387,0.16615511
0.16766044,0.24862868,0.165763,0.2522524,0.16569543
0.16714957,0.24916516,0.16538721,0.2527473,0.16555078
0.2492869,0.16729091,0.16626054,0.25126317,0.16589846
0.2485729,0.1677485,0.16592103,0.2518599,0.16589762
0.16777559,0.24853781,0.16591778,0.2516686,0.16610017
0.16752851,0.24826413,0.1661999,0.2512207,0.16678676
0.16748376,0.24988599,0.16556033,0.25125915,0.16581075
0.16701801,0.24915029,0.16600615,0.25139624,0.16642934
0.16745771,0.24921954,0.16602795,0.25074562,0.16654916
0.16702895,0.25019875,0.16554089,0.25108135,0.16615002
0.1675205,0.24865575,0.16595653,0.25253925,0.16532801
0.16750292,0.24879219,0.16606028,0.25135502,0.16628961
0.16777293,0.24870192,0.16626018,0.25072375,0.1665412
0.16744006,0.24883321,0.16613355,0.250683,0.16691017
0.1678622,0.24910204,0.16593687,0.25096193,0.16613694
0.16732754,0.24950014,0.16593012,0.2503361,0.16690613
0.16771789,0.24866112,0.16632457,0.25062793,0.16666849
0.16777445,0.24878637,0.16619927,0.25096083,0.16627909
0.16736272,0.24926381,0.16598554,0.25084454,0.16654332
0.2491674,0.16754161,0.16639976,0.25108227,0.16580892
0.16758317,0.24828373,0.1662759,0.25179914,0.166058
0.24932577,0.16811746,0.1662401,0.24976514,0.16655155
0.16798678,0.24877925,0.16629691,0.2502907,0.1666464
0.16760929,0.24907367,0.16640095,0.25003368,0.16688244
0.16732088,0.24928136,0.16630445,0.24992882,0.1671645
0.16718952,0.24933887,0.16629942,0.25025544,0.16691676
0.1674031,0.24951294,0.16622473,0.24985197,0.16700722
0.1672772,0.24836662,0.16694377,0.24992144,0.16749091
0.1675073,0.24862587,0.16681498,0.24990776,0.16714406
0.16797346,0.2493911,0.16644114,0.24962784,0.16656642
0.16793704,0.24857357,0.16665034,0.25036237,0.1664767
0.16772756,0.25004765,0.1659651,0.24998446,0.16627523
0.16753721,0.24920262,0.16656913,0.24997085,0.16672017
0.16701385,0.24981551,0.1663052,0.24966012,0.16720529
0.24848554,0.16790457,0.16685005,0.24945249,0.16730745
0.16766344,0.24907081,0.16670421,0.2490147,0.16754687
0.24874334,0.16797325,0.16679746,0.24941142,0.16707453
0.16769792,0.24837787,0.16656034,0.25080547,0.16655837
0.16792274,0.24903849,0.1662644,0.2504022,0.16637222
0.24898602,0.24872229,0.1669017,0.16780014,0.16758989
0.16814503,0.24908775,0.16645929,0.24940448,0.16690348
0.16799335,0.25004867,0.16609523,0.24900608,0.16685662
0.24949849,0.1677741,0.16699842,0.24857195,0.16715714
0.1678399,0.24919724,0.16657816,0.2493262,0.1670585
0.16773465,0.24876311,0.16701418,0.16753712,0.24895091
0.16762908,0.24851376,0.16667949,0.250212,0.16696565
0.16711433,0.24929416,0.16682246,0.24889122,0.16787784
0.16688773,0.25002423,0.16650896,0.24885443,0.16772467
0.16767769,0.2493629,0.16666259,0.2492173,0.1670795
0.16768916,0.24868228,0.16714735,0.248599,0.16788217
0.16772069,0.2494732,0.1666997,0.24869612,0.16741037
0.1679081,0.24860416,0.16687746,0.24976714,0.16684313
0.1672913,0.24838229,0.16707566,0.2503311,0.16691966
0.16770339,0.16785005,0.16735218,0.24826232,0.24883208
0.24900676,0.16781008,0.16705234,0.24920928,0.16692157
0.16803442,0.2487423,0.16706076,0.24877135,0.16739112
0.16700853,0.24862799,0.1670887,0.2495714,0.16770329
0.16777237,0.24980697,0.16636442,0.24938715,0.16666913
0.16795324,0.24927858,0.16680853,0.167347,0.24861264
0.24942441,0.24830182,0.16710675,0.16761962,0.16754737
0.16755038,0.24925686,0.1668914,0.24894565,0.16735572
0.1672002,0.24903622,0.16715899,0.24885134,0.16775331
0.24861784,0.16771594,0.16717023,0.24936374,0.16713221
0.16767631,0.1676218,0.16766948,0.2478341,0.24919833
0.24877268,0.16776553,0.16750935,0.24823205,0.16772035
0.24892822,0.16788717,0.16716112,0.24881518,0.1672083
0.16806072,0.24872226,0.16703482,0.2489575,0.16722468
0.24881317,0.16780724,0.16722889,0.24929443,0.16685621
0.2489575,0.16807716,0.16699639,0.2490798,0.1668892
0.1678511,0.24839412,0.16743056,0.16772093,0.24860327
0.16755469,0.24902706,0.16703856,0.2488069,0.1675727
0.16756007,0.24948744,0.16701338,0.16740684,0.2485322
0.24868278,0.16802202,0.1674182,0.16715388,0.24872309
0.24840483,0.167899,0.16750099,0.16713573,0.24905953
0.16785818,0.24869491,0.16702776,0.24972787,0.16669126
0.16799468,0.24896793,0.16717635,0.2486562,0.1672049
0.24849887,0.24920166,0.1671022,0.16745877,0.16773851
0.16761896,0.24923564,0.16711624,0.24861102,0.16741823
0.16782175,0.24863432,0.16744585,0.24823363,0.16786441
0.24853644,0.24867631,0.16740839,0.16740374,0.16797519
0.24911006,0.16801004,0.1671342,0.24880825,0.16693749
0.16779894,0.24811459,0.16780946,0.16781993,0.24845703
0.16786264,0.24883124,0.16743475,0.16738369,0.2484877
0.1677034,0.24826378,0.16774172,0.16770357,0.24858747
0.16786335,0.2486825,0.16756493,0.16737293,0.24851626
0.24837273,0.2490024,0.1673464,0.1678674,0.1674111
0.24898738,0.24870557,0.16733228,0.16769493,0.16727993
0.24887536,0.24878106,0.167249,0.16775826,0.16733629
0.24875613,0.24847458,0.1675675,0.16746281,0.1677389
0.24897642,0.24918963,0.16713339,0.16698398,0.16771664
0.16739035,0.24904186,0.16731533,0.16712327,0.24912915
0.24862339,0.16793835,0.16748002,0.24918388,0.16677432
0.2477865,0.24981105,0.16716023,0.1675998,0.1676424
0.24860275,0.24900612,0.16744998,0.16751187,0.16742934
0.16771336,0.24916594,0.1674681,0.24797504,0.16767754
0.16765916,0.24931493,0.16735242,0.16743627,0.24823722
0.167559,0.24946488,0.16726106,0.1674034,0.24831162
0.24926907,0.16773422,0.16750623,0.16705444,0.24843606
0.24933018,0.16780598,0.16748601,0.16696294,0.24841493
0.2483025,0.24902816,0.1674093,0.16752629,0.16773379
0.24895303,0.24804331,0.16764553,0.16755995,0.16779816
0.24878487,0.16767532,0.1677591,0.1674349,0.24834573
0.24882314,0.16768539,0.1677469,0.16667153,0.24907303
0.24895194,0.24926524,0.16697404,0.16782995,0.16697885
0.24945298,0.24901089,0.16729674,0.16673042,0.16750894
0.24929656,0.1677218,0.24793354,0.16763899,0.16740912
0.24903598,0.24867584,0.1674817,0.16717844,0.16762802
0.24841449,0.24862602,0.16774565,0.16725618,0.16795775
0.24832743,0.2489291,0.16761312,0.16760594,0.16752437
0.24986745,0.2487144,0.16720696,0.16716012,0.16705105
0.24841745,0.2483378,0.16788042,0.16743898,0.16792545
0.1678464,0.24928004,0.16737166,0.16694212,0.24855986
0.24866945,0.16781844,0.16788678,0.16702142,0.24860393
0.24919735,0.16778998,0.2482811,0.16691826,0.16781332
0.24985744,0.2488729,0.16725479,0.16658446,0.16743037
0.24867532,0.16779318,0.1679486,0.16659112,0.24899182
0.24961133,0.24817114,0.1677171,0.16701183,0.16748865
0.24966066,0.24813852,0.16769572,0.16722502,0.16728002
0.24946919,0.24862781,0.16756359,0.16686454,0.16747487
0.24928574,0.248838,0.16734873,0.16693285,0.16759467
0.24905258,0.16764069,0.248392,0.16724674,0.167668
0.24853526,0.16796951,0.16787626,0.16721672,0.24840228
0.25046,0.16762727,0.24795416,0.16652237,0.16743621
0.24901772,0.24834032,0.16774686,0.16727751,0.16761757
0.24907427,0.16795516,0.16779041,0.16676185,0.24841835
0.24858046,0.16763443,0.16792607,0.166033,0.24982607
0.24899964,0.16751216,0.1679287,0.16631845,0.24924107
0.24972224,0.16729581,0.16789483,0.16535681,0.24973029
0.24979112,0.16704701,0.24890147,0.1661645,0.16809593
0.16817689,0.1673096,0.24897988,0.16608202,0.24945165
0.24975708,0.24853726,0.16751185,0.16633248,0.16786131
0.24908714,0.16797003,0.16766348,0.16608228,0.24919704
0.24983174,0.16727266,0.24868713,0.16638114,0.1678273
0.24850494,0.16752933,0.167895,0.16558915,0.25048158
0.24867854,0.16784571,0.1678137,0.16628559,0.24937646
0.24942756,0.24866012,0.16751894,0.16658844,0.16780494
0.2501078,0.1670658,0.2486437,0.16664147,0.16754124
0.24968396,0.16740555,0.16801496,0.16626771,0.24862778
0.24862276,0.167659,0.16795921,0.16603903,0.24971999
0.2495512,0.16724731,0.16810665,0.16587593,0.24921884
0.25015977,0.16747138,0.24830109,0.1664198,0.16764797
0.24953654,0.24851148,0.1676753,0.16639644,0.1678803
0.24955899,0.16729419,0.16797659,0.16588485,0.24928544
0.16807131,0.16746189,0.24875018,0.16624151,0.24947506
0.24980804,0.24846,0.16770968,0.16611154,0.16791084
0.24931197,0.16753955,0.16798998,0.16655761,0.2486009
0.24939452,0.16731101,0.24916391,0.16629082,0.16783975
0.25022176,0.16737343,0.24865381,0.16581076,0.16794018
0.25031382,0.16708064,0.24859442,0.16692561,0.16708547
0.24973468,0.1674573,0.16793106,0.16590707,0.24896985
0.25012335,0.1674476,0.16807398,0.16547105,0.24888396
0.25000304,0.16764078,0.1679466,0.16577107,0.24863853
0.25053605,0.16749597,0.2484938,0.16578746,0.16768675
0.24950992,0.16777039,0.16792762,0.16597244,0.24881963
0.2505561,0.16752796,0.24843286,0.1657611,0.16772196
0.2513607,0.16729489,0.24826156,0.16617946,0.16690336
0.2504972,0.16679917,0.24923782,0.16556819,0.16789766
0.2490932,0.16750453,0.24888305,0.16647908,0.16804017
0.25042734,0.16733995,0.16785085,0.16490473,0.24947713
0.2511189,0.16765499,0.24794619,0.1657285,0.16755141
0.25085816,0.16735989,0.16794492,0.16526893,0.2485681
0.25034323,0.16737118,0.24877305,0.16549571,0.16801682
0.16792871,0.1669175,0.24943113,0.1649128,0.25080985
0.2501588,0.16711336,0.16797261,0.16468082,0.25007442
