Cycle_Index,QV_Curve,Charge_Current(A),Temperture,Discharge_Current(A),Max_Charge_Capacity(Ah),Max_Discharge_Capacity(Ah)
12,"[0.099, 0.10908948194662473, 0.124, 0.142, 0.16429752953813087, 0.18, 0.1941283739302172, 0.214, 0.2254061224489795, 0.239, 0.25386530612244895, 0.269, 0.289, 0.3038048979591836, 0.333, 0.359, 0.3835086342229197, 0.424, 0.4594457572502685, 0.522, 0.599, 0.731, 0.806, 0.893, 0.997, 1.0716605276256843, 1.158, 1.227, 1.27, 1.324, 1.372, 1.417859329446064, 1.4617095761381476, 1.501, 1.532, 1.571, 1.6163151020408162, 1.649, 1.665, 1.7121720904578046, 1.741, 1.764, 1.799, 1.8312323390894816, 1.853, 1.8845578231292515, 1.911, 1.936, 1.9600765306122447, 1.99]",1.2,25,-2.4,2.306,2.319
13,"[0.099, 0.10937701396348025, 0.125, 0.14388383045525893, 0.165, 0.18, 0.195, 0.212, 0.227, 0.239, 0.255, 0.2687518367346938, 0.286, 0.305, 0.33046718146718146, 0.35895408163265263, 0.3875086342229197, 0.424, 0.45667755102040813, 0.5193924646781787, 0.599, 0.732, 0.811, 0.9030629251700679, 1.001, 1.0721301020408163, 1.148, 1.2180163265306123, 1.274, 1.334429387755102, 1.374, 1.417, 1.466, 1.504, 1.5343537414965986, 1.575, 1.6126564625850337, 1.649, 1.665, 1.711, 1.739, 1.77, 1.801, 1.834, 1.855, 1.882, 1.912365140650855, 1.937, 1.964049641478213, 1.991]",1.2,25,-2.4,2.306,2.319
14,"[0.099, 0.109, 0.125, 0.14288383045525893, 0.161, 0.182, 0.19539918367346934, 0.213, 0.222, 0.239, 0.2553596938775511, 0.269, 0.28557993197278914, 0.3048048979591836, 0.331, 0.359, 0.388, 0.4245145005370567, 0.466, 0.5183924646781787, 0.6030906122448979, 0.737, 0.833, 0.91, 1.0020382653061222, 1.0801301020408163, 1.1509419152276292, 1.2124963265306121, 1.271298701298701, 1.316909387755102, 1.375, 1.417, 1.4578979591836734, 1.499, 1.533, 1.574, 1.611, 1.648, 1.669, 1.711, 1.741697521865889, 1.771, 1.801, 1.8341208163265303, 1.857, 1.8794418091560947, 1.9123004081632653, 1.935, 1.9641530612244895, 1.991]",1.2,25,-2.4,2.307,2.319
15,"[0.099, 0.108, 0.125, 0.144, 0.165, 0.18075510204081632, 0.195, 0.211, 0.224, 0.23985289115646252, 0.255, 0.269, 0.2862783673469388, 0.3094274973147153, 0.32940659340659323, 0.35845408163265285, 0.389, 0.4252904238618521, 0.461, 0.522, 0.617, 0.699, 0.8345986394557818, 0.907, 1.0, 1.0751301020408162, 1.1549697959183673, 1.2180313971742542, 1.2770439560439557, 1.328, 1.377, 1.4187374149659864, 1.47, 1.498, 1.533, 1.575, 1.614, 1.649, 1.671, 1.7133537414965985, 1.7423485086342227, 1.772, 1.7997142857142858, 1.828, 1.858, 1.8832789115646256, 1.91, 1.936, 1.965, 1.99]",1.2,25,-2.4,2.304,2.317
16,"[0.099, 0.111, 0.127, 0.144, 0.164, 0.18139265306122437, 0.195, 0.21427413127413122, 0.227, 0.23870578231292497, 0.255, 0.26911370262390666, 0.28657993197278914, 0.3064274973147153, 0.331, 0.361, 0.39, 0.4226310204081631, 0.459, 0.5183924646781787, 0.602, 0.7, 0.8342244897959182, 0.91, 0.9740765306122444, 1.078, 1.149, 1.229, 1.273, 1.332429387755102, 1.375, 1.42, 1.462, 1.4999293987865416, 1.534, 1.5735934065934063, 1.6116564625850338, 1.6494200680272109, 1.6654772370486652, 1.706, 1.738697521865889, 1.77, 1.8, 1.835, 1.856265306122449, 1.88, 1.911, 1.934, 1.959, 1.99]",1.2,25,-2.4,2.304,2.317
17,"[0.1, 0.11019387755102021, 0.125, 0.14488383045525893, 0.16294217687074786, 0.182, 0.196, 0.213, 0.2239061224489795, 0.23841156462584998, 0.255, 0.2695227629513343, 0.287, 0.307, 0.33346718146718146, 0.361, 0.392, 0.4246292517006798, 0.457, 0.522, 0.613, 0.735, 0.8085568513119533, 0.913, 1.0060382653061222, 1.076, 1.162, 1.2280313971742542, 1.275, 1.32, 1.3754359183673466, 1.416, 1.456, 1.50157804743519, 1.5417959183673469, 1.5718609022556391, 1.6186564625850337, 1.6488401360544223, 1.669, 1.709, 1.742470663265306, 1.765957867017775, 1.801, 1.8332323390894816, 1.854, 1.879, 1.91, 1.934, 1.964, 1.988]",1.2,25,-2.4,2.303,2.316
18,"[0.101, 0.11, 0.129, 0.144, 0.16594217687074786, 0.18151664876476892, 0.196, 0.212, 0.2219242922975641, 0.239, 0.255, 0.27, 0.28657993197278914, 0.3093248979591836, 0.331, 0.36145408163265286, 0.388, 0.426, 0.468, 0.519, 0.597, 0.709202380952381, 0.838, 0.915, 0.984, 1.082, 1.1509697959183673, 1.221, 1.277035714285714, 1.332, 1.373938775510204, 1.418, 1.462, 1.504, 1.534, 1.571, 1.617, 1.6484200680272107, 1.673, 1.711, 1.736, 1.77, 1.798, 1.834, 1.858, 1.884, 1.909, 1.9335697278911566, 1.959, 1.988]",1.2,25,-2.4,2.302,2.316
19,"[0.099, 0.112, 0.12570275066548356, 0.14645959183673468, 0.1637952600394996, 0.181, 0.197, 0.212, 0.224, 0.242, 0.255, 0.2700418904403867, 0.287, 0.307, 0.33346718146718146, 0.36045408163265286, 0.389, 0.4252904238618521, 0.46510645339216766, 0.519, 0.604188775510204, 0.71, 0.84, 0.907, 1.0080382653061222, 1.07578231292517, 1.156, 1.231, 1.278, 1.3236224489795914, 1.374, 1.415, 1.459, 1.4979293987865416, 1.544, 1.574, 1.6166564625850337, 1.644, 1.6704772370486651, 1.709, 1.742, 1.771, 1.801, 1.8322323390894815, 1.851761720904578, 1.877, 1.9091161695447407, 1.9351394557823132, 1.9581530612244895, 1.988]",1.2,25,-2.4,2.3,2.315
20,"[0.102, 0.109, 0.128, 0.146, 0.165, 0.18, 0.195, 0.212, 0.22765503620803146, 0.24, 0.25571938775510206, 0.27, 0.287, 0.3082900874635568, 0.336, 0.362, 0.39026448979591827, 0.4262904238618521, 0.476, 0.522, 0.605188775510204, 0.722, 0.841, 0.9100629251700679, 1.004, 1.0786605276256844, 1.152, 1.231, 1.272, 1.327, 1.374, 1.419, 1.458, 1.499891156462585, 1.5354548104956267, 1.574, 1.612, 1.648, 1.6737281632653058, 1.713, 1.741, 1.771, 1.799, 1.833, 1.856, 1.8794418091560947, 1.911477736549165, 1.9353695532266961, 1.963, 1.99]",1.2,25,-2.4,2.302,2.315
2,"[0.024, 0.02803143960286814, 0.03586054421768687, 0.044, 0.056, 0.07, 0.082, 0.099345238095238, 0.11133224489795904, 0.12522890237175943, 0.13695918367346954, 0.14852276295133426, 0.1608637617209046, 0.175, 0.18946718146718147, 0.205, 0.22074448979591826, 0.24242346938775491, 0.267, 0.29290010741138534, 0.32, 0.3641011904761905, 0.4055568513119533, 0.461, 0.527, 0.5831301020408162, 0.6519419152276293, 0.7280313971742544, 0.8033142857142856, 0.877, 0.963, 1.0305623582766439, 1.1045736348593491, 1.1565495626822155, 1.2020918367346938, 1.2575934065934062, 1.3018351020408163, 1.3488401360544222, 1.378477237048665, 1.418530612244898, 1.4583485086342227, 1.4848025372311087, 1.521404761904762, 1.5592323390894816, 1.586, 1.6116592311343143, 1.6435404081632654, 1.673, 1.7, 1.732]",2.4,25,-7.2,1.852,1.864
