0,1,2,3,4
0.15951726,0.1531752,0.2790736,0.26405066,0.1441833
0.15240628,0.15130356,0.24122272,0.3247021,0.13036528
0.15338695,0.15061513,0.2381146,0.33272225,0.12516102
0.15424553,0.14960149,0.2337446,0.33935252,0.123055845
0.1525337,0.14977092,0.23011915,0.34515908,0.122417144
0.15891285,0.15321895,0.27417284,0.27026033,0.14343505
0.15403074,0.14898765,0.24439234,0.32398245,0.12860684
0.15240784,0.14900227,0.23106085,0.34414372,0.12338527
0.23116514,0.14891937,0.1539625,0.3458124,0.12014066
0.24459325,0.14964432,0.15996362,0.3249112,0.12088766
0.15203698,0.15332831,0.2604196,0.2903081,0.14390697
0.23837125,0.15025616,0.15867393,0.32845458,0.12424415
0.24258833,0.14910716,0.15655829,0.32927698,0.12246922
0.2414237,0.14903161,0.15597922,0.33457595,0.11898952
0.23803754,0.14762355,0.1541467,0.34201252,0.1181797
0.15206608,0.15219885,0.2662679,0.284782,0.14468516
0.22727628,0.14830917,0.15153335,0.35230222,0.12057899
0.23514377,0.14769882,0.15354273,0.34484908,0.118765615
0.23288044,0.14776582,0.15184705,0.35155657,0.11595019
0.22819242,0.14690752,0.14925575,0.35962337,0.11602101
0.15640956,0.15411593,0.26077586,0.28412133,0.14457732
0.15213016,0.1499217,0.23126198,0.33983898,0.12684718
0.22291772,0.15122373,0.15047295,0.35383832,0.12154719
0.23588759,0.15169787,0.15515429,0.33820382,0.119056456
0.23305288,0.15110905,0.15467744,0.339927,0.12123365
0.15497118,0.15488732,0.2548427,0.2935972,0.14170155
0.1506784,0.1512908,0.2284887,0.34345135,0.12609075
0.15552561,0.15259348,0.23266235,0.33368582,0.12553275
0.22946876,0.15249924,0.15525338,0.33934677,0.12343184
0.23624834,0.15222141,0.15370603,0.33801317,0.11981103
0.15478522,0.15574549,0.25391644,0.29379869,0.14175417
0.14975044,0.15225038,0.22422402,0.34763923,0.12613592
0.23478667,0.15302253,0.15470406,0.33561328,0.12187349
0.23152672,0.15220006,0.15308267,0.34288642,0.12030419
0.22939634,0.15064311,0.15216301,0.34836847,0.119429074
0.14929283,0.15318157,0.25256982,0.30129793,0.14365788
0.15014133,0.15038586,0.22736253,0.34599388,0.12611647
0.23601153,0.15101296,0.15482217,0.33567923,0.122474104
0.2367914,0.15090244,0.15281188,0.33970088,0.11979342
0.1522371,0.14877944,0.22692908,0.35092384,0.12113059
0.15674831,0.15609339,0.2577696,0.28413603,0.1452527
0.15461922,0.15070003,0.2323441,0.33465976,0.12767689
0.22601031,0.14981425,0.15160896,0.35088444,0.121681996
0.22398826,0.14963868,0.15040492,0.3572016,0.1187665
0.2280166,0.14890459,0.1496432,0.3551557,0.118279904
0.1534994,0.1566147,0.25643077,0.28864783,0.14480731
0.15116008,0.1505539,0.22882067,0.34028515,0.1291802
0.15032813,0.22162856,0.15080582,0.3524729,0.124764614
0.1540602,0.15005247,0.23093283,0.34010252,0.124851964
0.23608051,0.15059511,0.15431315,0.33832753,0.1206837
0.1504504,0.15622008,0.25583467,0.29134592,0.14614888
0.15054296,0.15199293,0.22572456,0.3436438,0.12809576
0.15552709,0.1538323,0.23218171,0.33272192,0.12573694
0.22836243,0.15181656,0.15446478,0.3403352,0.12502103
0.23248586,0.15349601,0.15315151,0.3407439,0.120122686
0.15614817,0.15745178,0.2615372,0.28020525,0.14465761
0.23474765,0.15489168,0.15730603,0.3250379,0.12801678
0.2307201,0.15435486,0.1549926,0.3359753,0.12395706
0.22600254,0.15184876,0.15167081,0.3479608,0.12251715
0.22821069,0.1524415,0.15320235,0.34292102,0.12322441
0.15079837,0.15765952,0.25453869,0.28949606,0.1475074
0.15327758,0.15424559,0.22722815,0.33815423,0.12709448
0.22583595,0.15279333,0.1525637,0.34339398,0.12541299
0.23698272,0.15273494,0.15609545,0.3321029,0.122083955
0.24001604,0.152808,0.15679877,0.32869488,0.121682316
0.151437,0.1585218,0.24947904,0.29294872,0.1476134
0.1492703,0.22663023,0.15171549,0.34470278,0.12768124
0.23929769,0.15553345,0.15673846,0.3231809,0.12524949
0.23070596,0.15165302,0.15473165,0.3368309,0.12607849
0.23789196,0.1516085,0.15137716,0.33906764,0.120054714
0.15757093,0.15919727,0.2582107,0.2773301,0.14769104
0.15356557,0.15484126,0.22969365,0.3321054,0.12979412
